;;;Availability;Direct and indirect emissions;Price;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;26695.86558;0.275314286;0.077464;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.078546277;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.076045629;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.115050221;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.123848056;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.057361066;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.041490629;
Renewable;Biofuel;GAS_RE;1.00E+15;0;0.122999212;
Renewable;Biomass;WOOD;23400;0.0118;0.031917954;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.005600028;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017657892;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.02244985;
Non-renewable;Other non-renewable;H2;1.00E+15;0.372882286;0.08517782;
Renewable;Biofuel;H2_RE;1.00E+15;0;0.125446402;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.08880165;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.097256179;
Renewable;Biofuel;AMMONIA_RE;1.00E+15;0;0.085465988;
Renewable;Biofuel;METHANOL_RE;1.00E+15;0;0.115050221;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;
Others;Others;CO2_ATM ;1.00E+15;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;
