;;;Availability;Direct and indirect emissions;Price;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;32439.8697;0;0.104928;
Non-renewable;Fossil fuel;GASOLINE;1E+15;0.3448;0.09404786;
Non-renewable;Fossil fuel;DIESEL;1E+15;0.3148;0.09105369;
Renewable;Biofuel;BIOETHANOL;1E+15;0.08000;0.10014511;
Renewable;Biofuel;BIODIESEL;1E+15;0.08000;0.10875568;
Non-renewable;Fossil fuel;LFO;1E+15;0.3115;0.06868162;
Non-renewable;Fossil fuel;GAS;1E+15;0.2666;0.05329867;
Renewable;Biofuel;GAS_RE;1E+15;0.08000;0.10430636;
Renewable;Biomass;WOOD;23400;0.0118;0.03550648;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.00622964;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.01814538;
Non-renewable;Other non-renewable;URANIUM;1E+15;0.0039;0.00387646;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.02497388;
Non-renewable;Other non-renewable;H2;1E+15;0.33656258;0.0955067;
Renewable;Biofuel;H2_RE;1E+15;0.08000;0.10063038;
Non-renewable;Other non-renewable;AMMONIA;1E+15;0.285;0.11407418;
Non-renewable;Other non-renewable;METHANOL;1E+15;0.35;0.11645027;
Renewable;Biofuel;AMMONIA_RE;1E+15;0.08000;0.07089528;
Renewable;Biofuel;METHANOL_RE;1E+15;0.08000;0.10014511;
Export;Export;ELEC_EXPORT;1E+15;0;0;
Export;Export;CO2_EMISSIONS;1E+15;0;0;
Renewable;Non-biomass;RES_WIND;1E+15;0;0;
Renewable;Non-biomass;RES_SOLAR;1E+15;0;0;
Renewable;Non-biomass;RES_HYDRO;1E+15;0;0;
Renewable;Non-biomass;RES_GEO;1E+15;0;0;
Others;Others;CO2_ATM ;1E+15;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;
