Scenario,TechnoModifiee,GWP,Technology,Capacity
Techno_BATT_LI_gwp0,BATT_LI,0.0,BATT_LI,149.180156
Techno_BATT_LI_gwp0,BATT_LI,0.0,BEV_BATT,4e-06
Techno_BATT_LI_gwp0,BATT_LI,0.0,PHEV_BATT,3e-06
Techno_BATT_LI_gwp0,BATT_LI,0.0,PHS,5.000001
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_DIRECT_ELEC,6.6e-05
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_HP_ELEC,34.739272
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_THHP_GAS,6.6e-05
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_COGEN_GAS,6.6e-05
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_COGEN_OIL,6.5e-05
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_ADVCOGEN_GAS,6.5e-05
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_ADVCOGEN_H2,6.5e-05
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_BOILER_GAS,6.6e-05
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_BOILER_WOOD,6.6e-05
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DEC_BOILER_OIL,6.6e-05
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DHN_DAILY,0.000138
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_DHN_SEASONAL,722.942473
Techno_BATT_LI_gwp0,BATT_LI,0.0,TS_HIGH_TEMP,33.992133
Techno_BATT_LI_gwp0,BATT_LI,0.0,GAS_STORAGE,0.002396
Techno_BATT_LI_gwp0,BATT_LI,0.0,H2_STORAGE,0.000448
Techno_BATT_LI_gwp0,BATT_LI,0.0,DIESEL_STORAGE,0.731442
Techno_BATT_LI_gwp0,BATT_LI,0.0,GASOLINE_STORAGE,0.729519
Techno_BATT_LI_gwp0,BATT_LI,0.0,LFO_STORAGE,0.728066
Techno_BATT_LI_gwp0,BATT_LI,0.0,AMMONIA_STORAGE,0.727659
Techno_BATT_LI_gwp0,BATT_LI,0.0,METHANOL_STORAGE,0.727486
Techno_BATT_LI_gwp1,BATT_LI,1.0,BATT_LI,121.270062
Techno_BATT_LI_gwp1,BATT_LI,1.0,BEV_BATT,2e-05
Techno_BATT_LI_gwp1,BATT_LI,1.0,PHEV_BATT,1.3e-05
Techno_BATT_LI_gwp1,BATT_LI,1.0,PHS,5.00136
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_DIRECT_ELEC,0.000288
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_HP_ELEC,35.091069
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_THHP_GAS,0.000289
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_COGEN_GAS,0.000288
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_COGEN_OIL,0.000287
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_ADVCOGEN_GAS,0.000286
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_ADVCOGEN_H2,0.000286
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_BOILER_GAS,0.000288
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_BOILER_WOOD,0.000289
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DEC_BOILER_OIL,0.000288
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DHN_DAILY,0.000597
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_DHN_SEASONAL,723.566247
Techno_BATT_LI_gwp1,BATT_LI,1.0,TS_HIGH_TEMP,33.688676
Techno_BATT_LI_gwp1,BATT_LI,1.0,GAS_STORAGE,0.00949
Techno_BATT_LI_gwp1,BATT_LI,1.0,H2_STORAGE,0.001763
Techno_BATT_LI_gwp1,BATT_LI,1.0,DIESEL_STORAGE,2.704486
Techno_BATT_LI_gwp1,BATT_LI,1.0,GASOLINE_STORAGE,2.715341
Techno_BATT_LI_gwp1,BATT_LI,1.0,LFO_STORAGE,2.717041
Techno_BATT_LI_gwp1,BATT_LI,1.0,AMMONIA_STORAGE,2.707539
Techno_BATT_LI_gwp1,BATT_LI,1.0,METHANOL_STORAGE,2.706178
