;folder;gwp_op_GAS_RE;gwp_op_H2_RE;gwp_op_METHANOL_RE;gwp_op_AMMONIA_RE;GWP ND;f_CAR_GASOLINE;f_CAR_DIESEL;f_CAR_NG;f_CAR_METHANOL;f_CAR_HEV;f_CAR_PHEV;f_CAR_BEV;f_CAR_FUEL_CELL
1;GAS_RE_0.01;0.0;0.0;0.0;0.0;0;4.3e-05;1.1e-05;3.9e-05;3.7e-05;1.5e-05;0.0;0.0;176.964484
2;AMMONIA_RE_0.01;0.01;0.0;0.0;0.0;0;9,00E-06;2,00E-06;1,00E-06;3,00E-06;2,00E-06;0.0;0.0;176.964603
3;H2_RE_0.01;0.01;0.0;0.0;0.01;0;2,00E-05;4,00E-06;1,00E-06;1.8e-05;4,00E-06;2,00E-06;1,00E-06;176.964573
4;GAS_RE_0.02;0.01;0.01;0.0;0.01;0;102.764454;6.261172;8.191455;74.820828;7.593641;3,00E-06;1,00E-06;17.905982
5;H2_RE_0.02;0.02;0.01;0.0;0.01;0;109.08933;11.313522;1.009643;47.406465;9.54813;4,00E-06;1,00E-06;2.331452
6;AMMONIA_RE_0.02;0.02;0.02;0.0;0.01;0;90.918081;13.755096;1.075453;67.006305;7.693029;4,00E-06;1,00E-06;0.20051
7;GAS_RE_0.03;0.02;0.02;0.0;0.02;0;145.985604;8.432774;6.277713;31.938529;4.996074;1,00E-06;0.0;16.893667
8;H2_RE_0.03;0.03;0.02;0.0;0.02;0;153.411825;1.902749;1.295388;24.165535;3.011906;1,00E-05;4,00E-06;3.721905
9;GAS_RE_0.04;0.03;0.03;0.0;0.02;0;142.868095;3.615329;3.941909;41.819513;6.551832;7,00E-06;2,00E-06;16.833909
10;AMMONIA_RE_0.03;0.04;0.03;0.0;0.02;0;105.434958;16.398254;4.019754;40.079645;21.477315;1.2e-05;3,00E-06;4.155381
11;H2_RE_0.04;0.04;0.03;0.0;0.03;0;136.372539;12.782004;2.26189;21.120406;9.98201;1,00E-05;3,00E-06;39.235585
12;GAS_RE_0.05;0.04;0.04;0.0;0.03;0;107.442544;10.992051;1.916556;49.349167;10.976841;1,00E-05;3,00E-06;1.556445
13;H2_RE_0.05;0.05;0.04;0.0;0.03;0;104.863351;14.729424;2.39718;38.734261;19.683768;4,00E-06;1,00E-06;1.945952
14;AMMONIA_RE_0.04;0.05;0.05;0.0;0.03;0;112.48028;9.741069;1.875294;46.240741;10.299896;1.1e-05;3,00E-06;1.140411
15;GAS_RE_0.06;0.05;0.05;0.0;0.04;0;139.149242;10.663555;4.072388;18.609123;11.082404;1,00E-05;4,00E-06;0.989373
16;H2_RE_0.06;0.06;0.05;0.0;0.04;0;127.686316;14.768674;1.377235;18.897068;16.822291;2.1e-05;7,00E-06;2.133639
17;GAS_RE_0.07;0.06;0.06;0.0;0.04;0;149.507079;6.801223;0.821087;18.456328;8.338238;2.2e-05;6,00E-06;1.100028
18;AMMONIA_RE_0.05;0.07;0.06;0.0;0.04;0;138.145595;7.466236;1.250611;17.972557;15.43527;1.6e-05;5,00E-06;0.716813
19;GAS_RE_0.08;0.07;0.06;0.0;0.05;0;111.70624;39.193988;4.693859;9.462547;17.595968;1.8e-05;5,00E-06;12.653512
20;H2_RE_0.07;0.08;0.06;0.0;0.05;0;147.554619;5.640205;2.999232;12.37165;11.863833;5.5e-05;1.7e-05;4.00515
21;METHANOL_RE_0.01;0.08;0.07;0.0;0.05;0;105.266369;19.070297;0.862908;61.398306;25.199739;4,00E-06;1,00E-06;11.527452
22;METHANOL_RE_0.02;0.08;0.07;0.01;0.05;0;164.162311;1.996381;1.119945;1.142598;13.987753;2.7e-05;6,00E-06;1.307279
23;METHANOL_RE_0.03;0.08;0.07;0.02;0.05;0;162.374607;4.40495;1.75477;1.454501;10.469457;1.5e-05;4,00E-06;1.087318
24;METHANOL_RE_0.04;0.08;0.07;0.03;0.05;0;172.95964;2.016003;4.936416;2.747916;7.109328;2.1e-05;5,00E-06;10.545026
25;METHANOL_RE_0.05;0.08;0.07;0.04;0.05;0;151.062433;15.614762;6.128206;12.177839;14.771952;9,00E-06;3,00E-06;11.550924
26;METHANOL_RE_0.06;0.08;0.07;0.05;0.05;0;169.583385;16.970946;1.426701;0.890744;13.155837;1.2e-05;3,00E-06;0.234935
27;METHANOL_RE_0.07;0.08;0.07;0.06;0.05;0;173.482137;8.514621;0.896354;1.088531;5.405604;2.9e-05;1.2e-05;1.935091
28;METHANOL_RE_0.08;0.08;0.07;0.07;0.05;0;176.238526;5.44309;0.578272;1.656152;3.550171;2.9e-05;9,00E-06;5.043597
29;METHANOL_RE_0.09;0.08;0.07;0.08;0.05;0;172.534004;6.740822;4.653545;0.641443;5.105989;4.1e-05;1.1e-05;1.014175
30;METHANOL_RE_0.10;0.08;0.07;0.09;0.05;0;133.561775;32.571388;3.747532;4.097569;44.194994;4.7e-05;1.3e-05;15.834067
31;H2_RE_0.08;0.08;0.07;0.1;0.05;0;162.575662;10.125795;0.52811;1.41241;8.610616;2.5e-05;8,00E-06;4.542402
32;METHANOL_RE_0.11;0.08;0.08;0.1;0.05;0;167.767714;6.162985;1.570068;0.881564;9.216174;5.4e-05;1.5e-05;1.396838
33;GAS_RE_0.09;0.08;0.08;0.11;0.05;0;154.348795;19.566586;2.28501;2.226126;4.288473;8,00E-06;3,00E-06;2.244176
34;AMMONIA_RE_0.06;0.09;0.08;0.11;0.05;0;158.507541;16.409969;0.060864;0.12331;2.540832;9,00E-06;3,00E-06;0.408861
35;H2_RE_0.09;0.09;0.08;0.11;0.06;0;169.04751;13.38494;1.310366;1.252167;6.616644;4.4e-05;1.2e-05;11.453005
36;GAS_RE_0.10;0.09;0.09;0.11;0.06;0;154.739051;7.180969;5.020816;1.169357;16.545488;2.9e-05;8,00E-06;6.328215
37;AMMONIA_RE_0.07;0.1;0.09;0.11;0.06;0;143.811145;19.632455;1.256405;1.658322;14.6167;5.4e-05;1.5e-05;6.364952
38;IMPORTS_ND_0_00;0.1;0.09;0.11;0.06;0.0;146.862494;15.348015;3.613873;1.024699;15.452832;1,00E-05;3,00E-06;2.86877
39;IMPORTS_ND_0_01;0.1;0.09;0.11;0.06;0.01;0.678585;0.791604;0.938567;0.763303;283.527761;9.3e-05;3.3e-05;0.778982
40;IMPORTS_ND_0_02;0.1;0.09;0.11;0.06;0.02;1.878802;1.771045;1.21563;1.247278;177.043474;2,00E-05;6,00E-06;3.125786
41;IMPORTS_ND_0_03;0.1;0.09;0.11;0.06;0.03;1.032516;1.016261;1.034194;1.033932;177.003536;8.8e-05;3,00E-05;1.007094
42;IMPORTS_ND_0_04;0.1;0.09;0.11;0.06;0.04;2.329203;5.147793;0.774626;0.943258;177.094948;3.8e-05;1.2e-05;4.556527
43;IMPORTS_ND_0_05;0.1;0.09;0.11;0.06;0.05;8.313983;8.181369;3.819126;1.441962;177.209237;8,00E-05;2.7e-05;8.289577
44;IMPORTS_ND_0_06;0.1;0.09;0.11;0.06;0.06;5.816639;2.10041;13.50716;7.695489;8.8443;8,00E-05;2.2e-05;177.089792
45;IMPORTS_ND_0_07;0.1;0.09;0.11;0.06;0.07;1.402702;0.975105;4.599175;0.618586;1.898977;3.6e-05;1.2e-05;177.211704
46;IMPORTS_ND_0_08;0.1;0.09;0.11;0.06;0.08;3.513002;5.565714;3.565856;2.256394;10.466623;1.4e-05;4,00E-06;185.069055
47;IMPORTS_ND_0_09;0.1;0.09;0.11;0.06;0.09;0.940261;2.111512;3.134797;1.115487;2.363243;3,00E-05;1,00E-05;189.847131
