folder,resource_modified,gwp_op_modified,gwp_op_GAS_RE,gwp_op_H2_RE,gwp_op_METHANOL_RE,gwp_op_AMMONIA_RE,f_BATT_LI,f_BEV_BATT,f_PHEV_BATT,f_PHS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DEC_THHP_GAS,f_TS_DEC_COGEN_GAS,f_TS_DEC_COGEN_OIL,f_TS_DEC_ADVCOGEN_GAS,f_TS_DEC_ADVCOGEN_H2,f_TS_DEC_BOILER_GAS,f_TS_DEC_BOILER_WOOD,f_TS_DEC_BOILER_OIL,f_TS_DHN_DAILY,f_TS_DHN_SEASONAL,f_TS_HIGH_TEMP,f_GAS_STORAGE,f_H2_STORAGE,f_DIESEL_STORAGE,f_GASOLINE_STORAGE,f_LFO_STORAGE,f_AMMONIA_STORAGE,f_METHANOL_STORAGE,f_CO2_STORAGE
AMMONIA_RE_0.01,GAS_RE,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,2.235276,1e-06,1e-06,0.0,240.032496,1.4e-05,2.3e-05,1.1e-05,0.009348,0.009401,0.009393,0.009347,0.009369,4.237876
AMMONIA_RE_0.02,GAS_RE,0.02,0.02,0.02,0.0,0.01,1e-06,1e-06,1e-06,5.0,1.7e-05,23.09332,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,5e-06,169.449006,1.094349,0.000441,0.000107,0.178353,0.179853,0.183698,0.180233,0.180255,143.870207
AMMONIA_RE_0.03,GAS_RE,0.04,0.04,0.03,0.0,0.02,4e-06,3e-06,2e-06,5.0,6e-05,23.093319,6.1e-05,6e-05,6e-05,6e-05,6e-05,6.1e-05,6.1e-05,6e-05,2.2e-05,171.487842,8.6e-05,0.001597,0.000387,0.580508,0.585418,0.588184,0.583052,0.582752,13.030301
AMMONIA_RE_0.04,GAS_RE,0.05,0.05,0.05,0.0,0.03,3e-06,3e-06,2e-06,5.000006,5.1e-05,31.41407,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,1.9e-05,310.821792,6.9e-05,0.001561,0.000359,0.520883,0.524188,0.530131,0.524832,0.523593,7.378843
AMMONIA_RE_0.05,GAS_RE,0.07,0.07,0.06,0.0,0.04,4e-06,5e-06,3e-06,5.000004,7e-05,64.1166,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,7e-05,2.8e-05,1758.780731,9e-05,0.002182,0.000504,0.718118,0.720402,0.728297,0.722357,0.721111,13.857425
AMMONIA_RE_0.06,METHANOL_RE,0.11,0.09,0.08,0.11,0.05,3e-06,3e-06,2e-06,5.000001,4e-05,53.810735,4e-05,4e-05,4e-05,3.9e-05,3.9e-05,4e-05,4e-05,4e-05,1.3e-05,561.636952,111.267746,0.001379,0.000295,0.492544,0.497317,0.493426,0.492632,11344.979181,2883.112764
AMMONIA_RE_0.07,METHANOL_RE,0.11,0.1,0.09,0.11,0.06,8.9e-05,1.5e-05,1.1e-05,6.49983,0.000235,55.700461,0.000235,0.000234,0.000234,0.000233,0.000233,0.000235,0.000235,0.000235,8e-05,878.777863,114.495272,0.007031,0.001353,2.263544,2.307292,2.288703,2.270663,133.465883,19.295087
GAS_RE_0.01,GAS_RE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,3.111531,1e-06,1e-06,0.0,9e-05,3e-06,1.4e-05,4e-06,0.007802,0.007865,0.007871,0.007753,44.298402,5.368995
GAS_RE_0.02,GAS_RE,0.01,0.01,0.01,0.0,0.01,1e-06,1e-06,1e-06,6.499962,1.5e-05,23.093319,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.5e-05,5e-06,195.623698,2.215481,0.000431,0.000104,0.162424,0.163845,0.165015,1127.25873,0.163458,4.12552
GAS_RE_0.03,GAS_RE,0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.0,6.49999,5e-06,23.09332,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,5e-06,2e-06,153.241997,4.916762,0.000169,4e-05,0.066086,0.066109,0.066381,739.071505,0.066212,9.127415
