Categorie,SousFamille,Technology,GWP_bascule_stable,GWP_disparition,Remplacee_par
publique,electrique,TRAMWAY_TROLLEY,10.0,,TRAIN_PUB
publique,electrique,BUS_COACH_DIESEL,10.0,10.0,TRAIN_PUB
publique,electrique,BUS_COACH_HYDIESEL,10.0,960.0,TRAIN_PUB
publique,electrique,BUS_COACH_CNG_STOICH,10.0,10.0,TRAIN_PUB
publique,electrique,BUS_COACH_FC_HYBRIDH2,10.0,10.0,TRAIN_PUB
publique,electrique,TRAIN_PUB,170.0,170.0,BUS_COACH_HYDIESEL
publique,electrique_train_pub,TRAMWAY_TROLLEY,1380.0,,BUS_COACH_FC_HYBRIDH2
publique,electrique_train_pub,BUS_COACH_DIESEL,1380.0,1430.0,BUS_COACH_FC_HYBRIDH2
publique,electrique_train_pub,BUS_COACH_HYDIESEL,1380.0,1380.0,BUS_COACH_FC_HYBRIDH2
publique,electrique_train_pub,BUS_COACH_CNG_STOICH,1380.0,1380.0,BUS_COACH_FC_HYBRIDH2
publique,electrique_train_pub,BUS_COACH_FC_HYBRIDH2,1390.0,1390.0,BUS_COACH_HYDIESEL
publique,electrique_train_pub,TRAIN_PUB,1380.0,1380.0,BUS_COACH_FC_HYBRIDH2
publique,fuel_cell,TRAMWAY_TROLLEY,10.0,,TRAIN_PUB
publique,fuel_cell,BUS_COACH_DIESEL,10.0,50.0,TRAIN_PUB
publique,fuel_cell,BUS_COACH_HYDIESEL,10.0,,TRAIN_PUB
publique,fuel_cell,BUS_COACH_CNG_STOICH,10.0,10.0,TRAIN_PUB
publique,fuel_cell,BUS_COACH_FC_HYBRIDH2,10.0,10.0,TRAIN_PUB
publique,fuel_cell,TRAIN_PUB,,,
publique,gaz,TRAMWAY_TROLLEY,10.0,,TRAIN_PUB
publique,gaz,BUS_COACH_DIESEL,0.01,10.0,TRAMWAY_TROLLEY
publique,gaz,BUS_COACH_HYDIESEL,0.01,10.0,TRAMWAY_TROLLEY
publique,gaz,BUS_COACH_CNG_STOICH,0.01,0.01,TRAMWAY_TROLLEY
publique,gaz,BUS_COACH_FC_HYBRIDH2,0.01,0.01,TRAMWAY_TROLLEY
publique,gaz,TRAIN_PUB,0.01,,TRAMWAY_TROLLEY
publique,hybride,TRAMWAY_TROLLEY,0.02,0.02,BUS_COACH_HYDIESEL
publique,hybride,BUS_COACH_DIESEL,0.02,0.02,BUS_COACH_HYDIESEL
publique,hybride,BUS_COACH_HYDIESEL,0.05,60.0,TRAIN_PUB
publique,hybride,BUS_COACH_CNG_STOICH,0.02,0.02,BUS_COACH_HYDIESEL
publique,hybride,BUS_COACH_FC_HYBRIDH2,0.02,0.02,BUS_COACH_HYDIESEL
publique,hybride,TRAIN_PUB,0.02,0.02,BUS_COACH_HYDIESEL
