folder,techno_modifiee,technology,f,gwp_constr
0_CAS_Techno_H2_STORAGE_gwp10,H2_STORAGE,AMMONIA_STORAGE,1.220658,9.9
1_CAS_Techno_H2_STORAGE_gwp11,H2_STORAGE,AMMONIA_STORAGE,3.249679,10.9
2_CAS_Techno_H2_STORAGE_gwp12,H2_STORAGE,AMMONIA_STORAGE,1.058365,11.9
3_CAS_Techno_H2_STORAGE_gwp13,H2_STORAGE,AMMONIA_STORAGE,0.48928,12.9
4_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,AMMONIA_STORAGE,2.884199,13.9
5_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,AMMONIA_STORAGE,2.884199,13.9
6_CAS_Techno_H2_STORAGE_gwp15,H2_STORAGE,AMMONIA_STORAGE,3.277715,14.9
7_CAS_Techno_H2_STORAGE_gwp16,H2_STORAGE,AMMONIA_STORAGE,1.748019,15.9
8_CAS_Techno_H2_STORAGE_gwp17,H2_STORAGE,AMMONIA_STORAGE,0.827593,16.9
9_CAS_Techno_H2_STORAGE_gwp18,H2_STORAGE,AMMONIA_STORAGE,1.154876,17.9
10_CAS_Techno_H2_STORAGE_gwp19,H2_STORAGE,AMMONIA_STORAGE,0.708901,18.9
11_CAS_Techno_H2_STORAGE_gwp20,H2_STORAGE,AMMONIA_STORAGE,2.532071,19.9
12_CAS_Techno_H2_STORAGE_gwp21,H2_STORAGE,AMMONIA_STORAGE,3.402412,20.9
13_CAS_Techno_H2_STORAGE_gwp22,H2_STORAGE,AMMONIA_STORAGE,1.342299,21.9
14_CAS_Techno_H2_STORAGE_gwp23,H2_STORAGE,AMMONIA_STORAGE,3.040461,22.9
15_CAS_Techno_H2_STORAGE_gwp24,H2_STORAGE,AMMONIA_STORAGE,1.099767,23.9
16_CAS_Techno_H2_STORAGE_gwp25,H2_STORAGE,AMMONIA_STORAGE,1.293214,24.9
17_CAS_Techno_H2_STORAGE_gwp26,H2_STORAGE,AMMONIA_STORAGE,3.037026,25.9
18_CAS_Techno_H2_STORAGE_gwp27,H2_STORAGE,AMMONIA_STORAGE,0.424743,26.9
19_CAS_Techno_H2_STORAGE_gwp28,H2_STORAGE,AMMONIA_STORAGE,2.999181,27.9
20_CAS_Techno_H2_STORAGE_gwp29,H2_STORAGE,AMMONIA_STORAGE,1.393558,28.9
21_CAS_Techno_H2_STORAGE_gwp30,H2_STORAGE,AMMONIA_STORAGE,1.183909,29.9
22_CAS_Techno_H2_STORAGE_gwp31,H2_STORAGE,AMMONIA_STORAGE,2.005301,30.9
23_CAS_Techno_H2_STORAGE_gwp32,H2_STORAGE,AMMONIA_STORAGE,1.204434,31.9
24_CAS_Techno_H2_STORAGE_gwp33,H2_STORAGE,AMMONIA_STORAGE,1.558912,32.9
25_CAS_Techno_H2_STORAGE_gwp34,H2_STORAGE,AMMONIA_STORAGE,0.96557,33.9
26_CAS_Techno_H2_STORAGE_gwp35,H2_STORAGE,AMMONIA_STORAGE,1.558796,34.9
