folder,techno_modifiee,gwp_constr,f_H2_STORAGE,f_METHANOL_STORAGE,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_HABER_BOSCH,f_METHANOL_TO_HVC,f_GAS_TO_HVC,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
0_CAS_Techno_H2_STORAGE_gwp10,H2_STORAGE,9.9,10.088708,,25.515805,15.228616,12.133404,12.896231,12.403053,10.754399,9.722673,9.570359,8.827017,7.811204,6.331256
1_CAS_Techno_H2_STORAGE_gwp11,H2_STORAGE,10.9,10.058576,,29.670404,17.979117,13.955199,14.218161,14.610361,12.422006,11.223631,10.975503,10.154872,8.983657,7.248554
2_CAS_Techno_H2_STORAGE_gwp12,H2_STORAGE,11.9,6.523139,,30.244645,18.089592,14.561309,14.348257,14.95808,12.730435,11.582615,11.394078,10.663474,9.183072,7.51013
3_CAS_Techno_H2_STORAGE_gwp13,H2_STORAGE,12.9,6.195603,,28.31057,17.547139,14.683118,13.676431,15.069639,11.753051,10.865781,10.914626,10.455532,8.229177,6.868094
4_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,13.9,2.642552,,29.81015,17.571823,14.442175,14.209426,14.104541,12.518536,11.479713,11.268417,10.41922,9.019753,7.349123
5_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,13.9,2.642552,,29.81015,17.571823,14.442175,14.209426,14.104541,12.518536,11.479713,11.268417,10.41922,9.019753,7.349123
6_CAS_Techno_H2_STORAGE_gwp15,H2_STORAGE,14.9,2.642562,,28.6518,16.808455,13.636927,13.90911,13.29896,12.23996,11.337727,11.144158,10.033642,9.027476,7.395735
7_CAS_Techno_H2_STORAGE_gwp16,H2_STORAGE,15.9,2.015834,,29.776097,17.630037,14.137035,14.27158,14.324161,12.611286,11.542647,11.199499,10.352278,9.050803,7.320558
8_CAS_Techno_H2_STORAGE_gwp17,H2_STORAGE,16.9,2.013906,,27.983852,16.884445,13.539386,13.573711,13.926583,11.613135,10.602182,10.332119,9.70426,8.185351,6.672985
9_CAS_Techno_H2_STORAGE_gwp18,H2_STORAGE,17.9,1.734996,,29.272646,17.22255,13.96622,13.966149,13.815606,12.138242,11.125757,10.874131,10.142432,8.644173,7.01833
10_CAS_Techno_H2_STORAGE_gwp19,H2_STORAGE,18.9,1.734879,,29.257004,17.926203,14.526956,13.944396,15.458157,11.979925,10.976663,10.766371,10.247381,8.314293,6.786398
11_CAS_Techno_H2_STORAGE_gwp20,H2_STORAGE,19.9,1.725915,,29.502213,17.15393,14.085803,14.207731,13.668271,12.483557,11.496569,11.365243,10.11904,9.137386,7.391355
12_CAS_Techno_H2_STORAGE_gwp21,H2_STORAGE,20.9,1.725349,,30.070089,18.102966,14.239218,14.247114,15.3356,12.54462,11.293891,10.942331,10.216696,8.892335,7.152395
13_CAS_Techno_H2_STORAGE_gwp22,H2_STORAGE,21.9,1.725392,,33.435602,20.106298,15.471577,15.20161,17.585369,13.581027,12.025456,11.368714,10.947955,9.318677,7.365848
14_CAS_Techno_H2_STORAGE_gwp23,H2_STORAGE,22.9,1.725152,,27.631394,16.346911,13.341688,13.591666,13.161831,11.747974,10.697719,10.513057,9.465713,8.590263,7.030494
15_CAS_Techno_H2_STORAGE_gwp24,H2_STORAGE,23.9,1.725391,,29.342808,17.700497,13.902051,14.146312,14.54637,12.267283,11.164891,10.739045,9.988504,8.73832,6.961311
16_CAS_Techno_H2_STORAGE_gwp25,H2_STORAGE,24.9,1.725357,,30.258732,18.142157,14.567417,14.209684,15.351467,12.328051,11.196041,10.884325,10.386661,8.511639,6.911758
17_CAS_Techno_H2_STORAGE_gwp26,H2_STORAGE,25.9,1.725208,,29.722858,17.798753,14.7706,14.13884,14.696495,12.436146,11.416594,11.399418,10.617371,8.803078,7.272886
18_CAS_Techno_H2_STORAGE_gwp27,H2_STORAGE,26.9,1.725378,,28.608189,17.079693,13.954058,13.826434,13.83578,12.000385,10.758789,10.874725,10.11491,8.537374,6.961877
19_CAS_Techno_H2_STORAGE_gwp28,H2_STORAGE,27.9,1.72523,,28.66005,16.95299,13.733052,14.018625,13.414283,12.492782,11.548744,11.374656,10.175127,9.282353,7.570246
20_CAS_Techno_H2_STORAGE_gwp29,H2_STORAGE,28.9,1.633097,,25.313777,15.128464,12.155071,13.079387,11.785315,11.049566,10.288493,10.113903,8.973121,8.356571,6.825592
21_CAS_Techno_H2_STORAGE_gwp30,H2_STORAGE,29.9,1.413671,,29.301858,17.40816,14.128705,14.092682,13.84226,12.425511,11.429543,11.189591,10.266381,9.005109,7.345384
