folder;techno_modifiee;gwp_constr;f_H2_STORAGE;f_METHANOL_STORAGE;f_DEC_HP_ELEC;f_IND_DIRECT_ELEC;f_DHN_HP_ELEC;f_IND_BOILER_GAS;f_IND_COGEN_GAS;f_IND_BOILER_WOOD;f_DEC_DIRECT_ELEC;f_DEC_BOILER_WOOD;f_DHN_BOILER_GAS;f_DHN_BOILER_OIL;f_DEC_BOILER_OIL;f_DEC_BOILER_GAS;f_IND_BOILER_OIL;f_DEC_SOLAR;f_DHN_BOILER_WOOD;f_IND_BOILER_WASTE;f_IND_BOILER_COAL;f_IND_COGEN_WOOD;f_DHN_COGEN_WOOD;f_DHN_SOLAR;f_DEC_THHP_GAS;f_DHN_COGEN_GAS;f_DEC_COGEN_GAS;f_IND_COGEN_WASTE;f_DHN_COGEN_WASTE;f_DEC_COGEN_OIL;f_DHN_COGEN_BIO_HYDROLYSIS;f_DHN_COGEN_WET_BIOMASS;f_DEC_ADVCOGEN_H2;f_DEC_ADVCOGEN_GAS;f_DHN_DEEP_GEO
0_CAS_Techno_H2_STORAGE_gwp10;H2_STORAGE;9.9;10.088708;;18.731602;11.994908;9.436669;5.470873;5.587124;3.354316;0.000218;1.9e-05;1.8e-05;1.8e-05;1.9e-05;1.8e-05;1.6e-05;9,00E-06;8,00E-06;7,00E-06;4,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1_CAS_Techno_H2_STORAGE_gwp11;H2_STORAGE;10.9;10.058576;;18.731602;12.002514;9.43623;5.482714;5.588041;3.354431;0.000648;6.3e-05;6.3e-05;5.7e-05;5.8e-05;5.9e-05;5.2e-05;2.8e-05;2.6e-05;2.2e-05;1.3e-05;7,00E-06;7,00E-06;4,00E-06;4,00E-06;4,00E-06;2,00E-06;2,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0
2_CAS_Techno_H2_STORAGE_gwp12;H2_STORAGE;11.9;6.523139;;18.731602;12.104698;9.436751;5.549407;5.610922;3.355685;0.000134;1.1e-05;1,00E-05;1,00E-05;1.1e-05;1.1e-05;9,00E-06;5,00E-06;4,00E-06;4,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3_CAS_Techno_H2_STORAGE_gwp13;H2_STORAGE;12.9;6.195603;;18.731602;12.11457;9.436802;5.55881;5.609814;3.361202;7.8e-05;7,00E-06;7,00E-06;7,00E-06;7,00E-06;7,00E-06;6,00E-06;4,00E-06;3,00E-06;3,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4_CAS_Techno_H2_STORAGE_gwp14;H2_STORAGE;13.9;2.642552;;18.731602;12.2468;9.436292;5.699461;5.611502;3.35867;0.000542;5,00E-05;4.8e-05;4.6e-05;4.5e-05;4.5e-05;3.9e-05;2.1e-05;2,00E-05;1.7e-05;1,00E-05;6,00E-06;5,00E-06;3,00E-06;3,00E-06;3,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0
5_CAS_Techno_H2_STORAGE_gwp14;H2_STORAGE;13.9;2.642552;;18.731602;12.2468;9.436292;5.699461;5.611502;3.35867;0.000542;5,00E-05;4.8e-05;4.6e-05;4.5e-05;4.5e-05;3.9e-05;2.1e-05;2,00E-05;1.7e-05;1,00E-05;6,00E-06;5,00E-06;3,00E-06;3,00E-06;3,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0
6_CAS_Techno_H2_STORAGE_gwp15;H2_STORAGE;14.9;2.642562;;18.731601;12.246778;9.436332;5.699373;5.611579;3.358752;0.000639;6.3e-05;6.4e-05;5.7e-05;5.6e-05;5.6e-05;4.9e-05;3,00E-05;2.6e-05;2.1e-05;1.3e-05;7,00E-06;7,00E-06;5,00E-06;4,00E-06;4,00E-06;2,00E-06;2,00E-06;2,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0
7_CAS_Techno_H2_STORAGE_gwp16;H2_STORAGE;15.9;2.015834;;18.731602;12.288251;9.432565;5.723065;5.610857;3.35307;0.00026;2.5e-05;2.5e-05;2.2e-05;2.3e-05;2.3e-05;2,00E-05;1.2e-05;1,00E-05;9,00E-06;5,00E-06;3,00E-06;3,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0
8_CAS_Techno_H2_STORAGE_gwp17;H2_STORAGE;16.9;2.013906;;18.731602;12.288364;9.432702;5.723037;5.610851;3.353004;0.000133;1.3e-05;1.2e-05;1.1e-05;1.1e-05;1.1e-05;9,00E-06;6,00E-06;5,00E-06;4,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9_CAS_Techno_H2_STORAGE_gwp18;H2_STORAGE;17.9;1.734996;;18.731602;12.311669;9.428632;5.714662;5.610168;3.358317;0.000199;1.8e-05;1.7e-05;1.6e-05;1.7e-05;1.7e-05;1.5e-05;8,00E-06;7,00E-06;6,00E-06;4,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10_CAS_Techno_H2_STORAGE_gwp19;H2_STORAGE;18.9;1.734879;;18.731602;12.311677;9.428701;5.714694;5.610166;3.35824;9.2e-05;8,00E-06;8,00E-06;7,00E-06;7,00E-06;7,00E-06;6,00E-06;4,00E-06;3,00E-06;3,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11_CAS_Techno_H2_STORAGE_gwp20;H2_STORAGE;19.9;1.725915;;18.731602;12.312886;9.427969;5.714328;5.610114;3.358631;0.000458;4.4e-05;4.4e-05;4,00E-05;4,00E-05;4,00E-05;3.5e-05;2.2e-05;1.9e-05;1.5e-05;9,00E-06;5,00E-06;5,00E-06;3,00E-06;3,00E-06;3,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0
12_CAS_Techno_H2_STORAGE_gwp21;H2_STORAGE;20.9;1.725349;;18.731601;12.312688;9.428041;5.713688;5.61013;3.359282;0.000645;5.9e-05;5.8e-05;5.3e-05;5.5e-05;5.5e-05;4.8e-05;2.8e-05;2.4e-05;2.1e-05;1.2e-05;7,00E-06;6,00E-06;4,00E-06;4,00E-06;3,00E-06;2,00E-06;2,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0
