folder;techno_modifiee;gwp_constr;f_H2_STORAGE;f_METHANOL_STORAGE;f_TRUCK_ELEC;f_BOAT_FREIGHT_DIESEL;f_TRUCK_FUEL_CELL;f_TRUCK_DIESEL;f_TRAIN_FREIGHT;f_BOAT_FREIGHT_METHANOL;f_TRUCK_METHANOL;f_TRUCK_NG;f_BOAT_FREIGHT_NG
0_CAS_Techno_H2_STORAGE_gwp10;H2_STORAGE;9.9;10.088708;;51.532007;28.534593;3.806727;62.501086;7.730421;2.027844;2.891593;4.424381;2.079848
1_CAS_Techno_H2_STORAGE_gwp11;H2_STORAGE;10.9;10.058576;;51.493748;29.441744;18.890255;1.421774;7.730421;2.208252;6.540377;1.44798;1.605699
2_CAS_Techno_H2_STORAGE_gwp12;H2_STORAGE;11.9;6.523139;;51.487622;30.321979;0.210588;0.589821;7.73042;3.597583;7.497794;0.249059;1.688048
3_CAS_Techno_H2_STORAGE_gwp13;H2_STORAGE;12.9;6.195603;;51.479972;34.060581;8.291581;0.091447;7.73042;9.61097;3.825588;0.320791;1.521786
4_CAS_Techno_H2_STORAGE_gwp14;H2_STORAGE;13.9;2.642552;;54.153962;31.212775;3.319554;2.267263;7.730421;11.616951;5.514482;0.222968;0.841549
5_CAS_Techno_H2_STORAGE_gwp14;H2_STORAGE;13.9;2.642552;;54.153962;31.212775;3.319554;2.267263;7.730421;11.616951;5.514482;0.222968;0.841549
6_CAS_Techno_H2_STORAGE_gwp15;H2_STORAGE;14.9;2.642562;;51.484478;30.083123;3.847168;15.581516;7.730421;10.80769;0.630873;0.636327;1.450072
7_CAS_Techno_H2_STORAGE_gwp16;H2_STORAGE;15.9;2.015834;;53.221887;30.374898;1.810806;5.601592;7.730421;11.512897;0.322757;5.981069;2.171529
8_CAS_Techno_H2_STORAGE_gwp17;H2_STORAGE;16.9;2.013906;;51.49402;30.074205;43.080218;1.382349;7.73042;3.593246;2.102152;0.801685;1.633929
9_CAS_Techno_H2_STORAGE_gwp18;H2_STORAGE;17.9;1.734996;;51.861631;30.613602;3.863572;21.272459;7.73042;3.160366;0.439655;0.276471;1.715002
10_CAS_Techno_H2_STORAGE_gwp19;H2_STORAGE;18.9;1.734879;;51.492081;32.760895;4.506556;0.149433;7.73042;8.904004;7.05773;1.950954;1.148374
11_CAS_Techno_H2_STORAGE_gwp20;H2_STORAGE;19.9;1.725915;;51.638352;30.459576;19.478544;10.116955;7.730421;2.158766;0.55023;0.234554;1.760743
12_CAS_Techno_H2_STORAGE_gwp21;H2_STORAGE;20.9;1.725349;;52.63521;31.984156;1.272443;9.239589;7.730421;1.664581;5.138147;0.539087;2.005209
13_CAS_Techno_H2_STORAGE_gwp22;H2_STORAGE;21.9;1.725392;;51.541319;28.966992;2.976128;0.868076;7.730421;1.581572;0.313855;0.210242;1.667571
14_CAS_Techno_H2_STORAGE_gwp23;H2_STORAGE;22.9;1.725152;;53.109143;36.759095;19.327673;0.618295;7.730421;1.678575;0.248294;0.478557;1.215537
15_CAS_Techno_H2_STORAGE_gwp24;H2_STORAGE;23.9;1.725391;;51.522016;29.241728;11.585513;8.924991;7.73042;6.237643;0.491574;0.722426;1.943695
16_CAS_Techno_H2_STORAGE_gwp25;H2_STORAGE;24.9;1.725357;;51.508428;30.300516;22.466715;1.920913;7.73042;7.353233;0.446057;1.602691;1.477349
17_CAS_Techno_H2_STORAGE_gwp26;H2_STORAGE;25.9;1.725208;;51.485219;32.806524;3.513166;0.966051;7.730421;12.345176;1.321363;0.319734;8.639208
18_CAS_Techno_H2_STORAGE_gwp27;H2_STORAGE;26.9;1.725378;;51.481982;35.980222;5.115482;0.61281;7.73042;9.761832;0.071993;4.6746;4.269999
19_CAS_Techno_H2_STORAGE_gwp28;H2_STORAGE;27.9;1.72523;;51.482398;40.476837;20.619036;3.096341;7.730421;3.893416;0.160231;0.153807;1.224003
20_CAS_Techno_H2_STORAGE_gwp29;H2_STORAGE;28.9;1.633097;;51.528406;32.88224;42.541854;0.682345;7.730421;2.107272;0.594796;1.809773;6.387641
21_CAS_Techno_H2_STORAGE_gwp30;H2_STORAGE;29.9;1.413671;;51.658524;36.730136;7.925674;3.720689;7.73042;3.766619;2.148135;0.121063;0.652976
22_CAS_Techno_H2_STORAGE_gwp31;H2_STORAGE;30.9;1.2058;;52.41048;44.520285;0.125415;35.258462;7.730421;5.699007;1.779317;0.479204;0.828852
23_CAS_Techno_H2_STORAGE_gwp32;H2_STORAGE;31.9;1.197415;;51.508034;37.439104;15.821135;8.274464;7.730421;2.714915;1.3296;0.310978;1.390961
24_CAS_Techno_H2_STORAGE_gwp33;H2_STORAGE;32.9;1.039529;;51.530735;38.818052;1.820528;1.558195;7.730421;1.469428;0.689273;5.810845;1.16563
25_CAS_Techno_H2_STORAGE_gwp34;H2_STORAGE;33.9;1.039232;;52.385552;32.212417;4.182269;1.622209;7.73042;1.722446;0.406658;0.241648;1.788786
26_CAS_Techno_H2_STORAGE_gwp35;H2_STORAGE;34.9;0.970062;;52.506875;36.58667;67.716619;0.287261;7.73042;1.412306;0.158167;0.425165;1.014353
27_CAS_Techno_H2_STORAGE_gwp36;H2_STORAGE;35.9;0.969982;;53.503386;36.510474;25.362171;4.871393;7.73042;1.696126;0.751445;0.281202;1.20784
28_CAS_Techno_H2_STORAGE_gwp37;H2_STORAGE;36.9;0.970134;;51.477009;35.041825;1.349172;3.509651;7.730421;1.425463;1.374297;1.239162;0.857637
29_CAS_Techno_H2_STORAGE_gwp38;H2_STORAGE;37.9;0.970063;;51.489437;34.646687;10.399233;0.434492;7.730421;2.151394;0.639506;4.680109;1.515881
0_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0057;;705.8927;53.424001;33.737883;14.922847;8.479981;7.730421;5.135089;2.355299;1.640662;2.08136
1_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0063;;705.706574;51.550806;32.290121;2.851256;27.011441;7.73042;1.723312;3.836068;4.585741;1.681963
2_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0069;;705.51959;52.036922;28.602631;5.516072;5.508623;7.73042;27.32255;0.141105;0.225535;1.412297
3_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0075;;705.713824;51.477696;28.447246;38.789962;0.983843;7.730421;6.191589;16.392034;0.161914;1.693819
4_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0081;;705.699781;51.590441;28.919749;22.170629;10.972792;7.730421;5.108707;0.441954;1.565171;1.484839
5_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0087;;705.367461;51.529461;35.472912;7.828492;15.359193;7.730421;5.404239;0.238076;0.21569;1.792334
6_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0093;;705.264284;53.73662;33.825635;0.618293;16.736768;7.73042;4.049873;4.735268;0.399377;1.482961
7_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0098999999999999;;704.891871;51.533801;38.151006;11.362707;11.358498;7.730421;3.605565;5.998553;8.226459;1.469762
8_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0104999999999999;;704.815238;51.485336;33.700326;33.586175;35.861612;7.730421;1.385333;4.034158;1.108023;1.506524
9_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0110999999999999;;704.845317;55.587951;34.968268;8.12027;6.261047;7.730421;5.929289;0.280763;1.881142;1.766814
10_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0116999999999999;;704.823624;51.648877;30.589506;6.354333;7.684489;7.730421;3.736867;1.131782;2.680757;1.655036
11_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0122999999999999;;704.856845;51.548518;32.568981;51.999977;2.070638;7.730421;1.391795;0.61133;0.348106;2.051569
12_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0128999999999999;;704.3533;51.517558;32.229049;19.717014;0.259766;7.730421;7.882943;0.22189;0.466997;1.702223
13_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0134999999999999;;704.594545;51.519573;33.391767;14.586227;1.248701;7.730421;0.952421;0.391838;0.29203;1.694721
14_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0140999999999999;;704.675872;53.274277;28.505303;0.174905;0.189585;7.730421;2.377988;3.33245;4.232402;1.729931
15_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0146999999999999;;704.576791;51.72894;33.628851;9.477553;7.922863;7.730421;3.404218;0.61687;0.455819;1.944649
16_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0152999999999999;;704.662193;51.518434;29.877876;5.495466;0.623418;7.73042;1.880517;0.278362;0.203654;1.638484
17_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0158999999999999;;704.748134;53.988968;38.011417;23.60336;19.452051;7.730421;6.430515;0.209402;0.132919;1.554032
18_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0164999999999999;;704.717843;51.489714;28.698773;9.103515;0.61066;7.730421;2.924667;8.605133;0.661403;0.947417
19_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0170999999999999;;704.322033;51.488447;28.467314;0.582864;0.379148;7.730421;9.457571;0.89402;2.381038;0.919221
20_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0176999999999999;;704.181652;51.592847;33.275319;30.324863;8.972945;7.730421;4.088824;3.043619;2.472999;1.273765
21_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0182999999999999;;703.961925;53.059088;30.539321;32.261568;0.207798;7.730421;5.636218;0.200566;0.201124;1.68456
22_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0188999999999999;;703.933445;54.617961;32.301824;5.267085;5.667778;7.730421;8.177214;7.623376;0.140917;1.766678
23_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0194999999999999;;703.975836;55.845833;34.977983;12.41906;3.177015;7.73042;12.597721;0.213113;0.09817;1.957791
24_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0200999999999999;;703.307434;51.488946;31.086648;39.866672;1.118882;7.730419;2.284232;3.703884;0.572015;2.205244
25_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0206999999999999;;703.932042;51.754413;28.873508;6.886469;4.887234;7.730421;2.303686;3.415931;14.498094;3.236018
26_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0212999999999999;;703.630482;52.485129;28.822426;15.547599;1.833189;7.730421;2.381534;0.678179;2.91359;1.848993
27_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0218999999999999;;703.34944;52.014899;40.7058;28.373332;48.902716;7.73042;5.558624;5.174779;21.363673;1.233105
28_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0224999999999999;;693.345514;51.518449;28.613761;39.119152;0.575283;7.730421;18.665621;2.284117;0.305328;1.563632
29_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0230999999999999;;693.299736;51.485491;28.677891;23.595725;7.502202;7.730421;2.156662;4.607296;1.609422;2.22596
30_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0236999999999999;;693.480223;51.506113;32.38394;0.89089;83.563817;7.730421;1.97905;0.101623;0.156258;1.128793
31_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0242999999999999;;693.308309;51.657818;28.740917;6.923966;14.793019;7.730421;3.890238;0.505843;0.170321;1.20561
32_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0248999999999999;;693.403546;52.045475;29.826049;3.184752;0.386873;7.730421;5.314174;0.555526;0.284741;1.565235
33_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0254999999999999;;693.422415;57.452043;35.612679;1.512272;6.589554;7.730421;5.809099;1.99334;0.341038;1.738545
34_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0260999999999999;;693.056923;51.512343;36.271952;18.996568;0.116305;7.73042;1.645797;0.111508;0.131059;1.590479
35_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0266999999999999;;693.308896;51.516645;35.571042;17.716745;2.999371;7.730421;1.436363;0.171632;4.46412;1.371323
36_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0272999999999999;;693.223428;51.566689;36.134346;1.494919;7.078914;7.730421;3.242839;0.206345;0.43483;1.587257
37_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0278999999999999;;693.295175;51.791913;28.632578;0.793095;61.375679;7.730419;14.504956;3.45912;1.760259;1.519111
38_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0284999999999999;;692.058195;51.532383;36.71498;0.739175;2.509982;7.730421;1.476148;0.186798;0.154619;1.376773
39_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0290999999999999;;692.839738;51.510185;34.469775;46.998151;27.830311;7.730421;7.892476;6.586099;12.580074;1.323644
40_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0296999999999999;;692.914507;51.543923;32.387535;22.81838;18.085226;7.73042;1.856775;4.689548;12.782456;1.661397
41_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0302999999999999;;692.886426;51.51594;32.809255;29.561501;2.994319;7.730421;1.683761;0.542389;14.655872;1.635974
42_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0308999999999999;;692.920038;53.054152;36.841419;17.318118;4.955624;7.730421;8.089618;1.964236;16.414296;1.432526
