folder,techno_modifiee,gwp_constr,f_H2_STORAGE,f_METHANOL_STORAGE,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
0_CAS_Techno_H2_STORAGE_gwp10,H2_STORAGE,9.9,10.088708,,19.188774,8.457797,6.168918,2.021854,1.233998,0.893273
1_CAS_Techno_H2_STORAGE_gwp11,H2_STORAGE,10.9,10.058576,,17.5572,8.304595,6.350836,1.361214,1.171402,1.048523
2_CAS_Techno_H2_STORAGE_gwp12,H2_STORAGE,11.9,6.523139,,16.962866,8.8281,6.821973,1.546454,0.952832,1.010408
3_CAS_Techno_H2_STORAGE_gwp13,H2_STORAGE,12.9,6.195603,,17.558665,11.119201,6.462534,1.057389,0.822404,0.903893
4_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,13.9,2.642552,,17.993742,8.876229,6.242122,1.868598,0.652163,1.008796
5_CAS_Techno_H2_STORAGE_gwp14,H2_STORAGE,13.9,2.642552,,17.993742,8.876229,6.242122,1.868598,0.652163,1.008796
6_CAS_Techno_H2_STORAGE_gwp15,H2_STORAGE,14.9,2.642562,,16.842128,8.781028,6.691904,1.059495,0.950775,1.062591
7_CAS_Techno_H2_STORAGE_gwp16,H2_STORAGE,15.9,2.015834,,17.37918,8.595246,6.439935,1.132363,1.233174,1.014983
8_CAS_Techno_H2_STORAGE_gwp17,H2_STORAGE,16.9,2.013906,,17.191251,8.592533,6.177052,1.063387,0.835366,0.880482
9_CAS_Techno_H2_STORAGE_gwp18,H2_STORAGE,17.9,1.734996,,17.071265,8.482833,6.545821,0.918235,1.415029,0.901328
10_CAS_Techno_H2_STORAGE_gwp19,H2_STORAGE,18.9,1.734879,,17.611418,9.172902,6.190375,0.839765,0.921843,0.867974
11_CAS_Techno_H2_STORAGE_gwp20,H2_STORAGE,19.9,1.725915,,17.264487,8.916974,6.160245,1.259929,0.958195,1.047771
12_CAS_Techno_H2_STORAGE_gwp21,H2_STORAGE,20.9,1.725349,,18.22394,8.584346,6.158936,1.698888,1.107964,1.009658
13_CAS_Techno_H2_STORAGE_gwp22,H2_STORAGE,21.9,1.725392,,16.748119,8.137299,6.175919,0.98849,0.677944,0.990304
14_CAS_Techno_H2_STORAGE_gwp23,H2_STORAGE,22.9,1.725152,,17.318842,9.256638,10.537,1.85068,2.536465,1.024759
15_CAS_Techno_H2_STORAGE_gwp24,H2_STORAGE,23.9,1.725391,,17.148683,8.429391,6.349123,1.147004,0.955478,0.972309
16_CAS_Techno_H2_STORAGE_gwp25,H2_STORAGE,24.9,1.725357,,17.154059,8.495673,8.797419,0.80981,0.91771,0.898442
17_CAS_Techno_H2_STORAGE_gwp26,H2_STORAGE,25.9,1.725208,,17.113613,9.530751,7.839339,1.933685,1.348275,0.951913
18_CAS_Techno_H2_STORAGE_gwp27,H2_STORAGE,26.9,1.725378,,17.764772,9.008349,6.475769,0.656056,0.934583,0.931771
19_CAS_Techno_H2_STORAGE_gwp28,H2_STORAGE,27.9,1.72523,,16.573296,8.768251,6.98053,1.160698,0.997132,1.111372
