folder;techno_modifiee;gwp_constr;f_BATT_LI;f_PHS;f_TS_DEC_HP_ELEC;f_TS_HIGH_TEMP;f_TS_DHN_SEASONAL;f_METHANOL_STORAGE;f_GASOLINE_STORAGE;f_LFO_STORAGE;f_DIESEL_STORAGE;f_AMMONIA_STORAGE;f_H2_STORAGE;f_GAS_STORAGE;f_TS_DEC_THHP_GAS;f_TS_DEC_BOILER_WOOD;f_TS_DEC_BOILER_GAS;f_TS_DEC_BOILER_OIL;f_TS_DEC_DIRECT_ELEC;f_TS_DEC_COGEN_GAS;f_TS_DEC_COGEN_OIL;f_TS_DEC_ADVCOGEN_H2;f_TS_DEC_ADVCOGEN_GAS;f_TS_DHN_DAILY;f_BEV_BATT;f_PHEV_BATT
0_IS_Techno_BATT_LI_gwp61;BATT_LI;61.3;46.352946;6.499388;60.365517;70.194919;1003.792753;1.936102;1.980558;1.892593;1.960714;1.924634;0.001632;0.00704;0.000224;0.000224;0.000224;0.000224;0.000224;0.000223;0.000223;0.000222;0.000222;9.3e-05;1.8e-05;1,00E-05
1_IS_Techno_BATT_LI_gwp62;BATT_LI;61.8;46.351266;6.49991;60.365537;70.19543;1003.796985;0.977078;0.980088;0.990541;0.972007;0.97657;0.000975;0.003407;0.000162;0.000162;0.000162;0.000161;0.000161;0.000161;0.000161;0.00016;0.000159;4.2e-05;1,00E-05;7,00E-06
0_IS_Techno_BATT_LI_gwp62;BATT_LI;62.3;46.351243;6.499891;60.365525;70.195862;1003.78806;0.71404;0.723976;0.706495;0.717455;0.710768;0.000477;0.002064;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.2e-05;1.8e-05;4,00E-06;3,00E-06
2_IS_Techno_BATT_LI_gwp62;BATT_LI;62.3;46.351243;6.499891;60.365525;70.195862;1003.78806;0.71404;0.723976;0.706495;0.717455;0.710768;0.000477;0.002064;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.3e-05;6.2e-05;1.8e-05;4,00E-06;3,00E-06
1_IS_Techno_BATT_LI_gwp68;BATT_LI;68.3;45.13881;6.499794;60.365531;70.285561;1027.793648;2.703679;2.712429;2.713685;2.701851;2.703109;0.001955;0.009674;0.00033;0.00033;0.000329;0.000329;0.000329;0.000329;0.000328;0.000327;0.000327;0.000111;2.4e-05;1.5e-05
2_IS_Techno_BATT_LI_gwp74;BATT_LI;74.3;44.387251;6.499881;60.274102;70.396731;1066.810949;2.972411;2.967649;3.008627;2.957159;2.979766;0.002377;0.012173;0.000403;0.000403;0.000403;0.000403;0.000403;0.000402;0.000402;0.0004;0.0004;0.000158;3.1e-05;1.8e-05
3_IS_Techno_BATT_LI_gwp80;BATT_LI;80.3;40.23191;6.499937;62.269327;72.551314;1077.878937;2.339864;2.339923;2.349894;2.345188;2.341564;0.001527;0.007726;0.000231;0.000231;0.000231;0.000231;0.000231;0.000231;0.00023;0.00023;0.000229;7.6e-05;1.6e-05;1.1e-05
4_IS_Techno_BATT_LI_gwp86;BATT_LI;86.3;39.488047;6.499955;63.979144;72.556669;1074.228644;1.492437;1.488583;1.51356;1.483226;1.493747;0.002166;0.006281;0.000219;0.000219;0.000219;0.000219;0.000219;0.000219;0.000219;0.000217;0.000217;8.6e-05;1.7e-05;1,00E-05
5_IS_Techno_BATT_LI_gwp92;BATT_LI;92.3;36.151838;6.499993;67.987136;73.004974;1084.742124;0.116832;0.117404;0.117289;0.116752;0.116682;0.000571;0.00043;1.5e-05;1.5e-05;1.5e-05;1.5e-05;1.5e-05;1.5e-05;1.5e-05;1.4e-05;1.4e-05;5,00E-06;1,00E-06;1,00E-06
6_IS_Techno_BATT_LI_gwp98;BATT_LI;98.3;29.634955;6.499888;72.119573;73.839093;1105.161915;2.857205;2.855446;2.89378;2.847187;2.860495;0.032111;0.01148;0.000392;0.000392;0.000392;0.000392;0.000391;0.000391;0.00039;0.000388;0.000388;0.000142;3,00E-05;1.8e-05
