folder;techno_modifiee;gwp_constr;f_BATT_LI;f_PHS;f_TS_DEC_HP_ELEC;f_TS_HIGH_TEMP;f_PV;f_DEC_HP_ELEC;f_IND_DIRECT_ELEC;f_WIND_ONSHORE;f_DHN_HP_ELEC;f_IND_BOILER_GAS;f_WIND_OFFSHORE;f_IND_COGEN_GAS;f_IND_BOILER_WOOD;f_CCGT_AMMONIA;f_HYDRO_RIVER;f_DEC_DIRECT_ELEC;f_DHN_BOILER_GAS;f_DHN_BOILER_OIL;f_DEC_BOILER_WOOD;f_DEC_BOILER_GAS;f_DEC_BOILER_OIL;f_IND_BOILER_OIL;f_DHN_BOILER_WOOD;f_DEC_SOLAR;f_IND_BOILER_WASTE;f_IND_BOILER_COAL;f_CCGT;f_IND_COGEN_WOOD;f_DHN_COGEN_WOOD;f_DEC_THHP_GAS;f_DHN_SOLAR;f_DHN_COGEN_GAS;f_IND_COGEN_WASTE;f_DHN_COGEN_WASTE;f_DEC_COGEN_GAS;f_DEC_COGEN_OIL;f_DHN_COGEN_BIO_HYDROLYSIS;f_DHN_COGEN_WET_BIOMASS;f_DEC_ADVCOGEN_H2;f_DEC_ADVCOGEN_GAS;f_GEOTHERMAL;f_NUCLEAR;f_COAL_US;f_COAL_IGCC;f_DHN_DEEP_GEO
0_IS_Techno_BATT_LI_gwp61;BATT_LI;61.3;46.352946;;;;59.174991;18.731602;18.152119;10.0;8.941783;6.224225;6.0;5.210635;3.983276;0.64707;0.115;0.000302;3,00E-05;2.6e-05;3,00E-05;2.6e-05;2.6e-05;2.3e-05;1.2e-05;1,00E-05;1,00E-05;6,00E-06;4,00E-06;4,00E-06;4,00E-06;2,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0
1_IS_Techno_BATT_LI_gwp62;BATT_LI;61.8;46.351266;;;;59.174994;18.731602;18.152094;10.0;8.941839;6.22415;6.0;5.210596;3.983208;0.647057;0.115;0.000246;2.2e-05;2,00E-05;2.3e-05;2.1e-05;2.1e-05;1.7e-05;9,00E-06;6,00E-06;7,00E-06;4,00E-06;3,00E-06;3,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0_IS_Techno_BATT_LI_gwp62;BATT_LI;62.3;46.351243;;;;59.174997;18.731602;18.152088;10.0;8.941768;6.224086;6.0;5.210623;3.983298;0.647033;0.115;0.000101;8,00E-06;8,00E-06;9,00E-06;8,00E-06;8,00E-06;7,00E-06;4,00E-06;3,00E-06;3,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2_IS_Techno_BATT_LI_gwp62;BATT_LI;62.3;46.351243;;;;59.174997;18.731602;18.152088;10.0;8.941768;6.224086;6.0;5.210623;3.983298;0.647033;0.115;0.000101;8,00E-06;8,00E-06;9,00E-06;8,00E-06;8,00E-06;7,00E-06;4,00E-06;3,00E-06;3,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1_IS_Techno_BATT_LI_gwp68;BATT_LI;68.3;45.13881;;;;59.174986;18.731602;17.917388;10.0;8.93077;6.21121;6.0;5.202073;3.971279;0.726277;0.115;0.000439;4,00E-05;3.6e-05;4.1e-05;3.9e-05;3.9e-05;3.4e-05;1.8e-05;1.5e-05;1.5e-05;9,00E-06;6,00E-06;5,00E-06;5,00E-06;3,00E-06;3,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0
2_IS_Techno_BATT_LI_gwp74;BATT_LI;74.3;44.387251;;;;59.174976;18.718899;17.918677;10.0;9.103711;6.195248;6.0;5.181113;4.162758;0.710436;0.115;0.000508;5.1e-05;4.3e-05;4.9e-05;4.7e-05;4.7e-05;4.2e-05;2.3e-05;2.5e-05;1.9e-05;1.1e-05;7,00E-06;7,00E-06;7,00E-06;4,00E-06;4,00E-06;3,00E-06;2,00E-06;2,00E-06;2,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0
3_IS_Techno_BATT_LI_gwp80;BATT_LI;80.3;40.23191;;;;59.174988;18.996073;18.147991;10.0;9.157438;6.161801;6.0;5.126177;3.97228;0.829102;0.115;0.000331;2.8e-05;2.6e-05;2.9e-05;2.8e-05;2.8e-05;2.4e-05;1.2e-05;1.2e-05;1,00E-05;6,00E-06;4,00E-06;3,00E-06;3,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0
4_IS_Techno_BATT_LI_gwp86;BATT_LI;86.3;39.488047;;;;59.174989;19.233602;18.156448;10.0;9.131856;6.167691;6.0;5.132465;3.971328;0.90022;0.115;0.000286;2.8e-05;2.5e-05;2.8e-05;2.6e-05;2.6e-05;2.3e-05;1.2e-05;1.1e-05;1,00E-05;6,00E-06;3,00E-06;3,00E-06;3,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0
5_IS_Techno_BATT_LI_gwp92;BATT_LI;92.3;36.151838;;;;59.174999;19.685861;18.682656;10.0;9.205609;6.128375;6.0;5.08473;3.950994;0.971795;0.115;2,00E-05;2,00E-06;2,00E-06;2,00E-06;2,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6_IS_Techno_BATT_LI_gwp98;BATT_LI;98.3;29.634955;;;;59.174976;19.87823;18.981059;10.0;9.342511;6.155528;6.0;5.093429;4.008181;0.890547;0.115;0.000514;4.8e-05;4.3e-05;4.8e-05;4.6e-05;4.6e-05;4,00E-05;2.1e-05;2.5e-05;1.8e-05;1,00E-05;5,00E-06;6,00E-06;6,00E-06;3,00E-06;4,00E-06;2,00E-06;2,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;1,00E-06;0.0;0.0;0.0;0.0;0.0
