folder,techno_modifiee,gwp_constr,f_BATT_LI,f_PHS,f_TS_DEC_HP_ELEC,f_TS_HIGH_TEMP,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
0_IS_Techno_BATT_LI_gwp61,BATT_LI,61.3,46.352946,,,,17.533633,9.876134,7.273152,1.259626,2.112769,0.919524
1_IS_Techno_BATT_LI_gwp62,BATT_LI,61.8,46.351266,,,,17.000678,8.997675,6.941034,1.182819,0.92135,0.838019
0_IS_Techno_BATT_LI_gwp62,BATT_LI,62.3,46.351243,,,,17.893214,11.787818,8.870954,3.540093,1.115517,0.960126
2_IS_Techno_BATT_LI_gwp62,BATT_LI,62.3,46.351243,,,,17.893214,11.787818,8.870954,3.540093,1.115517,0.960126
1_IS_Techno_BATT_LI_gwp68,BATT_LI,68.3,45.13881,,,,17.007692,9.478106,7.467372,1.151848,1.541857,0.9402
2_IS_Techno_BATT_LI_gwp74,BATT_LI,74.3,44.387251,,,,16.687491,8.467097,6.913544,1.286061,0.783826,1.045939
3_IS_Techno_BATT_LI_gwp80,BATT_LI,80.3,40.23191,,,,16.670183,9.422655,6.149233,1.061631,0.733216,1.09821
4_IS_Techno_BATT_LI_gwp86,BATT_LI,86.3,39.488047,,,,16.581592,7.984097,6.419852,1.114533,0.761123,1.024402
5_IS_Techno_BATT_LI_gwp92,BATT_LI,92.3,36.151838,,,,17.955008,9.274051,6.35178,1.24686,2.175421,1.146784
6_IS_Techno_BATT_LI_gwp98,BATT_LI,98.3,29.634955,,,,19.798973,9.392867,6.258415,1.182244,0.590896,1.024489
7_IS_Techno_BATT_LI_gwp104,BATT_LI,104.3,28.321084,,,,16.738746,8.9811,6.209325,1.523945,1.388022,1.297596
8_IS_Techno_BATT_LI_gwp110,BATT_LI,110.3,7.397624,,,,17.473978,9.107616,6.597274,1.610926,3.061908,1.180067
9_IS_Techno_BATT_LI_gwp116,BATT_LI,116.3,1.748538,,,,17.139695,8.853787,6.833424,1.112427,0.695245,1.105471
10_IS_Techno_BATT_LI_gwp122,BATT_LI,122.3,0.000355,,,,17.102801,8.446458,6.354447,0.959635,1.913476,1.067134
0_IS_Techno_PHS_gwp8,PHS,8.33,,6.499388,,,17.533633,9.876134,7.273152,1.259626,2.112769,0.919524
1_IS_Techno_PHS_gwp9,PHS,9.13,,6.499892,,,17.33901,11.098477,8.62747,2.339926,3.4483,0.971059
2_IS_Techno_PHS_gwp10,PHS,9.93,,6.499715,,,18.22962,13.425219,6.633156,2.330969,0.969166,1.173177
3_IS_Techno_PHS_gwp11,PHS,10.730000000000002,,6.499833,,,17.95094,9.713393,7.363932,1.303965,1.673929,0.984623
4_IS_Techno_PHS_gwp12,PHS,11.530000000000005,,6.499886,,,18.059067,9.915788,7.130186,1.42975,1.746453,0.99065
5_IS_Techno_PHS_gwp12,PHS,12.330000000000004,,6.499918,,,17.367367,8.724279,6.379054,1.306016,0.805301,1.095393
6_IS_Techno_PHS_gwp13,PHS,13.130000000000004,,6.499815,,,18.524025,10.039479,6.606838,1.420921,0.908851,1.045514
7_IS_Techno_PHS_gwp14,PHS,13.930000000000003,,6.499941,,,17.800937,9.366863,7.563906,1.265951,2.499295,0.874577
8_IS_Techno_PHS_gwp15,PHS,14.730000000000006,,6.499983,,,17.156647,9.243223,7.123829,1.064895,0.449169,1.496752
9_IS_Techno_PHS_gwp16,PHS,15.530000000000006,,6.499837,,,17.126074,9.559211,7.276331,0.898687,0.93813,0.916217
10_IS_Techno_PHS_gwp16,PHS,16.330000000000005,,6.499878,,,17.797218,8.966664,7.379788,1.157325,0.789679,0.883322
11_IS_Techno_PHS_gwp17,PHS,17.130000000000006,,6.499865,,,17.855105,10.545194,16.57779,1.618814,1.065679,0.875024
12_IS_Techno_PHS_gwp18,PHS,17.930000000000007,,6.499956,,,16.80512,11.315167,6.199501,0.844052,0.571112,0.996461
13_IS_Techno_PHS_gwp19,PHS,18.730000000000008,,6.499987,,,18.535596,13.138639,6.303825,0.901293,0.999266,0.883212
14_IS_Techno_PHS_gwp20,PHS,19.53000000000001,,6.499973,,,17.485094,9.824648,9.403619,1.857705,1.123698,1.16196
15_IS_Techno_PHS_gwp20,PHS,20.33000000000001,,6.499949,,,16.600442,8.516616,6.210669,1.118568,0.838653,1.046649
16_IS_Techno_PHS_gwp21,PHS,21.13000000000001,,6.499902,,,16.722662,8.589822,6.378647,0.882694,1.087012,1.053381
17_IS_Techno_PHS_gwp22,PHS,21.93000000000001,,6.499986,,,16.693447,32.37357,6.208024,2.127903,2.893555,1.294649
18_IS_Techno_PHS_gwp23,PHS,22.73000000000001,,6.499956,,,16.53191,11.060787,6.182409,1.719358,1.305439,0.809952
19_IS_Techno_PHS_gwp24,PHS,23.53000000000001,,6.499945,,,17.680146,10.935845,6.206583,1.106545,0.857291,0.943615
20_IS_Techno_PHS_gwp24,PHS,24.330000000000013,,6.499938,,,17.217588,9.382203,6.325547,2.351353,1.050134,1.303054
21_IS_Techno_PHS_gwp25,PHS,25.130000000000013,,6.499939,,,16.797954,9.769718,6.137818,1.149442,0.59806,1.008801
22_IS_Techno_PHS_gwp26,PHS,25.93000000000001,,6.499745,,,16.794701,11.117381,6.181313,1.502117,1.122809,1.18402
23_IS_Techno_PHS_gwp27,PHS,26.73000000000001,,6.499937,,,16.806576,8.909157,6.348788,1.466644,0.751368,1.079145
24_IS_Techno_PHS_gwp28,PHS,27.530000000000012,,6.499924,,,17.168241,9.030631,6.372211,1.329727,0.727079,0.825861
25_IS_Techno_PHS_gwp28,PHS,28.330000000000016,,6.499693,,,18.030923,9.959645,6.183918,0.843056,1.25379,1.224323
26_IS_Techno_PHS_gwp29,PHS,29.130000000000017,,6.499815,,,22.602422,9.973767,6.546194,1.808712,1.721832,0.653398
