folder,techno_modifiee,gwp_constr,f_BATT_LI,f_BEV_BATT,f_BIOFUELS,f_GAS_STORAGE,f_H2_STORAGE,f_PHEV_BATT,f_TS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DHN_DAILY,f_TS_HIGH_TEMP,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_HABER_BOSCH,f_GAS_TO_HVC,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
Techno_BATT_LI_gwp0,BATT_LI,0.0,149.180156,,,,,,,,,,,24.266869,13.370632,12.382786,11.328601,11.438047,9.819485,9.614955,9.054677,8.2581,7.296887,6.035401
Techno_BATT_LI_gwp1,BATT_LI,1.2999999999999972,121.270062,,,,,,,,,,,29.860993,17.394756,14.213702,13.956649,15.19269,12.361892,11.642138,10.766132,10.095825,8.911191,7.150219
Techno_BATT_LI_gwp6,BATT_LI,6.299999999999997,75.060941,,,,,,,,,,,25.039553,13.955667,12.753184,11.681507,11.719716,10.378702,10.019659,9.480241,8.592061,7.743015,6.354783
Techno_BATT_LI_gwp11,BATT_LI,11.299999999999995,68.546904,,,,,,,,,,,25.570616,14.821781,13.386285,12.388119,11.978206,11.274114,11.037261,10.867581,9.587738,9.067663,7.749888
Techno_BATT_LI_gwp16,BATT_LI,16.299999999999997,66.269032,,,,,,,,,,,25.55964,15.543166,13.253443,12.604355,12.740405,10.659432,10.217107,9.685689,9.066562,7.846674,6.399659
Techno_BATT_LI_gwp21,BATT_LI,21.3,60.737772,,,,,,,,,,,29.711483,17.044976,14.295731,14.009119,14.128603,12.481496,11.765929,11.340611,10.259938,9.413996,7.720098
Techno_BATT_LI_gwp26,BATT_LI,26.3,59.89814,,,,,,,,,,,26.523087,15.149111,13.55671,12.786301,12.10562,11.595218,11.19762,10.936216,9.361537,9.119174,7.570551
Techno_BATT_LI_gwp31,BATT_LI,31.3,58.823935,,,,,,,,,,,26.882345,15.644158,13.330059,13.319615,12.926291,11.2819,10.803328,10.523344,9.596497,8.358739,7.052975
Techno_BATT_LI_gwp36,BATT_LI,36.3,57.281272,,,,,,,,,,,27.161521,15.891642,13.475787,12.960125,13.286259,11.487309,10.905316,10.436779,9.490638,8.675412,7.14604
Techno_BATT_LI_gwp41,BATT_LI,41.3,53.553894,,,,,,,,,,,27.476344,16.042804,13.498594,13.65247,13.283073,11.574738,11.118063,10.892237,9.734119,8.759002,7.323506
