folder,techno_modifiee,gwp_constr,f_BATT_LI,f_BEV_BATT,f_BIOFUELS,f_GAS_STORAGE,f_H2_STORAGE,f_PHEV_BATT,f_TS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DHN_DAILY,f_TS_HIGH_TEMP,f_PV,f_DEC_HP_ELEC,f_WIND_ONSHORE,f_DHN_HP_ELEC,f_WIND_OFFSHORE,f_CCGT_AMMONIA,f_HYDRO_RIVER,f_DEC_DIRECT_ELEC,f_DEC_BOILER_WOOD,f_DHN_BOILER_GAS,f_DEC_BOILER_GAS,f_DEC_BOILER_OIL,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DEC_SOLAR,f_CCGT,f_DHN_COGEN_WOOD,f_DEC_THHP_GAS,f_DHN_SOLAR,f_DHN_COGEN_GAS,f_DHN_COGEN_WASTE,f_DEC_COGEN_GAS,f_DEC_COGEN_OIL,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DEC_ADVCOGEN_H2,f_DEC_ADVCOGEN_GAS,f_DHN_DEEP_GEO,f_GEOTHERMAL,f_NUCLEAR,f_COAL_US,f_COAL_IGCC
Techno_BATT_LI_gwp0,BATT_LI,0.0,149.180156,,,,,,,,,,,59.174998,19.104135,10.0,7.411156,6.0,0.479037,0.115,9.2e-05,8e-06,7e-06,8e-06,8e-06,7e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp1,BATT_LI,1.2999999999999972,121.270062,,,,,,,,,,,59.174992,19.104135,10.0,7.41979,6.0,0.475301,0.115,0.000408,3.6e-05,3.5e-05,3.4e-05,3.4e-05,3.3e-05,1.5e-05,9e-06,4e-06,4e-06,2e-06,1e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp6,BATT_LI,6.299999999999997,75.060941,,,,,,,,,,,59.174991,19.001637,10.0,7.602374,6.0,0.439606,0.115,0.000394,3.5e-05,3.5e-05,3.4e-05,3.3e-05,3.2e-05,1.5e-05,9e-06,4e-06,4e-06,2e-06,1e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp11,BATT_LI,11.299999999999995,68.546904,,,,,,,,,,,59.174998,18.975241,10.0,7.809875,6.0,0.443675,0.115,8.6e-05,7e-06,7e-06,8e-06,7e-06,7e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp16,BATT_LI,16.299999999999997,66.269032,,,,,,,,,,,59.174985,18.961552,10.0,7.94603,6.0,0.416572,0.115,0.000683,6.2e-05,6e-05,5.3e-05,5.3e-05,5.6e-05,2.5e-05,1.5e-05,5e-06,7e-06,3e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp21,BATT_LI,21.3,60.737772,,,,,,,,,,,59.174989,18.961552,10.0,8.138827,6.0,0.401319,0.115,0.000582,5.1e-05,4.9e-05,4.9e-05,4.8e-05,4.7e-05,2.1e-05,1.1e-05,5e-06,6e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp26,BATT_LI,26.3,59.89814,,,,,,,,,,,59.174999,18.961553,10.0,8.191956,6.0,0.386454,0.115,5.4e-05,4e-06,4e-06,4e-06,4e-06,4e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp31,BATT_LI,31.3,58.823935,,,,,,,,,,,59.17499,18.961552,10.0,8.24415,6.0,0.385632,0.115,0.00044,4.4e-05,4.4e-05,3.6e-05,3.6e-05,4e-05,1.8e-05,1e-05,4e-06,5e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp36,BATT_LI,36.3,57.281272,,,,,,,,,,,59.174992,18.961552,10.0,8.367012,6.0,0.393207,0.115,0.000312,2.9e-05,2.8e-05,2.8e-05,2.8e-05,2.6e-05,1.3e-05,9e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp41,BATT_LI,41.3,53.553894,,,,,,,,,,,59.174999,18.961553,10.0,8.498433,6.0,0.451246,0.115,2.4e-05,2e-06,2e-06,2e-06,2e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp46,BATT_LI,46.3,50.875223,,,,,,,,,,,59.174994,18.914712,10.0,8.778004,6.0,0.549365,0.115,0.000271,2.5e-05,2.3e-05,2.2e-05,2.2e-05,2.2e-05,1e-05,6e-06,3e-06,3e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp51,BATT_LI,51.3,48.045916,,,,,,,,,,,59.174999,18.779822,10.0,8.851806,6.0,0.600957,0.115,4.3e-05,4e-06,4e-06,4e-06,4e-06,3e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp56,BATT_LI,56.3,46.455649,,,,,,,,,,,59.174996,18.741135,10.0,8.938573,6.0,0.656374,0.115,0.00015,1.4e-05,1.4e-05,1.2e-05,1.2e-05,1.3e-05,6e-06,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BATT_LI_gwp61,BATT_LI,61.3,46.351392,,,,,,,,,,,59.174995,18.731602,10.0,8.941853,6.0,0.647062,0.115,0.0002,1.7e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,7e-06,6e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techno_BEV_BATT_gwp0,BEV_BATT,0.0,,368.867477,,,,,,,,,,59.174993,18.961553,10.0,7.731162,6.0,0.485472,0.115,0.000334,3.1e-05,3e-05,2.8e-05,2.8e-05,2.8e-05,1.3e-05,8e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
