folder,techno_modifiee,gwp_constr,f_BATT_LI,f_BEV_BATT,f_BIOFUELS,f_GAS_STORAGE,f_H2_STORAGE,f_PHEV_BATT,f_TS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DHN_DAILY,f_TS_HIGH_TEMP,f_TRUCK_ELEC,f_BOAT_FREIGHT_DIESEL,f_TRUCK_FUEL_CELL,f_TRAIN_FREIGHT,f_BOAT_FREIGHT_METHANOL,f_TRUCK_DIESEL,f_BOAT_FREIGHT_NG,f_TRUCK_NG,f_TRUCK_METHANOL
Techno_BATT_LI_gwp0,BATT_LI,0.0,149.180156,,,,,,,,,,,60.341996,28.096405,27.348571,7.73042,1.677256,18.844974,2.333609,2.489504,3.958895
Techno_BATT_LI_gwp1,BATT_LI,1.2999999999999972,121.270062,,,,,,,,,,,51.523246,28.297996,1.790377,7.730421,1.505915,0.583454,2.907932,1.831996,0.956306
Techno_BATT_LI_gwp6,BATT_LI,6.299999999999997,75.060941,,,,,,,,,,,51.864306,28.162903,8.847306,7.730421,20.996079,5.842133,6.32143,2.313899,7.142866
Techno_BATT_LI_gwp11,BATT_LI,11.299999999999995,68.546904,,,,,,,,,,,58.414687,28.231831,8.937317,7.730421,5.980258,3.030704,2.322332,0.500944,6.726538
Techno_BATT_LI_gwp16,BATT_LI,16.299999999999997,66.269032,,,,,,,,,,,51.930557,28.259447,22.68965,7.730421,13.360775,0.951656,2.833924,12.019613,1.148855
Techno_BATT_LI_gwp21,BATT_LI,21.3,60.737772,,,,,,,,,,,51.630709,28.335999,1.43188,7.730421,1.470982,5.156443,2.143263,10.038151,0.69343
Techno_BATT_LI_gwp26,BATT_LI,26.3,59.89814,,,,,,,,,,,51.548126,28.587628,28.246917,7.73042,19.879472,0.438987,2.368251,0.845302,0.146732
Techno_BATT_LI_gwp31,BATT_LI,31.3,58.823935,,,,,,,,,,,51.915809,27.965044,0.238422,7.73042,20.640135,1.493119,6.310255,7.579347,0.769021
Techno_BATT_LI_gwp36,BATT_LI,36.3,57.281272,,,,,,,,,,,51.492938,28.25209,15.965651,7.730421,6.69454,1.380853,2.333903,0.409006,4.434586
Techno_BATT_LI_gwp41,BATT_LI,41.3,53.553894,,,,,,,,,,,51.474351,31.620972,22.705628,7.73042,14.214372,4.741761,5.674326,2.861046,0.146665
Techno_BATT_LI_gwp46,BATT_LI,46.3,50.875223,,,,,,,,,,,51.486942,27.939358,17.398474,7.730421,2.100118,0.514815,6.999758,5.434225,0.291054
