folder,techno_modifiee,gwp_constr,f_CAR_BEV,f_CAR_FUEL_CELL,f_CAR_HEV,f_CAR_DIESEL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_NG,f_CAR_METHANOL
24_MOB_electrique_gwp0,electrique,0.0,3.3e-05,0.0,0.0,176.964551,2.1e-05,1.6e-05,1e-06,0.0
39_MOB_electrique_gwp0,electrique,0.0,3.3e-05,0.0,0.0,176.964551,2.1e-05,1.6e-05,1e-06,0.0
38_MOB_electrique_gwp5,electrique,5.0,2.3e-05,0.0,0.0,176.964577,8e-06,1.1e-05,0.0,0.0
37_MOB_electrique_gwp15,electrique,15.0,5e-06,0.0,0.0,176.964584,2.6e-05,2e-06,0.0,0.0
36_MOB_electrique_gwp25,electrique,25.0,3.3e-05,0.0,0.0,176.964527,3.9e-05,1.6e-05,2e-06,0.0
35_MOB_electrique_gwp35,electrique,35.0,6.2e-05,0.0,0.0,176.96429,0.000225,3.7e-05,2e-06,0.0
34_MOB_electrique_gwp45,electrique,45.0,9e-06,0.0,0.0,176.964582,2.2e-05,5e-06,1e-06,0.0
33_MOB_electrique_gwp55,electrique,55.0,1.2e-05,0.0,0.0,176.964515,8.3e-05,7e-06,1e-06,0.0
32_MOB_electrique_gwp65,electrique,65.0,3.8e-05,0.0,0.0,176.964377,0.000178,2.2e-05,2e-06,0.0
31_MOB_electrique_gwp75,electrique,75.0,1.8e-05,0.0,0.0,176.964516,7.3e-05,1e-05,2e-06,0.0
30_MOB_electrique_gwp85,electrique,85.0,7e-06,0.0,0.0,176.96455,5.5e-05,5e-06,1e-06,0.0
29_MOB_electrique_gwp95,electrique,95.0,7.5e-05,0.0,0.0,176.962237,0.002237,5e-05,1.1e-05,0.0
28_MOB_electrique_gwp105,electrique,105.0,9.2e-05,0.0,0.0,176.963619,0.000829,5.9e-05,1.8e-05,1e-06
27_MOB_electrique_gwp115,electrique,115.0,5e-06,0.0,0.0,176.964603,5e-06,4e-06,1e-06,0.0
26_MOB_electrique_gwp125,electrique,125.0,1.2e-05,0.0,0.0,176.96452,7.7e-05,9e-06,1e-06,0.0
25_MOB_electrique_gwp135,electrique,135.0,7e-05,0.0,0.0,176.964461,4.1e-05,5.2e-05,1e-06,0.0
24_MOB_electrique_gwp145,electrique,145.0,1.6e-05,0.0,0.0,176.964346,0.00024,1.2e-05,5e-06,0.0
23_MOB_electrique_gwp155,electrique,155.0,2.4e-05,0.0,0.0,176.964406,0.000154,2.1e-05,1e-06,0.0
22_MOB_electrique_gwp165,electrique,165.0,1.3e-05,0.0,0.0,176.964517,7.5e-05,1e-05,1e-06,0.0
21_MOB_electrique_gwp175,electrique,175.0,1e-05,0.0,0.0,176.964565,3.4e-05,8e-06,1e-06,0.0
20_MOB_electrique_gwp185,electrique,185.0,2.9e-05,0.0,0.0,176.964429,0.000118,2.3e-05,2e-05,2e-06
19_MOB_electrique_gwp195,electrique,195.0,1.8e-05,0.0,0.0,176.964551,3.2e-05,1.5e-05,2e-06,2e-06
18_MOB_electrique_gwp205,electrique,205.0,1.9e-05,0.0,0.0,176.964391,0.000182,1.6e-05,8e-06,0.0
17_MOB_electrique_gwp215,electrique,215.0,6.2e-05,0.0,0.0,176.964233,0.000245,5.6e-05,2e-05,1e-06
16_MOB_electrique_gwp225,electrique,225.0,5.9e-05,0.0,0.0,176.964041,0.000449,5.5e-05,2e-05,1e-06
15_MOB_electrique_gwp235,electrique,235.0,2.3e-05,0.0,0.0,176.964235,0.000335,2.3e-05,1e-06,0.0
14_MOB_electrique_gwp245,electrique,245.0,3.9e-05,0.0,0.0,176.963675,0.000852,4e-05,1.3e-05,7e-06
13_MOB_electrique_gwp255,electrique,255.0,1.6e-05,0.0,0.0,176.964491,9.4e-05,1.7e-05,4e-06,1e-06
12_MOB_electrique_gwp265,electrique,265.0,3e-05,0.0,0.0,176.964378,0.00016,3.1e-05,2e-05,0.0
11_MOB_electrique_gwp275,electrique,275.0,3.8e-05,0.0,1e-06,176.964474,6.1e-05,3.5e-05,1.1e-05,6e-06
10_MOB_electrique_gwp285,electrique,285.0,1e-05,0.0,0.0,176.964521,6.6e-05,1e-05,1e-05,0.0
9_MOB_electrique_gwp295,electrique,295.0,2e-05,0.0,0.0,176.963975,0.000594,2.3e-05,1e-06,0.0
8_MOB_electrique_gwp305,electrique,305.0,6e-06,0.0,0.0,176.964503,0.000101,7e-06,1e-06,0.0
7_MOB_electrique_gwp315,electrique,315.0,5e-06,0.0,0.0,176.96459,1.5e-05,6e-06,3e-06,0.0
6_MOB_electrique_gwp325,electrique,325.0,2.2e-05,0.0,0.0,176.964393,0.000167,3.3e-05,7e-06,1e-06
5_MOB_electrique_gwp335,electrique,335.0,1e-05,0.0,0.0,176.964442,0.000147,1.1e-05,6e-06,0.0
4_MOB_electrique_gwp345,electrique,345.0,1e-05,0.0,0.0,176.96456,3.5e-05,1.2e-05,2e-06,0.0
3_MOB_electrique_gwp355,electrique,355.0,1.9e-05,0.0,0.0,176.96429,0.000275,2.3e-05,1.4e-05,1e-06
2_MOB_electrique_gwp365,electrique,365.0,2.6e-05,0.0,0.0,176.963743,0.000765,3.4e-05,4.9e-05,2e-06
1_MOB_electrique_gwp375,electrique,375.0,6e-06,0.0,0.0,176.9646,5e-06,8e-06,0.0,0.0
0_MOB_electrique_gwp385,electrique,385.0,2.9e-05,0.0,0.0,176.964332,0.000207,3.8e-05,1.1e-05,0.0
15_MOB_fuel_cell_gwp336,fuel_cell,336.0,2.5e-05,176.964532,0.0,2.1e-05,1e-05,2.8e-05,3e-06,2e-06
14_MOB_fuel_cell_gwp366,fuel_cell,366.0,0.000112,176.963875,1e-06,0.000115,0.000379,0.00013,9e-06,1e-06
13_MOB_fuel_cell_gwp396,fuel_cell,396.0,7e-06,2e-06,0.0,176.96458,2e-05,9e-06,1e-06,0.0
12_MOB_fuel_cell_gwp426,fuel_cell,426.0,3e-06,0.0,0.0,176.964569,4.1e-05,4e-06,0.0,0.0
11_MOB_fuel_cell_gwp456,fuel_cell,456.0,3e-06,0.0,0.0,176.964593,1.3e-05,4e-06,4e-06,0.0
10_MOB_fuel_cell_gwp486,fuel_cell,486.0,3e-06,0.0,0.0,176.964605,7e-06,3e-06,0.0,0.0
9_MOB_fuel_cell_gwp516,fuel_cell,516.0,1.4e-05,0.0,0.0,176.96447,0.0001,1.7e-05,1.4e-05,2e-06
8_MOB_fuel_cell_gwp546,fuel_cell,546.0,3.2e-05,0.0,0.0,176.964448,9.7e-05,4.1e-05,2e-06,4e-06
7_MOB_fuel_cell_gwp576,fuel_cell,576.0,1.4e-05,0.0,0.0,176.964456,0.00012,1.6e-05,4e-06,2e-06
6_MOB_fuel_cell_gwp606,fuel_cell,606.0,1e-05,0.0,0.0,176.964463,0.000121,1.2e-05,8e-06,2e-06
5_MOB_fuel_cell_gwp636,fuel_cell,636.0,9e-06,0.0,0.0,176.964484,0.00011,1.1e-05,0.0,1e-06
4_MOB_fuel_cell_gwp666,fuel_cell,666.0,5e-06,0.0,0.0,176.964502,0.000104,6e-06,1e-06,0.0
3_MOB_fuel_cell_gwp696,fuel_cell,696.0,1.9e-05,0.0,0.0,176.964492,8.2e-05,2.4e-05,2e-06,0.0
2_MOB_fuel_cell_gwp726,fuel_cell,726.0,2.4e-05,0.0,0.0,176.964105,0.000449,3.5e-05,9e-06,1e-06
