folder,techno_modifiee,gwp_constr,f_CAR_BEV,f_CAR_FUEL_CELL,f_CAR_HEV,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
24_MOB_electrique_gwp0,electrique,0.0,3.3e-05,,,16.54266,9.101614,12.082672,2.658292,1.374757,1.027171
39_MOB_electrique_gwp0,electrique,0.0,3.3e-05,,,16.54266,9.101614,12.082672,2.658292,1.374757,1.027171
38_MOB_electrique_gwp5,electrique,5.0,2.3e-05,,,17.935435,9.53195,7.384978,2.537179,1.474632,1.087855
37_MOB_electrique_gwp15,electrique,15.0,5e-06,,,16.536887,9.051355,6.799659,3.475087,2.131528,1.466258
36_MOB_electrique_gwp25,electrique,25.0,3.3e-05,,,17.976,9.312563,6.42359,1.419586,0.994715,1.359723
35_MOB_electrique_gwp35,electrique,35.0,6.2e-05,,,16.79593,9.138013,6.256807,2.078688,0.930524,1.141706
34_MOB_electrique_gwp45,electrique,45.0,9e-06,,,17.215816,11.370783,7.815861,2.553217,1.725382,0.767183
33_MOB_electrique_gwp55,electrique,55.0,1.2e-05,,,16.554248,9.608497,8.95048,2.260503,0.965088,1.074296
32_MOB_electrique_gwp65,electrique,65.0,3.8e-05,,,16.733192,10.091111,9.274599,1.483681,0.947831,1.13454
31_MOB_electrique_gwp75,electrique,75.0,1.8e-05,,,17.090436,9.595818,6.456104,2.290738,0.906791,1.211501
30_MOB_electrique_gwp85,electrique,85.0,7e-06,,,17.168946,10.003029,6.817169,1.032275,1.325545,1.240505
29_MOB_electrique_gwp95,electrique,95.0,7.5e-05,,,17.227897,8.953233,8.738934,1.892643,1.057731,1.100765
28_MOB_electrique_gwp105,electrique,105.0,9.2e-05,,,16.79039,9.841254,9.335216,1.459533,1.207526,1.210405
27_MOB_electrique_gwp115,electrique,115.0,5e-06,,,16.950352,9.159934,9.545811,1.948267,1.27322,1.152944
26_MOB_electrique_gwp125,electrique,125.0,1.2e-05,,,17.441859,8.919742,7.429954,1.276854,1.674838,1.116579
25_MOB_electrique_gwp135,electrique,135.0,7e-05,,,16.752656,10.098174,6.273454,1.516607,1.064696,1.130063
24_MOB_electrique_gwp145,electrique,145.0,1.6e-05,,,17.647161,9.129974,10.106644,1.236664,1.011555,0.849713
23_MOB_electrique_gwp155,electrique,155.0,2.4e-05,,,17.905237,9.898537,6.155684,1.759543,0.986228,1.379738
22_MOB_electrique_gwp165,electrique,165.0,1.3e-05,,,18.627005,8.803523,7.641285,3.80268,1.271111,1.043316
21_MOB_electrique_gwp175,electrique,175.0,1e-05,,,20.941992,9.24567,8.928427,4.8905,1.236253,0.99311
20_MOB_electrique_gwp185,electrique,185.0,2.9e-05,,,17.042722,8.778617,6.575035,1.464035,1.197651,1.149259
19_MOB_electrique_gwp195,electrique,195.0,1.8e-05,,,16.569104,9.183131,6.184583,0.985,0.871739,1.186282
18_MOB_electrique_gwp205,electrique,205.0,1.9e-05,,,16.894286,8.629329,7.324475,2.06047,1.522287,1.251181
17_MOB_electrique_gwp215,electrique,215.0,6.2e-05,,,16.607671,9.441668,6.13597,1.226359,0.352978,1.090185
16_MOB_electrique_gwp225,electrique,225.0,5.9e-05,,,17.088503,9.331573,6.381198,1.774404,3.281889,1.01665
15_MOB_electrique_gwp235,electrique,235.0,2.3e-05,,,16.932756,8.474112,8.315556,1.073095,0.783428,1.776939
14_MOB_electrique_gwp245,electrique,245.0,3.9e-05,,,16.830265,10.262768,11.109159,4.429918,2.068904,1.106272
13_MOB_electrique_gwp255,electrique,255.0,1.6e-05,,,16.699499,8.336288,7.292827,0.660249,0.551557,0.542226
12_MOB_electrique_gwp265,electrique,265.0,3e-05,,,16.562645,9.212683,9.480508,3.3572,1.98928,0.979648
11_MOB_electrique_gwp275,electrique,275.0,3.8e-05,,,17.539352,10.239355,8.442885,1.777941,1.061103,1.200458
10_MOB_electrique_gwp285,electrique,285.0,1e-05,,,16.554205,9.458134,6.350845,2.76815,1.693811,1.347951
9_MOB_electrique_gwp295,electrique,295.0,2e-05,,,16.773924,9.308931,7.609678,1.744156,1.022674,1.592644
8_MOB_electrique_gwp305,electrique,305.0,6e-06,,,16.565071,9.303654,8.114227,2.925945,1.396935,0.954011
7_MOB_electrique_gwp315,electrique,315.0,5e-06,,,16.575367,10.130476,8.623344,3.403429,1.257909,1.328265
