folder;techno_modifiee;gwp_constr;f_TS_DHN_SEASONAL;f_TS_HIGH_TEMP;f_TS_DEC_HP_ELEC;f_BATT_LI;f_TS_DHN_DAILY;f_PHS;f_GASOLINE_STORAGE;f_DIESEL_STORAGE;f_METHANOL_STORAGE;f_AMMONIA_STORAGE;f_LFO_STORAGE;f_H2_STORAGE;f_GAS_STORAGE;f_TS_DEC_THHP_GAS;f_TS_DEC_BOILER_WOOD;f_TS_DEC_BOILER_GAS;f_TS_DEC_BOILER_OIL;f_TS_DEC_DIRECT_ELEC;f_TS_DEC_COGEN_GAS;f_TS_DEC_COGEN_OIL;f_TS_DEC_ADVCOGEN_H2;f_TS_DEC_ADVCOGEN_GAS;f_BEV_BATT;f_PHEV_BATT
0_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.884;1003.798875;70.195414;60.365521;46.351392;0.000449;6.499886;1.685903;1.675948;1.673714;1.670303;1.666019;0.00116;0.005185;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;1,00E-05;6,00E-06
1_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.894;1003.788108;70.196026;60.365523;46.350988;0.000101;6.499982;0.334743;0.333204;0.333739;0.333731;0.334835;0.000255;0.001107;3.4e-05;3.4e-05;3.4e-05;3.4e-05;3.4e-05;3.4e-05;3.4e-05;3.4e-05;3.4e-05;2,00E-06;1,00E-06
2_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.904;1003.480085;70.195287;60.36552;46.350726;0.000416;6.4999;1.304331;1.296209;1.297401;1.296677;1.300521;0.000974;0.004131;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000128;0.000128;9,00E-06;6,00E-06
3_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.914;1002.926883;70.194861;60.365522;46.348812;0.000176;6.499971;0.797994;0.796105;0.794482;0.795059;0.792749;0.000542;0.002309;5.7e-05;5.7e-05;5.7e-05;5.7e-05;5.7e-05;5.7e-05;5.7e-05;5.7e-05;5.7e-05;4,00E-06;3,00E-06
4_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.924;999.812267;70.185747;60.365522;46.334963;0.000485;6.499968;1.404646;1.401052;1.404914;1.405725;1.411858;0.001145;0.005161;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000143;0.000143;1.2e-05;7,00E-06
5_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.934;990.939552;70.183867;60.36552;46.335365;0.000613;6.499958;1.54571;1.541728;1.546376;1.548499;1.559541;0.001378;0.005968;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176;0.000176;0.000175;0.000175;1.4e-05;8,00E-06
6_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.944;978.3761;70.182893;60.365523;46.338652;0.000234;6.499975;0.94344;0.943057;0.941488;0.941338;0.941966;0.000568;0.002852;7.2e-05;7.2e-05;7.2e-05;7.2e-05;7.2e-05;7.2e-05;7.2e-05;7.2e-05;7.2e-05;5,00E-06;3,00E-06
7_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.954;976.37241;70.183939;60.365529;46.340583;0.000557;6.499922;1.354017;1.34571;1.350539;1.354179;1.365012;0.001024;0.005017;0.000177;0.000177;0.000177;0.000177;0.000177;0.000177;0.000177;0.000176;0.000176;1.3e-05;8,00E-06
8_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.964;972.536979;70.192465;60.365528;46.358188;0.00105;6.499914;2.61034;2.613701;2.608446;2.610287;2.620882;0.00191;0.010151;0.000267;0.000267;0.000267;0.000266;0.000266;0.000266;0.000266;0.000265;0.000265;2.3e-05;1.3e-05
9_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.974;962.233645;70.296816;60.365521;46.456656;0.00081;6.499924;1.74857;1.740078;1.742601;1.744598;1.749471;0.001315;0.006867;0.000201;0.000201;0.000201;0.000201;0.000201;0.0002;0.0002;0.0002;0.000199;1.7e-05;9,00E-06
10_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.984;962.104433;70.296753;60.365519;46.457622;0.001331;6.499788;3.111675;3.098968;3.094181;3.093454;3.098527;0.002177;0.011697;0.000324;0.000323;0.000323;0.000323;0.000323;0.000323;0.000323;0.000322;0.000321;2.7e-05;1.5e-05
11_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;0.994;947.210714;70.290924;60.365525;46.447412;0.000208;6.499955;0.457197;0.453465;0.455027;0.454694;0.457973;0.00034;0.001849;5.6e-05;5.6e-05;5.6e-05;5.6e-05;5.6e-05;5.6e-05;5.6e-05;5.5e-05;5.5e-05;5,00E-06;2,00E-06
12_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.004;947.109488;70.290798;60.365571;46.448314;0.000941;6.499787;2.452346;2.427687;2.43571;2.43879;2.45776;0.001659;0.008177;0.000308;0.000308;0.000308;0.000308;0.000308;0.000307;0.000307;0.000306;0.000305;1.9e-05;1.4e-05
13_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.014;945.631525;70.290235;60.365534;46.447474;0.000933;6.499839;2.156087;2.137966;2.148059;2.147479;2.161287;0.00159;0.008308;0.000243;0.000243;0.000243;0.000243;0.000243;0.000243;0.000243;0.000242;0.000241;2,00E-05;1.1e-05
14_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.024;945.512791;70.290041;60.365537;46.44732;0.00097;6.499815;2.103386;2.088189;2.093617;2.095532;2.114417;0.001525;0.007681;0.000262;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000259;0.000259;1.9e-05;1.2e-05
15_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.034;923.142419;70.282037;60.365524;46.434235;0.000344;6.499863;1.065711;1.056697;1.053772;1.049967;1.044764;0.000663;0.003393;9.6e-05;9.6e-05;9.6e-05;9.6e-05;9.6e-05;9.6e-05;9.6e-05;9.5e-05;9.5e-05;7,00E-06;4,00E-06
16_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.044;913.739958;70.27903;60.365523;46.42924;0.000287;6.499987;1.253123;1.259281;1.252431;1.25331;1.251724;0.000708;0.003758;8.3e-05;8.3e-05;8.3e-05;8.3e-05;8.3e-05;8.3e-05;8.3e-05;8.3e-05;8.3e-05;6,00E-06;4,00E-06
17_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.054;913.737425;70.278988;60.365524;46.4293;0.000348;6.499969;1.141001;1.139208;1.139886;1.140239;1.143267;0.000712;0.003774;9.5e-05;9.5e-05;9.5e-05;9.5e-05;9.5e-05;9.5e-05;9.4e-05;9.4e-05;9.4e-05;7,00E-06;4,00E-06
18_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.064;901.662863;70.275445;60.365526;46.424412;0.001029;6.499797;2.343249;2.324231;2.331465;2.330894;2.34501;0.001719;0.009072;0.000284;0.000283;0.000283;0.000283;0.000283;0.000283;0.000283;0.000281;0.000281;2.2e-05;1.3e-05
19_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.074;896.983672;70.273404;60.365525;46.418095;0.000358;6.499931;0.864499;0.858134;0.859829;0.860235;0.864754;0.000625;0.003133;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000103;0.000102;0.000102;8,00E-06;5,00E-06
20_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.084;893.286801;70.272638;60.365564;46.415997;0.001661;6.499771;3.61654;3.594674;3.618925;3.621296;3.66592;0.003;0.015406;0.000479;0.000479;0.000479;0.000478;0.000478;0.000477;0.000477;0.000474;0.000473;3.7e-05;2,00E-05
21_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.094;891.25311;70.272225;60.365567;46.414578;0.001627;6.499667;3.614263;3.583654;3.598033;3.599288;3.625693;0.002776;0.013392;0.000483;0.000483;0.000483;0.000483;0.000482;0.000481;0.000481;0.000478;0.000478;3.3e-05;2.1e-05
22_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.104;891.281715;70.272302;60.365532;46.414112;0.001206;6.49971;2.676572;2.648918;2.658612;2.661285;2.679705;0.002076;0.009947;0.000345;0.000345;0.000345;0.000345;0.000344;0.000343;0.000343;0.000341;0.00034;2.5e-05;1.5e-05
23_Techno_TS_DHN_SEASONAL_gwp1;TS_DHN_SEASONAL;1.114;891.237927;70.272217;60.365545;46.414694;0.001799;6.499734;3.672498;3.64962;3.666928;3.673513;3.712884;0.002936;0.015256;0.000495;0.000495;0.000494;0.000494;0.000493;0.000493;0.000492;0.000489;0.000488;3.7e-05;2.3e-05
