folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_GAS_TO_HVC,f_HABER_BOSCH,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.884,1003.798875,23.815763,13.835349,12.413727,11.303687,11.538123,10.02694,9.695425,9.333571,8.279501,7.709749,6.418595
1_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.894,1003.788108,27.232745,15.726104,13.426017,12.82833,13.041062,11.343171,10.806898,10.366611,9.504532,8.424565,6.982442
2_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.904,1003.480085,22.679605,13.306833,11.967034,10.854255,10.960381,9.221903,8.853696,8.355596,7.736323,6.673242,5.468876
3_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.914,1002.926883,24.384273,14.256261,12.466733,11.858963,12.035747,10.030162,9.635034,9.302304,8.453487,7.324463,6.126683
4_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.924,999.812267,28.593803,16.17889,14.016558,13.264526,13.588817,12.088589,11.637036,11.304119,10.089247,9.392189,7.804297
5_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.934,990.939552,25.421403,14.821388,12.988394,12.138941,12.137789,10.715444,10.246821,9.814679,8.918997,8.072272,6.709354
6_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.944,978.3761,26.030417,15.217155,13.087016,12.300031,12.858377,10.927785,10.5295,10.219597,9.18379,8.235669,6.89798
7_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.954,976.37241,27.373437,15.82156,13.486655,12.775324,13.116379,11.512389,11.037043,10.641518,9.580428,8.728553,7.252556
8_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.964,972.536979,24.00415,13.983682,12.694204,11.088804,11.583655,10.355546,10.040524,9.721859,8.689272,8.090513,6.827569
9_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.974,962.233645,24.40125,14.181864,12.70434,11.267952,11.665764,10.616014,10.284182,10.05203,8.718473,8.468591,7.067715
10_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.984,962.104433,22.714708,13.114284,12.221103,10.320064,11.000845,9.750092,9.532211,9.219438,8.177552,7.561202,6.387525
11_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.994,947.210714,26.428711,15.796108,13.990085,12.05098,13.359458,11.620838,11.566307,11.227477,10.010054,9.278801,7.697168
