folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DEC_HP_ELEC,f_DHN_HP_ELEC,f_DEC_DIRECT_ELEC,f_DEC_BOILER_WOOD,f_DHN_BOILER_GAS,f_DEC_BOILER_GAS,f_DEC_BOILER_OIL,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DEC_SOLAR,f_DHN_COGEN_WOOD,f_DEC_THHP_GAS,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DEC_COGEN_GAS,f_DEC_COGEN_OIL,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DEC_ADVCOGEN_H2,f_DEC_ADVCOGEN_GAS,f_DHN_DEEP_GEO
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.884,1003.798875,18.731602,8.941853,0.0002,1.7e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,7e-06,6e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.894,1003.788108,18.731602,8.941767,4.7e-05,4e-06,4e-06,4e-06,4e-06,4e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.904,1003.480085,18.731602,8.939614,0.000186,1.7e-05,1.6e-05,1.6e-05,1.6e-05,1.5e-05,7e-06,6e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.914,1002.926883,18.731602,8.935728,8.8e-05,8e-06,7e-06,7e-06,7e-06,7e-06,3e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.924,999.812267,18.731602,8.913883,0.00018,1.5e-05,1.5e-05,1.6e-05,1.5e-05,1.4e-05,7e-06,5e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.934,990.939552,18.731602,8.896344,0.00021,1.9e-05,1.9e-05,2e-05,1.9e-05,1.7e-05,9e-06,7e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
6_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.944,978.3761,18.731602,8.907804,0.000109,9e-06,8e-06,9e-06,9e-06,8e-06,4e-06,3e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.954,976.37241,18.731602,8.906868,0.00024,2.3e-05,2.2e-05,2.2e-05,2.2e-05,2e-05,1e-05,7e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
8_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.964,972.536979,18.731602,8.931854,0.000314,2.8e-05,2.7e-05,2.9e-05,2.8e-05,2.5e-05,1.3e-05,1e-05,4e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
9_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.974,962.233645,18.731602,8.929207,0.000235,2.1e-05,2.2e-05,2.2e-05,2.1e-05,1.9e-05,1e-05,9e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
10_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.984,962.104433,18.731602,8.929131,0.000426,4e-05,3.9e-05,3.8e-05,3.8e-05,3.6e-05,1.8e-05,1.4e-05,5e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
