folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_CAR_FUEL_CELL,f_CAR_NG,f_CAR_DIESEL,f_CAR_HEV,f_CAR_METHANOL,f_CAR_GASOLINE,f_CAR_PHEV,f_CAR_BEV
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.884,1003.798875,177.113846,3.283334,5.896704,1.409533,2.394205,2.246471,3.1e-05,1e-05
1_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.894,1003.788108,177.021352,5.435168,1.276019,2.944289,2.004453,0.7141,7e-06,2e-06
2_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.904,1003.480085,183.604778,0.802784,1.604527,3.144372,2.22263,2.070571,2.9e-05,9e-06
3_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.914,1002.926883,182.760244,10.562778,1.782678,5.673282,1.888981,3.26404,1.3e-05,4e-06
4_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.924,999.812267,176.982794,2.665494,2.072574,1.371728,1.93,2.450598,3.4e-05,1.2e-05
5_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.934,990.939552,176.984357,6.14713,1.581824,5.01552,2.054161,2.843748,4.2e-05,1.4e-05
6_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.944,978.3761,177.244454,4.29692,2.378906,2.620521,0.812905,3.113696,1.6e-05,5e-06
7_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.954,976.37241,177.083183,1.972469,1.497311,2.39673,1.993834,1.00595,4.1e-05,1.3e-05
8_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.964,972.536979,186.528339,1.157529,6.494279,1.429642,6.648455,1.383961,6.3e-05,2.4e-05
9_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.974,962.233645,176.977991,2.486927,1.336891,8.882461,2.868796,2.771733,4.6e-05,1.7e-05
10_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.984,962.104433,178.734552,8.572278,1.283799,2.420854,1.776251,1.431694,7.5e-05,2.7e-05
11_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.994,947.210714,180.822602,1.315947,3.837349,1.108431,1.247609,1.587887,1.3e-05,5e-06
12_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.004,947.109488,177.432965,5.144888,5.895912,1.394096,1.178169,1.94023,6.9e-05,1.9e-05
13_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.014,945.631525,177.022101,6.445002,3.633373,4.377934,1.210258,1.380569,5.6e-05,2e-05
14_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.024,945.512791,178.062312,1.105139,1.858749,2.742623,2.299215,2.019208,6.1e-05,1.9e-05
15_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.034,923.142419,177.416585,6.289604,1.104595,3.180457,1.752938,1.704778,2.2e-05,7e-06
16_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.044,913.739958,177.576682,7.380577,1.885332,3.450708,4.869181,3.327433,1.8e-05,6e-06
17_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.054,913.737425,177.08588,3.429338,3.012059,4.100238,1.629646,1.53622,2.2e-05,7e-06
18_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.064,901.662863,180.45161,6.541269,1.555249,4.858765,1.57843,1.179879,6.6e-05,2.2e-05
19_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.074,896.983672,177.449799,7.032358,3.893032,6.584239,1.818856,1.929464,2.5e-05,8e-06
20_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.084,893.286801,177.677964,1.246287,1.094973,0.947274,1.075453,1.083642,0.000103,3.7e-05
21_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.094,891.25311,179.507979,0.458585,3.468927,2.826478,0.838857,2.971439,0.000107,3.4e-05
22_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.104,891.281715,178.827302,1.73274,1.369236,1.105868,1.818265,1.189787,7.8e-05,2.5e-05
23_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.114,891.237927,177.005452,3.29743,1.31201,2.858737,1.362618,0.895715,0.000114,3.8e-05
24_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.124,886.879738,179.79067,0.61868,7.769439,5.000641,1.883558,1.28128,7e-05,2.4e-05
25_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.134,886.930722,177.034281,1.053585,3.976408,1.160538,1.75554,0.844515,9.3e-05,2.7e-05
26_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.144,882.603457,179.04311,0.972175,4.07501,0.729774,0.491605,0.732219,0.000729,0.000242
27_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.154,882.241763,180.77904,1.006171,1.84339,4.057568,0.832032,1.056699,2.9e-05,8e-06
28_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.164,882.311321,177.059626,1.933984,3.295537,3.647738,2.598782,1.371246,9e-06,3e-06
29_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1740000000000002,870.473257,176.977544,0.669985,4.392332,1.483033,9.069855,1.411457,2.2e-05,6e-06
30_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1840000000000002,870.436122,177.373359,1.650449,2.063116,4.949677,1.289884,3.746521,5e-06,2e-06
31_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1940000000000002,863.028571,177.005238,4.581277,3.615186,4.047669,7.629478,1.850314,2.7e-05,9e-06
