folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.884,1003.798875,18.733576,9.524194,6.622036,1.403082,0.859996,0.909957
1_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.894,1003.788108,19.526361,9.280751,8.845467,1.150706,1.717806,1.011825
2_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.904,1003.480085,17.754813,9.800702,7.543338,1.05059,1.088474,0.790031
3_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.914,1002.926883,18.731727,10.542319,7.916438,1.64022,5.345006,0.755043
4_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.924,999.812267,17.623326,9.8565,8.968263,1.484099,0.972354,1.356311
5_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.934,990.939552,17.536012,8.983915,6.773698,1.15929,2.085886,1.07599
6_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.944,978.3761,18.148895,11.408969,8.051371,1.59366,0.752464,0.969292
7_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.954,976.37241,17.371877,9.370026,7.598408,1.059683,1.188386,0.944406
8_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.964,972.536979,17.83442,9.234597,8.912619,1.302132,1.04564,1.171493
9_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.974,962.233645,16.844269,9.055547,7.225346,2.495918,0.798046,1.039641
10_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.984,962.104433,18.237883,9.236566,8.580657,1.071128,0.726425,0.982545
11_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.994,947.210714,17.895482,9.183169,6.546973,1.336042,0.508762,1.139798
12_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.004,947.109488,19.249985,9.93996,7.715224,1.649251,1.053602,0.929726
13_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.014,945.631525,21.979016,10.219483,8.368973,0.432675,0.969649,0.987213
14_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.024,945.512791,17.183221,8.764298,7.985767,1.495971,0.64805,0.940507
15_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.034,923.142419,16.67049,10.37621,6.681951,0.896378,0.781028,0.805679
16_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.044,913.739958,18.753427,10.376627,7.648192,1.484222,0.810884,0.853993
17_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.054,913.737425,18.282904,8.55083,7.106055,1.144593,0.634005,1.033437
18_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.064,901.662863,18.25048,9.609844,8.379237,1.502894,1.677039,1.0774
19_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.074,896.983672,17.823441,9.050639,7.148543,0.998662,0.864374,0.950809
20_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.084,893.286801,16.611083,8.146989,6.188422,0.996637,0.705179,0.995225
21_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.094,891.25311,17.780052,9.820936,7.674622,1.265144,1.231524,0.98315
22_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.104,891.281715,16.831237,8.227351,6.671104,1.058104,0.77304,1.007819
23_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.114,891.237927,17.272845,8.308634,6.934459,0.918875,0.604792,0.900618
24_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.124,886.879738,18.449212,10.469315,6.143956,0.967865,0.746862,0.904791
25_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.134,886.930722,17.692281,8.509901,7.378897,1.438926,1.431473,0.943727
26_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.144,882.603457,18.395063,9.73771,6.208109,0.898112,1.31857,0.901807
27_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.154,882.241763,19.517632,13.366047,9.15401,1.480085,1.20975,0.831625
