cost,probability density
49304.526124999924,
49304.526124999924,inf
49304.526124999924,
49304.526124999924,
49304.52612499993,0.0
49304.52612499993,
49304.52612499993,
49304.52612499993,
49304.52612499993,
49304.52612499993,
49304.52612499993,
49304.52612499993,inf
49304.52612499993,
49304.52612499993,
49304.52612499993,
49304.52612499993,0.0
49304.52612499994,
49304.52612499994,
49304.52612499994,
49304.52612499994,
49304.52612499994,
49304.52612499994,inf
49304.52612499994,
49304.52612499994,
49304.526124999946,0.0
49304.526124999946,
49304.526124999946,
49304.526124999946,
49304.526124999946,
49304.526124999946,
49304.526124999946,
49304.526124999946,inf
49304.526124999946,
49304.526124999946,
49304.526124999946,
49304.526124999946,0.0
49304.52612499995,
49304.52612499995,
49304.52612499995,
49304.52612499995,
49304.52612499995,
49304.52612499995,inf
49304.52612499995,
49304.52612499995,
49304.52612499996,0.0
49304.52612499996,
49304.52612499996,
49304.52612499996,
49304.52612499996,
49304.52612499996,
49304.52612499996,
49304.52612499996,inf
49304.52612499996,
49304.52612499996,
49304.52612499996,
49304.52612499996,0.0
49304.52612499997,
49304.52612499997,
49304.52612499997,
49304.52612499997,
49304.52612499997,
49304.52612499997,inf
49304.52612499997,
49304.52612499997,
49304.526124999975,0.0
49304.526124999975,
49304.526124999975,
49304.526124999975,
49304.526124999975,
49304.526124999975,
49304.526124999975,
49304.526124999975,inf
49304.526124999975,
49304.526124999975,
49304.526124999975,
49304.526124999975,0.0
49304.52612499998,
49304.52612499998,
49304.52612499998,
49304.52612499998,
49304.52612499998,
49304.52612499998,inf
49304.52612499998,
49304.52612499998,
49304.52612499999,0.0
49304.52612499999,
49304.52612499999,
49304.52612499999,
49304.52612499999,
49304.52612499999,
49304.52612499999,
49304.52612499999,inf
49304.52612499999,
49304.52612499999,
49304.52612499999,
49304.52612499999,0.0
49304.526125,
49304.526125,
49304.526125,
49304.526125,inf
