gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_phs,gwp_ts_dec_direct_elec,gwp_ts_dec_hp_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_dhn_seasonal,gwp_ts_high_temp,gwp_gas_storage,gwp_h2_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,cost
                 0.077474,                 0.277474,                 0.171028,                 0.397023,                 0.196999,                 0.141927,                 0.288362,                 0.121450,                 0.447847,                 0.354000,                 0.334737,                 0.329067,                 0.160402,                 0.402443,                 0.140798,                 0.285854,                 0.383492,                 0.115761,                 0.201717,                 0.273470,                 0.240706,                 0.191542,                 0.076418,                 0.351985,                 0.254140,             49304.526125
                 0.080599,                 0.143099,                 0.380403,                 0.350148,                 0.337624,                 0.113802,                 0.197737,                 0.255825,                 0.175972,                 0.169625,                 0.187862,                 0.463442,                 0.207277,                 0.105568,                 0.137673,                 0.370229,                 0.242867,                 0.400136,                 0.223592,                 0.307845,                 0.143831,                 0.338417,                 0.204543,                 0.136360,                 0.207265,             49304.526125
                 0.280599,                 0.343099,                 0.180403,                 0.150148,                 0.137624,                 0.313802,                 0.397737,                 0.455825,                 0.375972,                 0.369625,                 0.387862,                 0.263442,                 0.407277,                 0.305568,                 0.337673,                 0.170229,                 0.442867,                 0.200136,                 0.423592,                 0.107845,                 0.343831,                 0.138417,                 0.404543,                 0.336360,                 0.407265,             49304.526125
                 0.380599,                 0.243099,                 0.080403,                 0.450148,                 0.237624,                 0.213802,                 0.297737,                 0.155825,                 0.075972,                 0.469625,                 0.087862,                 0.163442,                 0.107277,                 0.405568,                 0.237673,                 0.070229,                 0.342867,                 0.300136,                 0.323592,                 0.407845,                 0.443831,                 0.438417,                 0.304543,                 0.236360,                 0.107265,             49304.526125
                 0.180599,                 0.443099,                 0.280403,                 0.250148,                 0.437624,                 0.413802,                 0.097737,                 0.355825,                 0.275972,                 0.269625,                 0.287862,                 0.363442,                 0.307277,                 0.205568,                 0.437673,                 0.270229,                 0.142867,                 0.100136,                 0.123592,                 0.207845,                 0.243831,                 0.238417,                 0.104543,                 0.436360,                 0.307265,             49304.526125
                 0.230599,                 0.193099,                 0.230403,                 0.300148,                 0.187624,                 0.463802,                 0.247737,                 0.405825,                 0.225972,                 0.419625,                 0.137862,                 0.213442,                 0.257277,                 0.255568,                 0.287673,                 0.420229,                 0.392867,                 0.350136,                 0.073592,                 0.257845,                 0.393831,                 0.088417,                 0.454543,                 0.386360,                 0.257265,             49304.526125
                 0.430599,                 0.393099,                 0.430403,                 0.100148,                 0.387624,                 0.263802,                 0.447737,                 0.205825,                 0.425972,                 0.219625,                 0.337862,                 0.413442,                 0.457277,                 0.455568,                 0.087673,                 0.220229,                 0.192867,                 0.150136,                 0.273592,                 0.457845,                 0.193831,                 0.288417,                 0.254543,                 0.186360,                 0.457265,             49304.526125
                 0.330599,                 0.093099,                 0.330403,                 0.400148,                 0.287624,                 0.363802,                 0.347737,                 0.305825,                 0.125972,                 0.119625,                 0.237862,                 0.313442,                 0.157277,                 0.355568,                 0.387673,                 0.120229,                 0.092867,                 0.450136,                 0.373592,                 0.157845,                 0.093831,                 0.188417,                 0.154543,                 0.286360,                 0.157265,             49304.526125
                 0.130599,                 0.293099,                 0.130403,                 0.200148,                 0.087624,                 0.163802,                 0.147737,                 0.105825,                 0.325972,                 0.319625,                 0.437862,                 0.113442,                 0.357277,                 0.155568,                 0.187673,                 0.320229,                 0.292867,                 0.250136,                 0.173592,                 0.357845,                 0.293831,                 0.388417,                 0.354543,                 0.086360,                 0.357265,             49304.526125
                 0.155599,                 0.268099,                 0.305403,                 0.075148,                 0.162624,                 0.138802,                 0.172737,                 0.280825,                 0.250972,                 0.144625,                 0.462862,                 0.138442,                 0.382277,                 0.330568,                 0.112673,                 0.245229,                 0.217867,                 0.375136,                 0.248592,                 0.182845,                 0.418831,                 0.463417,                 0.179543,                 0.261360,                 0.132265,             49304.526125
