gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_phs,gwp_ts_dec_direct_elec,gwp_ts_dec_hp_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_dhn_seasonal,gwp_ts_high_temp,gwp_gas_storage,gwp_h2_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,gwp_op
                31.795353,                62.445353,                76.009682,                10.975261,                52.205375,                 0.075460,                 0.252063,                 0.125725,                 0.361155,                 0.008470,                 0.008133,                 0.309870,                 0.029040,                 0.665554,                 0.056326,                 0.086498,                 0.513492,                 0.097076,                 0.124394,                 0.151301,                 0.139015,                 0.120578,                 0.077407,                 0.180745,                 0.124846,              3636.909031
                32.274259,                41.852384,               128.876869,                 9.999089,                74.656156,                 0.067655,                 0.197462,                 0.192912,                 0.191233,                 0.005243,                 0.005563,                 0.400573,                 0.033728,                 0.294460,                 0.055676,                 0.104048,                 0.372867,                 0.209404,                 0.132597,                 0.164192,                 0.102687,                 0.175657,                 0.125454,                 0.099885,                 0.109611,              3641.307451
                62.924259,                72.502384,                78.376869,                 5.834089,                42.726156,                 0.123155,                 0.317962,                 0.292912,                 0.316233,                 0.008743,                 0.009063,                 0.265573,                 0.053728,                 0.544460,                 0.097276,                 0.062448,                 0.572867,                 0.130404,                 0.207597,                 0.089192,                 0.177687,                 0.100657,                 0.200454,                 0.174885,                 0.174611,              3632.950810
                78.249259,                57.177384,                53.126869,                12.081589,                58.691156,                 0.095405,                 0.257712,                 0.142912,                 0.128733,                 0.010493,                 0.003813,                 0.198073,                 0.023728,                 0.669460,                 0.076476,                 0.041648,                 0.472867,                 0.169904,                 0.170097,                 0.201692,                 0.215187,                 0.213157,                 0.162954,                 0.137385,                 0.077111,              3641.530777
                47.599259,                87.827384,               103.626869,                 7.916589,                90.621156,                 0.150905,                 0.137212,                 0.242912,                 0.253733,                 0.006993,                 0.007313,                 0.333073,                 0.043728,                 0.419460,                 0.118076,                 0.083248,                 0.272867,                 0.090904,                 0.095097,                 0.126692,                 0.140187,                 0.138157,                 0.087954,                 0.212385,                 0.142111,              3633.241526
                55.261759,                49.514884,                91.001869,                 8.957839,                50.708656,                 0.164780,                 0.227587,                 0.267912,                 0.222483,                 0.009618,                 0.004688,                 0.231823,                 0.038728,                 0.481960,                 0.086876,                 0.114448,                 0.522867,                 0.189654,                 0.076347,                 0.145442,                 0.196437,                 0.081907,                 0.219204,                 0.193635,                 0.125861,              3639.374858
                85.911759,                80.164884,               141.501869,                 4.792839,                82.638656,                 0.109280,                 0.348087,                 0.167912,                 0.347483,                 0.006118,                 0.008188,                 0.366823,                 0.058728,                 0.731960,                 0.045276,                 0.072848,                 0.322867,                 0.110654,                 0.151347,                 0.220442,                 0.121437,                 0.156907,                 0.144204,                 0.118635,                 0.190861,              3630.816808
                70.586759,                34.189884,               116.251869,                11.040339,                66.673656,                 0.137030,                 0.287837,                 0.217912,                 0.159983,                 0.004368,                 0.006438,                 0.299323,                 0.028728,                 0.606960,                 0.107676,                 0.052048,                 0.222867,                 0.229154,                 0.188847,                 0.107942,                 0.083937,                 0.119407,                 0.106704,                 0.156135,                 0.093361,              3643.093622
                39.936759,                64.839884,                65.751869,                 6.875339,                34.743656,                 0.081530,                 0.167337,                 0.117912,                 0.284983,                 0.007868,                 0.009938,                 0.164323,                 0.048728,                 0.356960,                 0.066076,                 0.093648,                 0.422867,                 0.150154,                 0.113847,                 0.182942,                 0.158937,                 0.194407,                 0.181704,                 0.081135,                 0.158361,              3635.108643
                43.768009,                61.008634,               109.939369,                 4.272214,                46.717406,                 0.074593,                 0.182399,                 0.205412,                 0.238108,                 0.004806,                 0.010375,                 0.181198,                 0.051228,                 0.575710,                 0.050476,                 0.078048,                 0.347867,                 0.199529,                 0.141972,                 0.117317,                 0.205812,                 0.222532,                 0.116079,                 0.146760,                 0.085236,              3634.558491
