gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_car_gasoline,gwp_car_HEV,gwp_car_PHEV,gwp_op
               276.156024,               344.556024,               308.151727,               433.903976,               728.621136,               298.198993,               528.530099,               441.902335,              6261.213667
               277.224774,               298.599774,               379.757977,               415.857101,               839.152386,               288.580243,               481.495724,               511.642960,              5945.740177
               345.624774,               366.999774,               311.357977,               338.857101,               681.952386,               356.980243,               585.295724,               615.442960,              5945.740177
               379.824774,               332.799774,               277.157977,               454.357101,               760.552386,               322.780243,               533.395724,               459.742960,              5945.740177
               311.424774,               401.199774,               345.557977,               377.357101,               917.752386,               391.180243,               429.595724,               563.542960,              5945.740177
               328.524774,               315.699774,               328.457977,               396.607101,               721.252386,               408.280243,               507.445724,               589.492960,              5945.740177
               396.924774,               384.099774,               396.857977,               319.607101,               878.452386,               339.880243,               611.245724,               485.692960,              5945.740177
               362.724774,               281.499774,               362.657977,               435.107101,               799.852386,               374.080243,               559.345724,               537.592960,              5945.740177
               294.324774,               349.899774,               294.257977,               358.107101,               642.652386,               305.680243,               455.545724,               433.792960,              5945.740177
               302.874774,               341.349774,               354.107977,               309.982101,               701.602386,               297.130243,               468.520724,               524.617960,              5945.740177
               371.274774,               409.749774,               285.707977,               386.982101,               858.802386,               365.530243,               572.320724,               420.817960,              5945.740177
               405.474774,               307.149774,               319.907977,               348.482101,               937.402386,               331.330243,               520.420724,               576.517960,              5945.740177
               337.074774,               375.549774,               388.307977,               425.482101,               780.202386,               399.730243,               416.620724,               472.717960,              5945.740177
               319.974774,               290.049774,               302.807977,               329.232101,               898.102386,               382.630243,               494.470724,               446.767960,              5945.740177
               388.374774,               358.449774,               371.207977,               406.232101,               740.902386,               314.230243,               598.270724,               550.567960,              5945.740177
               354.174774,               324.249774,               405.407977,               367.732101,               662.302386,               348.430243,               546.370724,               498.667960,              5945.740177
               285.774774,               392.649774,               337.007977,               444.732101,               819.502386,               280.030243,               442.570724,               602.467960,              5945.740177
               290.049774,               319.974774,               289.982977,               439.919601,               907.927386,               309.955243,               591.783224,               557.055460,              5945.740177
               358.449774,               388.374774,               358.382977,               362.919601,               750.727386,               378.355243,               487.983224,               453.255460,              5945.740177
               392.649774,               285.774774,               392.582977,               401.419601,               672.127386,               275.755243,               436.083224,               608.955460,              5945.740177
               324.249774,               354.174774,               324.182977,               324.419601,               829.327386,               344.155243,               539.883224,               505.155460,              5945.740177
               341.349774,               302.874774,               375.482977,               459.169601,               632.827386,               361.255243,               617.733224,               427.305460,              5945.740177
               409.749774,               371.274774,               307.082977,               382.169601,               790.027386,               292.855243,               513.933224,               531.105460,              5945.740177
               375.549774,               337.074774,               341.282977,               420.669601,               868.627386,               395.455243,               462.033224,               479.205460,              5945.740177
               307.149774,               405.474774,               409.682977,               343.669601,               711.427386,               327.055243,               565.833224,               583.005460,              5945.740177
               298.599774,               277.224774,               315.632977,               372.544601,               770.377386,               335.605243,               578.808224,               492.180460,              5945.740177
