gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_car_gasoline,gwp_car_HEV,gwp_car_PHEV,gwp_op
                95.085091,               351.585091,               215.068977,               568.389912,               570.829262,               177.746223,               554.737873,               229.883755,             31196.365071
                99.092903,               179.249153,               483.592415,               500.714130,               985.321449,               141.675911,               378.358967,               491.411098,             31196.376090
               355.592903,               435.749153,               227.092415,               211.964130,               395.821449,               398.175911,               767.608967,               880.661098,             31196.381332
               483.842903,               307.499153,                98.842415,               645.089130,               690.571449,               269.925911,               572.983967,               296.786098,             31196.510222
               227.342903,               563.999153,               355.342415,               356.339130,              1280.071449,               526.425911,               183.733967,               686.036098,             31196.379271
               291.467903,               243.374153,               291.217415,               428.526630,               543.196449,               590.550911,               475.671467,               783.348598,             31196.371863
               547.967903,               499.874153,               547.717415,               139.776630,              1132.696449,               334.050911,               864.921467,               394.098598,             31196.366971
               419.717903,               115.124153,               419.467415,               572.901630,               837.946449,               462.300911,               670.296467,               588.723598,             31196.493338
               163.217903,               371.624153,               162.967415,               284.151630,               248.446449,               205.800911,               281.046467,               199.473598,             31196.443682
               195.280403,               339.561653,               387.404915,               103.682880,               469.508949,               173.738411,               329.702717,               540.067348,             31196.357827
               451.780403,               596.061653,               130.904915,               392.432880,              1059.008949,               430.238411,               718.952717,               150.817348,             31196.355736
               580.030403,               211.311653,               259.154915,               248.057880,              1353.758949,               301.988411,               524.327717,               734.692348,             31196.367419
               323.530403,               467.811653,               515.654915,               536.807880,               764.258949,               558.488411,               135.077717,               345.442348,             31196.361603
               259.405403,               147.186653,               195.029915,               175.870380,              1206.383949,               494.363411,               427.015217,               248.129848,             31196.363300
