gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_phs,gwp_ts_dec_direct_elec,gwp_ts_dec_hp_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_dhn_seasonal,gwp_ts_high_temp,gwp_gas_storage,gwp_h2_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,gwp_op
                49.498141,                61.758141,                91.003873,                 9.388104,                 5.209734,                 4.900229,                 5.723197,                 4.785147,                 6.619502,                 6.092078,                 5.983822,                 5.951955,                 5.004060,                 6.364331,                32.393676,                 0.898015,                 6.558467,                 4.837754,                 9.223997,                 0.005720,                 0.005533,                 0.005253,                 0.004597,                 0.006167,                 0.004921,               948.536878
                49.689704,                53.520954,               112.150748,                 8.997635,                 6.000046,                 4.742167,                 5.213884,                 5.540334,                 5.091564,                 5.055890,                 5.158384,                 6.707143,                 5.267498,                 4.695893,                32.277426,                 0.972602,                 5.730186,                 6.464379,                 9.440560,                 0.005916,                 0.004981,                 0.006090,                 0.005327,                 0.004938,                 0.004686,               948.146823
                61.949704,                65.780954,                91.950748,                 7.331635,                 4.876046,                 5.866167,                 6.337884,                 6.664334,                 6.215564,                 6.179890,                 6.282384,                 5.583143,                 6.391498,                 5.819893,                39.717426,                 0.795802,                 6.908186,                 5.320379,                11.420560,                 0.004776,                 0.006121,                 0.004950,                 0.006467,                 0.006078,                 0.005686,               953.662926
                68.079704,                59.650954,                81.850748,                 9.830635,                 5.438046,                 5.304167,                 5.775884,                 4.978334,                 4.529564,                 6.741890,                 4.596384,                 5.021143,                 4.705498,                 6.381893,                35.997426,                 0.707402,                 6.319186,                 5.892379,                10.430560,                 0.006486,                 0.006691,                 0.006660,                 0.005897,                 0.005508,                 0.004186,               950.961739
                55.819704,                71.910954,               102.050748,                 8.164635,                 6.562046,                 6.428167,                 4.651884,                 6.102334,                 5.653564,                 5.617890,                 5.720384,                 6.145143,                 5.829498,                 5.257893,                43.437426,                 0.884202,                 5.141186,                 4.748379,                 8.450560,                 0.005346,                 0.005551,                 0.005520,                 0.004757,                 0.006648,                 0.005186,               953.610076
                58.884704,                56.585954,                97.000748,                 8.581135,                 5.157046,                 6.709167,                 5.494884,                 6.383334,                 5.372564,                 6.460890,                 4.877384,                 5.302143,                 5.548498,                 5.538893,                37.857426,                 1.016802,                 6.613686,                 6.178379,                 7.955560,                 0.005631,                 0.006406,                 0.004665,                 0.006752,                 0.006363,                 0.004936,               955.412314
                71.144704,                68.845954,               117.200748,                 6.915135,                 6.281046,                 5.585167,                 6.618884,                 5.259334,                 6.496564,                 5.336890,                 6.001384,                 6.426143,                 6.672498,                 6.662893,                30.417426,                 0.840002,                 5.435686,                 5.034379,                 9.935560,                 0.006771,                 0.005266,                 0.005805,                 0.005612,                 0.005223,                 0.005936,               950.478038
                65.014704,                50.455954,               107.100748,                 9.414135,                 5.719046,                 6.147167,                 6.056884,                 5.821334,                 4.810564,                 4.774890,                 5.439384,                 5.864143,                 4.986498,                 6.100893,                41.577426,                 0.751602,                 4.846686,                 6.750379,                10.925560,                 0.005061,                 0.004696,                 0.005235,                 0.005042,                 0.005793,                 0.004436,               955.516353
                52.754704,                62.715954,                86.900748,                 7.748135,                 4.595046,                 5.023167,                 4.932884,                 4.697334,                 5.934564,                 5.898890,                 6.563384,                 4.740143,                 6.110498,                 4.976893,                34.137426,                 0.928402,                 6.024686,                 5.606379,                 8.945560,                 0.006201,                 0.005836,                 0.006375,                 0.006182,                 0.004653,                 0.005436,               947.721432
                54.287204,                61.183454,               104.575748,                 6.706885,                 5.016546,                 4.882667,                 5.073384,                 5.680834,                 5.513064,                 4.915390,                 6.703884,                 4.880643,                 6.250998,                 5.960393,                31.347426,                 0.862102,                 5.582936,                 6.321379,                 9.688060,                 0.005203,                 0.006548,                 0.006802,                 0.005184,                 0.005651,                 0.004311,               946.506441
