gwp_phs,gwp_ts_dhn_seasonal,gwp_h2_storage,gwp_ts_dec_hp_elec,gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_ts_dec_direct_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_high_temp,gwp_gas_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,gwp_op
                 6.726256,                 0.890607,                 8.920182,                 6.333871,                56.825033,                53.449118,               102.854605,                 4.785147,                 6.619502,                 6.092078,                 5.983822,                 5.951955,                 5.004060,                 6.364331,                 4.893883,                 5.709099,                41.421896,                 4.981533,                 5.329421,                 0.005720,                 0.005533,                 0.005253,                 0.004597,                 0.006167,                 0.004921,             18843.296287
                 6.752288,                 0.771819,                10.992994,                 6.070434,                65.445345,                51.725055,                93.701480,                 5.540334,                 5.091564,                 5.055890,                 5.158384,                 6.707143,                 5.267498,                 4.695893,                 4.876321,                 6.183286,                36.190646,                 6.656502,                 5.454546,                 0.005916,                 0.004981,                 0.006090,                 0.005327,                 0.004938,                 0.004686,             18863.952804
                 8.418288,                 0.948619,                 9.012994,                 4.946434,                53.185345,                63.985055,               113.901480,                 6.664334,                 6.215564,                 6.179890,                 6.282384,                 5.583143,                 6.391498,                 5.819893,                 6.000321,                 5.059286,                43.630646,                 5.478502,                 6.598546,                 0.004776,                 0.006121,                 0.004950,                 0.006467,                 0.006078,                 0.005686,             18836.124886
                 9.251288,                 0.860219,                 8.022994,                 6.632434,                59.315345,                57.855055,               103.801480,                 4.978334,                 4.529564,                 6.741890,                 4.596384,                 5.021143,                 4.705498,                 6.381893,                 5.438321,                 4.497286,                39.910646,                 6.067502,                 6.026546,                 0.006486,                 0.006691,                 0.006660,                 0.005897,                 0.005508,                 0.004186,             18867.884469
                 7.585288,                 1.037019,                10.002994,                 5.508434,                71.575345,                70.115055,                83.601480,                 6.102334,                 5.653564,                 5.617890,                 5.720384,                 6.145143,                 5.829498,                 5.257893,                 6.562321,                 5.621286,                32.470646,                 4.889502,                 4.882546,                 0.005346,                 0.005551,                 0.005520,                 0.004757,                 0.006648,                 0.005186,             18836.270817
                 8.001788,                 0.816019,                 9.507994,                 5.789434,                56.250345,                73.180055,                98.751480,                 6.383334,                 5.372564,                 6.460890,                 4.877384,                 5.302143,                 5.548498,                 5.538893,                 5.719321,                 6.464286,                41.770646,                 6.362002,                 4.596546,                 0.005631,                 0.006406,                 0.004665,                 0.006752,                 0.006363,                 0.004936,             18857.937566
                 9.667788,                 0.992819,                11.487994,                 4.665434,                68.510345,                60.920055,               118.951480,                 5.259334,                 6.496564,                 5.336890,                 6.001384,                 6.426143,                 6.672498,                 6.662893,                 4.595321,                 5.340286,                34.330646,                 5.184002,                 5.740546,                 0.006771,                 0.005266,                 0.005805,                 0.005612,                 0.005223,                 0.005936,             18829.907312
                 8.834788,                 0.727619,                10.497994,                 6.351434,                62.380345,                67.050055,               108.851480,                 5.821334,                 4.810564,                 4.774890,                 5.439384,                 5.864143,                 4.986498,                 6.100893,                 6.281321,                 4.778286,                30.610646,                 6.951002,                 6.312546,                 0.005061,                 0.004696,                 0.005235,                 0.005042,                 0.005793,                 0.004436,             18873.567964
                 7.168788,                 0.904419,                 8.517994,                 5.227434,                50.120345,                54.790055,                88.651480,                 4.697334,                 5.934564,                 5.898890,                 6.563384,                 4.740143,                 6.110498,                 4.976893,                 5.157321,                 5.902286,                38.050646,                 5.773002,                 5.168546,                 0.006201,                 0.005836,                 0.006375,                 0.006182,                 0.004653,                 0.005436,             18842.248188
                 7.377038,                 0.882319,                10.250494,                 4.524934,                54.717845,                53.257555,                91.176480,                 5.680834,                 5.513064,                 4.915390,                 6.703884,                 4.880643,                 6.250998,                 5.960393,                 4.735821,                 5.480786,                35.260646,                 6.509252,                 5.597546,                 0.005203,                 0.006548,                 0.006802,                 0.005184,                 0.005651,                 0.004311,             18844.118864
                 9.043038,                 1.059119,                 8.270494,                 5.648934,                66.977845,                65.517555,               111.376480,                 4.556834,                 6.637064,                 6.039390,                 5.579884,                 6.004643,                 5.126998,                 4.836393,                 5.859821,                 6.604786,                42.700646,                 5.331252,                 6.741546,                 0.006343,                 0.005408,                 0.005662,                 0.006324,                 0.006791,                 0.005311,             18848.330807
                 9.876038,                 0.793919,                 9.260494,                 5.086934,                73.107845,                59.387555,               101.276480,                 6.242834,                 4.951064,                 6.601390,                 6.141884,                 6.566643,                 5.688998,                 5.398393,                 5.297821,                 6.042786,                38.980646,                 5.920252,                 6.169546,                 0.004633,                 0.004838,                 0.006232,                 0.005754,                 0.005081,                 0.004811,             18841.585200
                 8.210038,                 0.970719,                11.240494,                 6.210934,                60.847845,                71.647555,                81.076480,                 5.118834,                 6.075064,                 5.477390,                 5.017884,                 5.442643,                 4.564998,                 6.522393,                 6.421821,                 4.918786,                31.540646,                 4.742252,                 5.025546,                 0.005773,                 0.005978,                 0.005092,                 0.004614,                 0.006221,                 0.005811,             18841.899305
                 7.793538,                 0.749719,                 8.765494,                 4.805934,                70.042845,                68.582555,                96.226480,                 4.837834,                 5.232064,                 6.320390,                 5.860884,                 5.723643,                 6.531998,                 6.241393,                 6.140821,                 5.199786,                44.560646,                 6.214752,                 4.739546,                 0.006058,                 0.005123,                 0.005377,                 0.006609,                 0.005936,                 0.004061,             18838.648493
                 9.459538,                 0.926519,                10.745494,                 5.929934,                57.782845,                56.322555,               116.426480,                 5.961834,                 6.356064,                 5.196390,                 4.736884,                 4.599643,                 5.407998,                 5.117393,                 5.016821,                 6.323786,                37.120646,                 5.036752,                 5.883546,                 0.004918,                 0.006263,                 0.006517,                 0.005469,                 0.004796,                 0.005061,             18842.802527
                 8.626538,                 0.838119,                11.735494,                 5.367934,                51.652845,                62.452555,               106.326480,                 5.399834,                 4.670064,                 4.634390,                 6.422884,                 5.161643,                 5.969998,                 4.555393,                 6.702821,                 5.761786,                33.400646,                 6.803752,                 6.455546,                 0.006628,                 0.006833,                 0.004807,                 0.004899,                 0.006506,                 0.004561,             18860.989145
                 6.960538,                 1.014919,                 9.755494,                 6.491934,                63.912845,                50.192555,                86.126480,                 6.523834,                 5.794064,                 5.758390,                 5.298884,                 6.285643,                 4.845998,                 5.679393,                 5.578821,                 4.637786,                40.840646,                 5.625752,                 5.311546,                 0.005488,                 0.005693,                 0.005947,                 0.006039,                 0.005366,                 0.005561,             18861.511159
                 7.064663,                 0.827069,                 8.394244,                 6.421684,                70.809095,                55.556305,               115.163980,                 6.032084,                 5.723814,                 5.266640,                 4.807134,                 4.810393,                 5.759248,                 5.047143,                 6.492071,                 5.129536,                36.655646,                 5.552127,                 5.097046,                 0.006557,                 0.005622,                 0.005306,                 0.005256,                 0.005152,                 0.004499,             18852.434302
                 8.730663,                 1.003869,                10.374244,                 5.297684,                58.549095,                67.816305,                94.963980,                 4.908084,                 4.599814,                 6.390640,                 5.931134,                 5.934393,                 4.635248,                 6.171143,                 5.368071,                 6.253536,                44.095646,                 6.730127,                 6.241046,                 0.005417,                 0.006762,                 0.006446,                 0.006396,                 0.006292,                 0.005499,             18864.939133
                 9.563663,                 0.738669,                11.364244,                 5.859684,                52.419095,                49.426305,                84.863980,                 6.594084,                 6.285814,                 5.828640,                 5.369134,                 6.496393,                 6.321248,                 6.733143,                 5.930071,                 5.691536,                40.375646,                 4.963127,                 6.813046,                 0.005987,                 0.006192,                 0.004736,                 0.005826,                 0.004582,                 0.004999,             18833.658171
