name,First-order Sobol indices,Total-order Sobol indices  
gwp_ts_high_temp,0.574763,0.574763  
gwp_ts_dec_hp_elec,0.360932,0.360932  
gwp_ts_dhn_seasonal,0.059859,0.059859  
gwp_phs,0.004432,0.004432  
gwp_ts_dhn_daily,0.000003,0.000003  
gwp_phev_batt,0.000002,0.000002  
gwp_h2_storage,0.000002,0.000002  
gwp_ts_dec_cogen_gas,0.000002,0.000002  
gwp_ts_dec_boiler_wood,0.000002,0.000002  
gwp_gas_storage,0.000001,0.000001  
gwp_ts_dec_thhp_gas,0.000001,0.000001  
gwp_ts_dec_advcogen_gas,0.000001,0.000001  
gwp_gasoline_storage,0.000001,0.000001  
gwp_ammonia_storage,0.000000,0.000000  
gwp_lfo_storage,0.000000,0.000000  
gwp_ts_dec_direct_elec,0.000000,0.000000  
gwp_batt_li,0.000000,0.000000  
gwp_ts_dec_cogen_oil,0.000000,0.000000  
gwp_ts_dec_boiler_oil,0.000000,0.000000  
gwp_co2_storage,0.000000,0.000000  
gwp_methanol_storage,0.000000,0.000000  
gwp_bev_batt,0.000000,0.000000  
gwp_diesel_storage,0.000000,0.000000  
gwp_ts_dec_boiler_gas,0.000000,0.000000  
gwp_ts_dec_advcogen_h2,0.000000,0.000000  
