gwp_phs,gwp_ts_dhn_seasonal,gwp_h2_storage,gwp_ts_dec_hp_elec,gwp_op
                 6.726256,                 0.890607,                 8.920182,                 6.333871,               952.668669
                 6.752288,                 0.771819,                10.992994,                 6.070434,               953.259409
                 8.418288,                 0.948619,                 9.012994,                 4.946434,               948.100263
                 9.251288,                 0.860219,                 8.022994,                 6.632434,               954.615529
                 7.585288,                 1.037019,                10.002994,                 5.508434,               952.152555
                 8.001788,                 0.816019,                 9.507994,                 5.789434,               951.710475
                 9.667788,                 0.992819,                11.487994,                 4.665434,               950.920338
                 8.834788,                 0.727619,                10.497994,                 6.351434,               955.116577
                 7.168788,                 0.904419,                 8.517994,                 5.227434,               947.591563
                 7.377038,                 0.882319,                10.250494,                 4.524934,               945.899790
                 9.043038,                 1.059119,                 8.270494,                 5.648934,               952.120541
                 9.876038,                 0.793919,                 9.260494,                 5.086934,               949.183009
                 8.210038,                 0.970719,                11.240494,                 6.210934,               956.849570
                 7.793538,                 0.749719,                 8.765494,                 4.805934,               944.946136
                 9.459538,                 0.926519,                10.745494,                 5.929934,               955.862855
                 8.626538,                 0.838119,                11.735494,                 5.367934,               952.964846
                 6.960538,                 1.014919,                 9.755494,                 6.491934,               955.404166
                 7.064663,                 0.827069,                 8.394244,                 6.421684,               952.172145
                 8.730663,                 1.003869,                10.374244,                 5.297684,               952.245909
                 9.563663,                 0.738669,                11.364244,                 5.859684,               954.941224
                 7.897663,                 0.915469,                 9.384244,                 4.735684,               946.705914
                 8.314163,                 0.782869,                10.869244,                 6.702684,               956.978435
                 9.980163,                 0.959669,                 8.889244,                 5.578684,               952.605668
                 9.147163,                 0.871269,                 9.879244,                 6.140684,               954.959881
                 7.481163,                 1.048069,                11.859244,                 5.016684,               951.868811
                 7.272913,                 0.716569,                 9.136744,                 5.438184,               948.017509
                 8.938913,                 0.893369,                11.116744,                 6.562184,               958.111520
                 9.771913,                 0.804969,                10.126744,                 4.876184,               949.120205
                 8.105913,                 0.981769,                 8.146744,                 6.000184,               952.234217
                 7.689413,                 0.849169,                11.611744,                 5.157184,               951.031503
