gwp_phs,gwp_ts_dhn_seasonal,gwp_h2_storage,gwp_ts_dec_hp_elec,gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_ts_dec_direct_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_high_temp,gwp_gas_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,gwp_op
                 2.315961,                 0.908775,                 6.225681,                 8.297016,                44.518872,                31.859192,               107.954769,                 2.489300,                 9.368132,                 7.390292,                 6.984331,                 6.864832,                 3.310227,                 8.411241,                 2.897062,                 5.954121,                53.032109,                 2.483248,                 4.255328,                 0.005774,                 0.005074,                 0.004023,                 0.001562,                 0.007452,                 0.004703,             18821.324962
                 2.413579,                 0.463322,                13.998728,                 7.309126,                76.845044,                25.393957,                73.630550,                 5.321253,                 3.638366,                 3.504589,                 3.888940,                 9.696785,                 4.298117,                 2.154601,                 2.831203,                 7.732324,                33.414922,                 8.764381,                 4.724547,                 0.006509,                 0.003003,                 0.007162,                 0.004301,                 0.002843,                 0.003824,             18900.773895
                 8.661079,                 1.126322,                 6.573728,                 3.094126,                30.870044,                71.368957,               149.380550,                 9.536253,                 7.853366,                 7.719589,                 8.103940,                 5.481785,                 8.513117,                 6.369601,                 7.046203,                 3.517324,                61.314922,                 4.346881,                 9.014547,                 0.002234,                 0.007278,                 0.002887,                 0.008576,                 0.007118,                 0.007574,             18794.671108
                11.784829,                 0.794822,                 2.861228,                 9.416626,                53.857544,                48.381457,               111.505550,                 3.213753,                 1.530866,                 9.827089,                 1.781440,                 3.374285,                 2.190617,                 8.477101,                 4.938703,                 1.409824,                47.364922,                 6.555631,                 6.869547,                 0.008646,                 0.009416,                 0.009300,                 0.006438,                 0.004981,                 0.001949,             18914.890572
                 5.537329,                 1.457822,                10.286228,                 5.201626,                99.832544,                94.356457,                35.755550,                 7.428753,                 5.745866,                 5.612089,                 5.996440,                 7.589285,                 6.405617,                 4.262101,                 9.153703,                 5.624824,                19.464922,                 2.138131,                 2.579547,                 0.004371,                 0.005141,                 0.005025,                 0.002163,                 0.009256,                 0.005699,             18794.505398
                 7.099204,                 0.629072,                 8.429978,                 6.255376,                42.363794,               105.850207,                92.568050,                 8.482503,                 4.692116,                 8.773339,                 2.835190,                 4.428035,                 5.351867,                 5.315851,                 5.992453,                 8.786074,                54.339922,                 7.660006,                 1.507047,                 0.005440,                 0.008347,                 0.001819,                 0.009645,                 0.008187,                 0.004761,             18878.709745
                13.346704,                 1.292072,                15.854978,                 2.040376,                88.338794,                59.875207,               168.318050,                 4.267503,                 8.907116,                 4.558339,                 7.050190,                 8.643035,                 9.566867,                 9.530851,                 1.777453,                 4.571074,                26.439922,                 3.242506,                 5.797047,                 0.009715,                 0.004072,                 0.006094,                 0.005370,                 0.003912,                 0.008511,             18767.008856
                10.222954,                 0.297572,                12.142478,                 8.362876,                65.351294,                82.862707,               130.443050,                 6.375003,                 2.584616,                 2.450839,                 4.942690,                 6.535535,                 3.244367,                 7.423351,                 8.099953,                 2.463574,                12.489922,                 9.868756,                 7.942047,                 0.003303,                 0.001934,                 0.003956,                 0.003232,                 0.006050,                 0.002886,             18935.660629
                 3.975454,                 0.960572,                 4.717478,                 4.147876,                19.376294,                36.887707,                54.693050,                 2.160003,                 6.799616,                 6.665839,                 9.157690,                 2.320535,                 7.459367,                 3.208351,                 3.884953,                 6.678574,                40.389922,                 5.451256,                 3.652047,                 0.007578,                 0.006209,                 0.008231,                 0.007507,                 0.001775,                 0.006636,             18819.548734
                 4.756391,                 0.877697,                11.214353,                 1.513501,                36.616919,                31.140832,                64.161800,                 5.848128,                 5.218991,                 2.977714,                 9.684565,                 2.847410,                 7.986242,                 6.896476,                 2.304328,                 5.097949,                29.927422,                 8.212194,                 5.260797,                 0.003837,                 0.008881,                 0.009834,                 0.003766,                 0.005515,                 0.002417,             18818.172599
