gwp_phs,gwp_h2_storage,gwp_ts_dec_hp_elec,gwp_op
                 2.315961,                10.177463,                 3.534174,               935.472521
                 2.413579,                 5.188791,                 7.946753,               945.304150
                 8.661079,                12.613791,                 3.731753,               944.986793
                11.784829,                 8.901291,                 1.624253,               929.403955
                 5.537329,                16.326291,                 5.839253,               956.638112
                 7.099204,                 7.045041,                 4.785503,               942.590466
                13.346704,                14.470041,                 9.000503,               969.871432
                10.222954,                 3.332541,                 6.893003,               938.946728
                 3.975454,                10.757541,                 2.678003,               932.006146
                 4.756391,                 9.829416,                 6.366128,               952.218561
                11.003891,                17.254416,                 2.151128,               939.156725
                14.127641,                 6.116916,                 4.258628,               943.340517
                 7.880141,                13.541916,                 8.473628,               963.953134
                 6.318266,                 4.260666,                 3.204878,               922.062672
                12.565766,                11.685666,                 7.419878,               964.253502
                 9.442016,                 7.973166,                 9.527378,               959.590106
                 3.194516,                15.398166,                 5.312378,               952.020989
                 3.584985,                 7.509104,                 2.414565,               925.774521
                 9.832485,                14.934104,                 6.629565,               963.137791
                12.956235,                 3.796604,                 8.737065,               946.987063
