gwp_op,probability density
5526.773056999991,
5526.773056999991,21990232.55552
5526.773056999992,
5526.773056999992,
5526.773056999993,10995116.27776
5526.773056999993,
5526.773056999993,
5526.773056999993,65970697.66656
5526.773056999994,
5526.773056999994,
5526.773056999995,373833953.44384
5526.773056999995,
5526.773056999995,
5526.773056999995,inf
5526.773056999995,0.0
5526.773056999996,
5526.773056999996,inf
5526.773056999997,0.0
5526.773056999997,
5526.773056999997,inf
5526.773056999997,0.0
5526.773056999998,
5526.773056999998,inf
5526.7730569999985,0.0
5526.7730569999985,
5526.7730569999985,
5526.7730569999985,19549316741.85728
5526.773056999999,
5526.773056999999,
5526.773057,30148608833.61792
5526.773057,
5526.773057,
5526.773057,42133285576.37632
5526.773057000001,
5526.773057000001,
5526.773057000002,54755679063.2448
5526.773057000002,
5526.773057000002,
5526.773057000002,inf
5526.773057000002,0.0
5526.773057000003,
5526.773057000003,inf
5526.773057000004,0.0
5526.773057000004,
5526.773057000004,inf
5526.773057000004,0.0
5526.773057000005,
5526.773057000005,inf
5526.773057000006,0.0
5526.773057000006,
5526.773057000006,
5526.773057000006,99351870685.83936
5526.773057000007,
5526.773057000007,
5526.773057000008,96757023244.288
5526.773057000008,
5526.773057000008,
5526.773057000008,89390295338.1888
5526.7730570000085,
5526.7730570000085,
5526.773057000009,80121412316.03712
5526.773057000009,
5526.773057000009,
5526.773057000009,inf
5526.773057000009,0.0
5526.77305700001,
5526.77305700001,inf
5526.773057000011,0.0
5526.773057000011,
5526.773057000011,inf
5526.773057000011,0.0
5526.773057000012,
5526.773057000012,inf
5526.773057000013,0.0
5526.773057000013,
5526.773057000013,
5526.773057000013,19461355811.6352
5526.773057000014,
5526.773057000014,
5526.773057000015,11918706045.09184
5526.773057000015,
5526.773057000015,
5526.773057000015,6729011161.98912
5526.773057000016,
5526.773057000016,
5526.773057000017,2759774185.71776
5526.773057000017,
5526.773057000017,
5526.773057000017,inf
5526.773057000017,0.0
5526.773057000018,
5526.773057000018,inf
5526.7730570000185,0.0
5526.7730570000185,
5526.7730570000185,inf
5526.7730570000185,0.0
5526.773057000019,
5526.773057000019,inf
5526.77305700002,0.0
5526.77305700002,inf
