name,First-order Sobol indices,Total-order Sobol indices  
gwp_DEC_DIRECT_ELEC,0.421676,0.421676  
gwp_DHN_BOILER_WOOD,0.280557,0.280557  
gwp_DEC_BOILER_WOOD,0.088144,0.088144  
gwp_HYDRO_RIVER,0.040298,0.040298  
gwp_NUCLEAR,0.035543,0.035543  
gwp_DEC_SOLAR,0.029056,0.029056  
gwp_GEOTHERMAL,0.022397,0.022397  
gwp_IND_COGEN_WOOD,0.022104,0.022104  
gwp_DHN_COGEN_WET_BIOMASS,0.018425,0.018425  
gwp_IND_COGEN_WASTE,0.009410,0.009410  
gwp_DHN_COGEN_WOOD,0.005441,0.005441  
gwp_DHN_COGEN_BIO_HYDROLYSIS,0.005121,0.005121  
gwp_DEC_HP_ELEC,0.004586,0.004586  
gwp_DHN_COGEN_WASTE,0.003965,0.003965  
gwp_IND_DIRECT_ELEC,0.003643,0.003643  
gwp_IND_BOILER_WASTE,0.002891,0.002891  
gwp_PV,0.001649,0.001649  
gwp_DHN_DEEP_GEO,0.001447,0.001447  
gwp_DHN_HP_ELEC,0.001097,0.001097  
gwp_WIND_ONSHORE,0.000984,0.000984  
gwp_DHN_SOLAR,0.000783,0.000783  
gwp_WIND_OFFSHORE,0.000555,0.000555  
gwp_IND_BOILER_WOOD,0.000229,0.000229  
