gwp_NUCLEAR,gwp_PV,gwp_WIND_ONSHORE,gwp_WIND_OFFSHORE,gwp_HYDRO_RIVER,gwp_GEOTHERMAL,gwp_IND_COGEN_WOOD,gwp_IND_COGEN_WASTE,gwp_IND_BOILER_WOOD,gwp_IND_BOILER_WASTE,gwp_IND_DIRECT_ELEC,gwp_DHN_HP_ELEC,gwp_DHN_COGEN_WOOD,gwp_DHN_COGEN_WASTE,gwp_DHN_COGEN_WET_BIOMASS,gwp_DHN_COGEN_BIO_HYDROLYSIS,gwp_DHN_BOILER_WOOD,gwp_DHN_DEEP_GEO,gwp_DHN_SOLAR,gwp_DEC_HP_ELEC,gwp_DEC_BOILER_WOOD,gwp_DEC_SOLAR,gwp_DEC_DIRECT_ELEC,gwp_op
               571.594522,              2096.986098,               561.205565,               701.966472,              1170.632753,             21736.352381,               168.365860,               551.586070,                34.004451,                31.295069,                 1.565163,               185.114281,               147.210199,               733.619378,               891.696875,               658.070145,                32.146509,               684.017754,               206.114417,               165.462143,                20.472193,               203.863601,                 1.185434,              5526.773057
               573.806647,              1817.293941,               691.614784,               672.770378,              1348.216815,             21035.221444,               153.382829,               638.636883,                26.155420,                25.972163,                 1.349257,               208.601687,               154.960043,               541.297815,               888.496875,               712.728270,                28.086665,               914.008879,               210.953604,               171.130237,                18.429100,               236.355288,                 1.373778,              5526.773057
               715.382647,              2233.579941,               567.044784,               548.200378,              1095.652815,             26021.041444,               186.448829,               768.200883,                31.929420,                31.746163,                 1.643257,               173.643687,               188.026043,               670.861815,              1093.296875,               583.168270,                33.860665,               752.256879,               255.197604,               138.152237,                22.647100,               192.111288,                 1.667778,              5526.773057
               786.170647,              2025.436941,               504.759784,               735.055378,              1221.934815,             23528.131444,               169.915829,               573.854883,                23.268420,                34.633163,                 1.202257,               156.164687,               138.427043,               735.643815,               990.896875,               518.388270,                30.973665,               833.132879,               233.075604,               187.619237,                24.756100,               258.477288,                 1.520778,              5526.773057
               644.594647,              2441.722941,               629.329784,               610.485378,              1474.498815,             28513.951444,               136.849829,               703.418883,                29.042420,                28.859163,                 1.496257,               191.122687,               171.493043,               606.079815,              1195.696875,               647.948270,                25.199665,               671.380879,               188.831604,               154.641237,                20.538100,               214.233288,                 1.226778,              5526.773057
               679.988647,              1921.365441,               598.187284,               641.627878,              1158.793815,             29760.406444,               161.649329,               735.809883,                27.598920,                33.189663,                 1.275757,               164.904187,               163.226543,               638.470815,              1042.096875,               745.118270,                32.417165,               873.570879,               177.770604,               162.885737,                23.701600,               181.050288,                 1.741278,              5526.773057
               821.564647,              2337.651441,               722.757284,               517.057878,              1411.357815,             24774.586444,               194.715329,               606.245883,                33.372920,                27.415663,                 1.569757,               199.862187,               196.292543,               768.034815,               837.296875,               615.558270,                26.643165,               711.818879,               222.014604,               195.863737,                19.483600,               225.294288,                 1.447278,              5526.773057
               750.776647,              1713.222441,               660.472284,               703.912878,              1285.075815,             27267.496444,               178.182329,               671.027883,                24.711920,                24.528663,                 1.422757,               182.383187,               146.693543,               703.252815,              1144.496875,               550.778270,                23.756165,               954.446879,               244.136604,               146.396737,                17.374600,               203.172288,                 1.300278,              5526.773057
               609.200647,              2129.508441,               535.902284,               579.342878,              1032.511815,             22281.676444,               145.116329,               541.463883,                30.485920,                30.302663,                 1.716757,               147.425187,               179.759543,               573.688815,               939.696875,               680.338270,                29.530165,               792.694879,               199.892604,               179.374737,                21.592600,               247.416288,                 1.594278,              5526.773057
               626.897647,              2077.472691,               644.901034,               501.486628,              1127.223315,             21658.448944,               149.249579,               654.832383,                28.320670,                25.250413,                 1.753507,               151.794937,               183.892793,               687.057315,               862.896875,               631.753270,                27.364915,               893.789879,               216.484104,               150.518987,                24.228850,               264.007788,                 1.337028,              5526.773057
               768.473647,              2493.758691,               520.331034,               626.056628,              1379.787315,             26644.268944,               182.315579,               525.268383,                34.094670,                31.024413,                 1.459507,               186.752937,               150.826793,               557.493315,              1067.696875,               761.313270,                33.138915,               732.037879,               260.728104,               183.496987,                20.010850,               219.763788,                 1.631028,              5526.773057
               839.261647,              1869.329691,               582.616034,               563.771628,              1506.069315,             24151.358944,               165.782579,               719.614383,                25.433670,                33.911413,                 1.606507,               204.231937,               167.359793,               622.275315,               965.296875,               696.533270,                30.251915,               812.913879,               238.606104,               134.029987,                17.901850,               241.885788,                 1.484028,              5526.773057
               697.685647,              2285.615691,               707.186034,               688.341628,              1253.505315,             29137.178944,               132.716579,               590.050383,                31.207670,                28.137413,                 1.312507,               169.273937,               134.293793,               751.839315,              1170.096875,               566.973270,                24.477915,               651.161879,               194.362104,               167.007987,                22.119850,               197.641788,                 1.190028,              5526.773057
               662.291647,              1765.258191,               551.473534,               532.629128,              1442.928315,             27890.723944,               157.516079,               557.659383,                26.877170,                32.467913,                 1.533007,               178.013437,               192.159293,               719.448315,              1118.896875,               599.363270,                34.582415,               853.351879,               183.301104,               175.252487,                18.956350,               208.702788,                 1.704528,              5526.773057
               803.867647,              2181.544191,               676.043534,               657.199128,              1190.364315,             22904.903944,               190.582079,               687.223383,                32.651170,                26.693913,                 1.239007,               143.055437,               159.093293,               589.884315,               914.096875,               728.923270,                28.808415,               691.599879,               227.545104,               142.274487,                23.174350,               252.946788,                 1.410528,              5526.773057
               733.079647,              1973.401191,               738.328534,               594.914128,              1064.082315,             25397.813944,               174.049079,               622.441383,                23.990170,                23.806913,                 1.680007,               160.534437,               175.626293,               525.102315,              1221.296875,               664.143270,                25.921415,               934.227879,               249.667104,               191.741487,                25.283350,               186.580788,                 1.263528,              5526.773057
               591.503647,              2389.687191,               613.758534,               719.484128,              1316.646315,             20411.993944,               140.983079,               752.005383,                29.764170,                29.580913,                 1.386007,               195.492437,               142.560293,               654.666315,              1016.496875,               534.583270,                31.695415,               772.475879,               205.423104,               158.763487,                21.065350,               230.824788,                 1.557528,              5526.773057
               600.352147,              1947.383316,               528.116659,               711.698503,              1458.713565,             22593.290194,               188.515454,               695.321133,                29.403295,                27.054788,                 1.257382,               149.610062,               169.426418,               581.786565,              1182.896875,               591.265770,                28.447540,               762.366379,               197.127354,               189.680362,                20.801725,               205.937538,                 1.355403,              5526.773057
               741.928147,              2363.669316,               652.686659,               587.128503,              1206.149565,             27579.110194,               155.449454,               565.757133,                23.629295,                32.828788,                 1.551382,               184.568062,               136.360418,               711.350565,               978.096875,               720.825770,                34.221540,               924.118379,               241.371354,               156.702362,                25.019725,               250.181538,                 1.649403,              5526.773057
               812.716147,              1739.240316,               714.971659,               649.413503,              1079.867565,             20100.380194,               138.916454,               760.103133,                32.290295,                29.941788,                 1.404382,               202.047062,               185.959418,               776.132565,              1080.496875,               656.045770,                31.334540,               681.490379,               263.493354,               173.191362,                22.910725,               183.815538,                 1.502403,              5526.773057
               671.140147,              2155.526316,               590.401659,               524.843503,              1332.431565,             25086.200194,               171.982454,               630.539133,                26.516295,                24.167788,                 1.698382,               167.089062,               152.893418,               646.568565,               875.696875,               526.485770,                25.560540,               843.242379,               219.249354,               140.213362,                18.692725,               228.059538,                 1.208403,              5526.773057
               706.534147,              1843.311816,               683.829159,               742.841003,              1016.726565,             26332.655194,               196.781954,               533.366133,                30.846795,                31.385288,                 1.330882,               175.828562,               177.692918,               614.177565,               926.896875,               623.655770,                32.778040,               721.928379,               208.188354,               131.968862,                21.856225,               261.242538,                 1.722903,              5526.773057
               848.110147,              2259.597816,               559.259159,               618.271003,              1269.290565,             21346.835194,               163.715954,               662.930133,                25.072795,                25.611288,                 1.624882,               140.870562,               144.626918,               743.741565,              1131.696875,               753.215770,                27.004040,               883.680379,               252.432354,               164.946862,                17.638225,               216.998538,                 1.428903,              5526.773057
               777.322147,              2051.454816,               621.544159,               680.556003,              1395.572565,             28825.565194,               147.182954,               598.148133,                33.733795,                28.498288,                 1.183882,               158.349562,               194.225918,               678.959565,               824.496875,               688.435770,                24.117040,               802.804379,               230.310354,               148.457862,                19.747225,               239.120538,                 1.281903,              5526.773057
               635.746147,              2467.740816,               746.114159,               555.986003,              1143.008565,             23839.745194,               180.248954,               727.712133,                27.959795,                34.272288,                 1.477882,               193.307562,               161.159918,               549.395565,              1029.296875,               558.875770,                29.891040,               964.556379,               186.066354,               181.435862,                23.965225,               194.876538,                 1.575903,              5526.773057
