gwp_op,probability density
7369766.381226314,5.6745452805543164e-08
7406068.84949737,2.253290310433762e-07
7442371.317768427,2.889610679272562e-07
7478673.786039485,2.727087295023676e-07
7514976.254310541,2.8069716703325225e-07
7551278.722581597,2.829008739383147e-07
7587581.190852655,2.8400272739084953e-07
7623883.659123711,2.8234994721205454e-07
7660186.1273947675,2.7931985021757653e-07
7696488.5956658255,2.829008739383147e-07
7732791.063936882,2.8014624030698485e-07
7769093.532207938,2.817990204857799e-07
7805396.000478995,2.859309709327928e-07
7841698.468750052,2.762897532231058e-07
7878000.937021108,2.829008739383147e-07
7914303.405292165,2.768406799493803e-07
7950605.873563223,2.895119946535236e-07
7986908.341834279,2.7959531358071026e-07
8023210.810105336,2.740860463180432e-07
8059513.278376393,2.9144023819545956e-07
8095815.746647449,2.784934601281754e-07
8132118.214918506,2.815235571226534e-07
8168420.683189563,2.817990204857799e-07
8204723.15146062,2.8152355712264617e-07
8241025.619731677,2.859309709327928e-07
8277328.088002734,2.7876892349130914e-07
8313630.55627379,2.7821799676504174e-07
8349933.024544847,2.864818976590602e-07
8386235.492815903,2.727087295023746e-07
8422537.96108696,2.862064342959118e-07
8458840.429358017,2.8400272739085684e-07
8495142.897629075,2.773916066756477e-07
8531445.365900131,2.87859214474714e-07
8567747.834171187,2.7849346012818256e-07
8604050.302442245,2.8758375111159504e-07
8640352.770713301,2.7904438685443566e-07
8676655.238984358,2.77116143312514e-07
8712957.707255416,2.8785921447472877e-07
8749260.175526472,2.78768923491302e-07
8785562.643797528,2.77116143312514e-07
8821865.112068586,2.8400272739085684e-07
8858167.580339642,2.78768923491302e-07
8894470.048610698,2.8703282438532765e-07
8930772.516881756,2.7904438685445e-07
8967074.985152813,2.837272640277085e-07
9003377.453423869,2.851045808433917e-07
9039679.921694927,2.8014624030698485e-07
9075982.389965983,2.795953135807031e-07
9112284.85823704,2.7821799676504884e-07
9148587.326508097,2.837272640277231e-07
9184889.794779154,2.837272640277085e-07
9221192.26305021,2.8262541057518827e-07
9257494.731321268,2.8069716703325225e-07
9293797.199592324,2.78768923491302e-07
9330099.66786338,2.8455365411712423e-07
9366402.136134438,2.8317633730145566e-07
9402704.604405494,2.7849346012816827e-07
9439007.07267655,2.7849346012818256e-07
9475309.540947609,2.842781907539905e-07
9511612.009218665,2.8345180066457483e-07
9547914.477489721,2.8262541057518827e-07
9584216.94576078,2.7931985021758373e-07
9620519.414031835,2.795953135807031e-07
9656821.882302891,2.8538004420652535e-07
9693124.35057395,2.77116143312514e-07
9729426.818845006,2.859309709327781e-07
9765729.287116062,2.7794253340191516e-07
9802031.75538712,2.837272640277231e-07
9838334.223658176,2.8317633730144116e-07
9874636.691929232,2.7931985021758373e-07
9910939.16020029,2.817990204857871e-07
9947241.628471347,2.815235571226389e-07
9983544.096742403,2.80972630396386e-07
10019846.56501346,2.884101412009962e-07
10056149.033284517,2.771161433124998e-07
10092451.501555573,2.7463697304431063e-07
10128753.969826631,2.917157015586007e-07
10165056.438097687,2.776670700387672e-07
10201358.906368744,2.867573610221939e-07
10237661.374639802,2.768406799493803e-07
10273963.842910858,2.795953135807031e-07
10310266.311181914,2.864818976590602e-07
10346568.779452972,2.7628975322311287e-07
10382871.247724028,2.8978745801664986e-07
10419173.715995084,2.7325965622864206e-07
10455476.184266143,2.867573610221939e-07
10491778.652537199,2.8234994721204004e-07
10528081.120808255,2.773916066756477e-07
10564383.589079313,2.8014624030698485e-07
10600686.05735037,2.8014624030697045e-07
10636988.525621425,2.8262541057518827e-07
10673290.993892483,2.864818976590602e-07
10709593.46216354,2.765652165862324e-07
10745895.930434596,2.8730828774846137e-07
10782198.398705654,2.8262541057518827e-07
10818500.86697671,2.8124809375950525e-07
10854803.335247766,2.8069716703325225e-07
10891105.803518824,2.77116143312514e-07
10927408.27178988,1.9723176800372748e-07
10963710.740060937,3.167828676037685e-08
