gwp_op,probability density
4.367366999999995,
4.367366999999995,inf
4.367366999999995,
4.367366999999996,0.0
4.367366999999996,
4.367366999999996,
4.367366999999996,
4.367366999999996,inf
4.367366999999996,
4.367366999999996,
4.367366999999996,0.0
4.367366999999997,
4.367366999999997,
4.367366999999997,
4.367366999999997,inf
4.367366999999997,
4.367366999999998,0.0
4.367366999999998,
4.367366999999998,
4.367366999999998,
4.367366999999998,
4.367366999999998,inf
4.367366999999998,
4.367366999999998,0.0
4.367366999999999,
4.367366999999999,
4.367366999999999,
4.367366999999999,inf
4.367366999999999,
4.367367,0.0
4.367367,
4.367367,
4.367367,
4.367367,
4.367367,inf
4.367367,
4.367367,0.0
4.367367000000001,
4.367367000000001,
4.367367000000001,
4.367367000000001,
4.367367000000001,inf
4.367367000000001,
4.3673670000000016,0.0
4.3673670000000016,
4.3673670000000016,
4.3673670000000016,
4.3673670000000016,inf
4.3673670000000016,
4.3673670000000016,
4.3673670000000016,0.0
4.367367000000002,
4.367367000000002,
4.367367000000002,
4.367367000000002,inf
4.367367000000002,
4.367367000000003,0.0
4.367367000000003,
4.367367000000003,
4.367367000000003,
4.367367000000003,
4.367367000000003,inf
4.367367000000003,
4.367367000000003,0.0
4.367367000000004,
4.367367000000004,
4.367367000000004,
4.367367000000004,inf
4.367367000000004,
4.367367000000005,0.0
4.367367000000005,
4.367367000000005,
4.367367000000005,
4.367367000000005,
4.367367000000005,inf
4.367367000000005,
4.367367000000005,0.0
4.367367000000006,
4.367367000000006,
4.367367000000006,
4.367367000000006,
4.367367000000006,inf
4.367367000000006,
4.367367000000007,0.0
4.367367000000007,
4.367367000000007,
4.367367000000007,
4.367367000000007,inf
4.367367000000007,
4.367367000000007,
4.367367000000007,0.0
4.367367000000008,
4.367367000000008,
4.367367000000008,
4.367367000000008,inf
4.367367000000008,
4.367367000000009,0.0
4.367367000000009,
4.367367000000009,
4.367367000000009,inf
