gwp_tramway_trolley,gwp_bus_coach_diesel,gwp_bus_coach_cng_stoich,gwp_bus_coach_fc_hybridh2,gwp_train_pub,gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_train_freight,gwp_boat_freight_diesel,gwp_boat_freight_methanol,gwp_truck_diesel,gwp_truck_methanol,gwp_truck_fuel_cell,gwp_op
              6318.585062,                15.184975,                30.308533,               433.305893,              1775.671177,                19.779892,                50.918121,                21.866074,                47.230911,               224.104053,               958.263245,               315.248108,               229.540880,                53.244324,               143.747060,               541.361370,                 4.367367
              6320.393499,                11.859194,                93.121033,               371.196518,              3065.026646,                12.045517,                46.386871,                78.975449,                13.246536,               150.344835,               826.075745,               452.310608,               340.939317,                23.556824,               137.911904,               575.216839,                 4.367367
              6436.133499,                16.809194,                33.121033,               106.196518,              1231.276646,                67.045517,                56.386871,               163.975449,                38.246536,               230.354835,              1006.075745,               248.310608,               816.239317,                43.556824,               511.361904,               494.966839,                 4.367367
              6494.003499,                14.334194,                 3.121033,               503.696518,              2148.151646,                39.545517,                51.386871,                36.475449,                 0.746536,               270.359835,               736.075745,               146.310608,               103.289317,                53.556824,               324.636904,               454.841839,                 4.367367
              6378.263499,                19.284194,                63.121033,               238.696518,              3981.901646,                94.545517,                41.386871,               121.475449,                25.746536,               190.349835,               916.075745,               350.310608,               578.589317,                33.556824,               698.086904,               535.091839,                 4.367367
              6407.198499,                13.096694,                48.121033,               304.946518,              1689.714146,               108.295517,                48.886871,               142.725449,                19.496536,               250.357335,               781.075745,               197.310608,               459.764317,                38.556824,               417.999404,               595.279339,                 4.367367
              6522.938499,                18.046694,               108.121033,                39.946518,              3523.464146,                53.295517,                58.886871,                57.725449,                44.496536,               170.347335,               961.075745,               401.310608,               935.064317,                58.556824,                44.549404,               515.029339,                 4.367367
              6465.068499,                10.621694,                78.121033,               437.446518,              2606.589146,                80.795517,                53.886871,               100.225449,                 6.996536,               130.342335,               871.075745,               299.310608,               222.114317,                48.556824,               604.724404,               474.904339,                 4.367367
              6349.328499,                15.571694,                18.121033,               172.446518,               772.839146,                25.795517,                43.886871,                15.225449,                31.996536,               210.352335,              1051.075745,                95.310608,               697.414317,                28.556824,               231.274404,               555.154339,                 4.367367
              6363.795999,                14.952944,                70.621033,                 6.821518,              1460.495396,                18.920517,                45.136871,                89.600449,                22.621536,               140.343585,              1073.575745,               120.810608,               756.826817,                46.056824,                91.230654,               525.060589,                 4.367367
              6479.535999,                19.902944,                10.621033,               271.821518,              3294.245396,                73.920517,                55.136871,                 4.600449,                47.621536,               220.353585,               893.575745,               324.810608,               281.526817,                26.056824,               464.680654,               605.310589,                 4.367367
              6537.405999,                12.477944,                40.621033,               139.321518,              4211.120396,                46.420517,                50.136871,               132.100449,                10.121536,               260.358585,               983.575745,               426.810608,               519.176817,                36.056824,               277.955654,               565.185589,                 4.367367
              6421.665999,                17.427944,               100.621033,               404.321518,              2377.370396,               101.420517,                40.136871,                47.100449,                35.121536,               180.348585,               803.575745,               222.810608,                43.876817,                56.056824,               651.405654,               484.935589,                 4.367367
              6392.730999,                11.240444,                25.621033,                73.071518,              3752.682896,                87.670517,                47.636871,                25.850449,                16.371536,               240.356085,               938.575745,               273.810608,               875.651817,                51.056824,               558.043154,               504.998089,                 4.367367
              6508.470999,                16.190444,                85.621033,               338.071518,              1918.932896,                32.670517,                57.636871,               110.850449,                41.371536,               160.346085,               758.575745,                69.810608,               400.351817,                31.056824,               184.593154,               585.248089,                 4.367367
              6450.600999,                13.715444,               115.621033,               205.571518,              1002.057896,                60.170517,                52.636871,                68.350449,                 3.871536,               120.341085,              1028.575745,               171.810608,               638.001817,                21.056824,               744.768154,               545.123089,                 4.367367
              6334.860999,                18.665444,                55.621033,               470.571518,              2835.807896,                 5.170517,                42.636871,               153.350449,                28.871536,               200.351085,               848.575745,               375.810608,               162.701817,                41.056824,               371.318154,               464.873089,                 4.367367
              6342.094749,                13.406069,                14.371033,               454.009018,              3867.292271,                29.233017,                57.011871,               116.162949,                27.309036,               165.346710,               769.825745,               108.060608,               548.883067,                29.806824,               674.746279,               499.982464,                 4.367367
              6457.834749,                18.356069,                74.371033,               189.009018,              2033.542271,                84.233017,                47.011871,                31.162949,                 2.309036,               245.356710,               949.825745,               312.060608,                73.583067,                49.806824,               301.296279,               580.232464,                 4.367367
              6515.704749,                10.931069,               104.371033,               321.509018,              1116.667271,                 1.733017,                42.011871,               158.662949,                39.809036,               205.351710,               859.825745,               414.060608,               786.533067,                59.806824,               488.021279,               540.107464,                 4.367367
              6399.964749,                15.881069,                44.371033,                56.509018,              2950.417271,                56.733017,                52.011871,                73.662949,                14.809036,               125.341710,              1039.825745,               210.060608,               311.233067,                39.806824,               114.571279,               459.857464,                 4.367367
              6428.899749,                12.168569,                89.371033,               520.259018,               658.229771,                70.483017,                59.511871,                 9.912949,                33.559036,               225.354210,               814.825745,               261.060608,               667.708067,                34.806824,               207.933779,               520.044964,                 4.367367
              6544.639749,                17.118569,                29.371033,               255.259018,              2491.979771,                15.483017,                49.511871,                94.912949,                 8.559036,               145.344210,               994.825745,                57.060608,               192.408067,                54.806824,               581.383779,               600.294964,                 4.367367
              6486.769749,                14.643569,                59.371033,               387.759018,              3408.854771,                97.983017,                44.511871,                52.412949,                46.059036,               185.349210,               724.825745,               159.060608,               905.358067,                44.806824,                21.208779,               560.169964,                 4.367367
              6371.029749,                19.593569,               119.371033,               122.759018,              1575.104771,                42.983017,                54.511871,               137.412949,                21.059036,               265.359210,               904.825745,               363.060608,               430.058067,                24.806824,               394.658779,               479.919964,                 4.367367
              6356.562249,                10.312319,                36.871033,               222.134018,              2262.761021,                49.858017,                55.761871,                63.037949,                36.684036,               155.345460,               927.325745,               439.560608,               132.995567,                42.306824,               628.065029,               610.326214,                 4.367367
              6472.302249,                15.262319,                96.871033,               487.134018,              4096.511021,               104.858017,                45.761871,               148.037949,                11.684036,               235.355460,               747.325745,               235.560608,               608.295567,                22.306824,               254.615029,               530.076214,                 4.367367
              6530.172249,                12.787319,                66.871033,                89.634018,              3179.636021,                22.358017,                40.761871,                20.537949,                49.184036,               195.350460,              1017.325745,               133.560608,               370.645567,                32.306824,               441.340029,               489.951214,                 4.367367
              6414.432249,                17.737319,                 6.871033,               354.634018,              1345.886021,                77.358017,                50.761871,               105.537949,                24.184036,               115.340460,               837.325745,               337.560608,               845.945567,                52.306824,                67.890029,               570.201214,                 4.367367
              6385.497249,                14.024819,               111.871033,               155.884018,              2721.198521,                63.608017,                58.261871,               169.287949,                30.434036,               215.352960,              1062.325745,               184.560608,               251.820567,                57.306824,               347.977529,               590.263714,                 4.367367
              6501.237249,                18.974819,                51.871033,               420.884018,               887.448521,                 8.608017,                48.261871,                84.287949,                 5.434036,               135.342960,               882.325745,               388.560608,               727.120567,                37.306824,               721.427529,               510.013714,                 4.367367
              6443.367249,                11.549819,                21.871033,                23.384018,              1804.323521,                91.108017,                43.261871,               126.787949,                42.934036,               175.347960,               972.325745,               286.560608,               489.470567,                27.306824,               161.252529,               469.888714,                 4.367367
              6327.627249,                16.499819,                81.871033,               288.384018,              3638.073521,                36.108017,                53.261871,                41.787949,                17.934036,               255.357960,               792.325745,                82.560608,               964.770567,                47.306824,               534.702529,               550.138714,                 4.367367
              6324.010374,                14.179507,                42.496033,                81.352768,              1059.362583,                79.076767,                41.699371,               145.381699,                42.152786,               142.843897,               899.200745,               407.685608,                58.729942,                29.181824,               172.922842,               537.599651,                 4.367367
