gwp_op,probability density
-48784.2890548211,1.9203791187949684e-09
-38369.67883319469,1.9203791187949684e-09
-27955.068611568273,1.920379118794967e-09
-17540.458389941858,3.840758237589937e-09
-7125.848168315446,6.72132691578239e-09
3288.7620533109693,5.7611373563849015e-09
13703.372274937385,1.344265383156478e-08
24117.982496563796,2.688530766312956e-08
34532.59271819021,4.320853017288679e-08
44947.20293981662,4.704928841047673e-08
55361.81316144303,7.489478563300377e-08
65776.42338306946,8.929762902396591e-08
76191.03360469587,1.0562085153372327e-07
86605.64382632228,1.5939146685998238e-07
97020.25404794869,1.7859525804793206e-07
107434.8642695751,2.5156966456214085e-07
117849.47449120152,2.9285781561623267e-07
128264.08471282793,3.725535490462239e-07
138678.69493445434,4.359260599664579e-07
149093.30515608075,4.83935537936332e-07
159507.91537770716,5.80914683435478e-07
169922.52559933357,6.346852987617371e-07
180337.13582096,7.844748700277445e-07
190751.7460425864,8.161611254878593e-07
201166.35626421284,9.083393231900202e-07
211580.96648583925,1.0456464301838604e-06
221995.57670746566,1.1474265234799937e-06
232410.18692909207,1.1647099355491484e-06
242824.79715071848,1.2578483228107043e-06
253239.4073723449,1.3788322072947872e-06
263654.01759397134,1.4719705945563432e-06
274068.6278155977,1.526701399442e-06
284483.23803722416,1.5382236741547697e-06
294897.8482588505,1.6880132454207772e-06
305312.458480477,1.6159990284659659e-06
315727.06870210334,1.7801914431229357e-06
326141.6789237298,1.7283412069154715e-06
336556.28914535616,1.727381017356074e-06
346970.89936698263,1.8195592150582325e-06
357385.509588609,1.8387630062461824e-06
367800.11981023545,1.8089971299048605e-06
378214.7300318618,1.883891915537864e-06
388629.3402534883,1.8368426271273875e-06
399043.95047511463,1.8848521050972616e-06
409458.5606967411,1.8406833853649774e-06
419873.17091836745,1.8934938111318388e-06
430287.7811399939,1.905016085844609e-06
440702.39136162034,1.8512454705183392e-06
451117.00158324675,1.8426037644837723e-06
461531.6118048732,1.859887176552927e-06
471946.22202649957,1.8243601628552303e-06
482360.832248126,1.8733298303844815e-06
492775.4424697524,1.8800511573002846e-06
503190.0526913788,1.8349222480085822e-06
513604.6629130052,1.8771705886220922e-06
524019.2731346317,1.8426037644837518e-06
534433.883356258,1.923259687473193e-06
544848.4935778844,1.8752502095032765e-06
555263.1037995109,1.858926986993519e-06
565677.7140211373,1.8752502095032765e-06
576092.3242427637,1.8157184568206734e-06
586506.93446439,1.858926986993519e-06
596921.5446860165,1.7475449981034117e-06
607336.154907643,1.770589547528951e-06
617750.7651292694,1.7216198799996797e-06
628165.3753508958,1.646725094366713e-06
638579.9855725222,1.6832122976237803e-06
648994.5957941486,1.5862331521246351e-06
659409.2060157751,1.5151791247292219e-06
669823.8162374015,1.4748511632345606e-06
680238.4264590278,1.3836331550917672e-06
690653.0366806543,1.3625089847850226e-06
701067.6469022807,1.2242416882317856e-06
711482.2571239071,1.1311033009702555e-06
721896.8673455335,1.044686240624457e-06
732311.4775671599,9.630701280756714e-07
742726.0877887864,8.708919303735134e-07
753140.6980104127,7.921563865029379e-07
763555.3082320391,6.730928811376328e-07
773969.9184536656,6.250834031677588e-07
784384.528675292,5.386663428219857e-07
794799.1388969184,4.2632416437249014e-07
805213.7491185447,3.984786671499537e-07
815628.3593401712,3.2550426063574533e-07
826042.9695617977,2.563706123591269e-07
836457.579783424,2.0836113438925757e-07
846872.1900050504,1.814758267261235e-07
857286.8002266769,1.238644531622748e-07
867701.4104483033,1.0754123065251764e-07
878116.0206699297,7.393459607360753e-08
888530.630891556,4.416871973228403e-08
898945.2411131825,4.416871973228403e-08
909359.851334809,2.1124170306744537e-08
919774.4615564353,1.7283412069155005e-08
930189.0717780617,1.728341206915462e-08
940603.6819996882,9.601895593974789e-09
951018.2922213146,5.761137356384873e-09
961432.9024429411,9.60189559397479e-10
971847.5126645674,9.601895593975003e-10
982262.1228861938,1.920379118794958e-09
