gwp_tramway_trolley,gwp_bus_coach_diesel,gwp_bus_coach_hydiesel,gwp_bus_coach_cng_stoich,gwp_bus_coach_fc_hybridh2,gwp_train_pub,gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_boat_freight_diesel,gwp_boat_freight_methanol,gwp_truck_diesel,gwp_truck_methanol,gwp_truck_fuel_cell,gwp_op
              6318.585062,                15.184975,               133.862686,                98.106995,                63.499451,              1270.729580,                60.049667,                42.572479,               160.585098,                35.499954,               216.398012,               315.248108,               229.540880,                53.244324,               143.747060,               541.361370,            306608.555240
              6320.393499,                11.859194,               411.284561,                84.044495,               133.811951,              1012.858486,                35.127792,                49.291229,                45.038223,                12.453079,               157.640668,               452.310608,               340.939317,                23.556824,               137.911904,               575.216839,            325500.224763
              6436.133499,                16.809194,               146.284561,                24.044495,                33.811951,              2846.608486,                90.127792,                59.291229,               130.038223,                37.453079,               237.650668,               248.310608,               816.239317,                43.556824,               511.361904,               494.966839,            701894.824930
              6494.003499,                14.334194,                13.784561,               114.044495,                83.811951,              1929.733486,                62.627792,                44.291229,                 2.538223,                49.953079,               117.635668,               146.310608,               103.289317,                53.556824,               324.636904,               454.841839,            258616.072212
              6378.263499,                19.284194,               278.784561,                54.044495,               183.811951,              3763.483486,                 7.627792,                54.291229,                87.538223,                24.953079,               197.645668,               350.310608,               578.589317,                33.556824,               698.086904,               535.091839,            736050.971299
              6407.198499,                13.096694,               212.534561,                69.044495,                58.811951,              4221.920986,                48.877792,                56.791229,                66.288223,                43.703079,               137.638168,               197.310608,               459.764317,                38.556824,               417.999404,               595.279339,            501372.022181
              6522.938499,                18.046694,               477.534561,                 9.044495,               158.811951,              2388.170986,               103.877792,                46.791229,               151.288223,                18.703079,               217.648168,               401.310608,               935.064317,                58.556824,                44.549404,               515.029339,            262457.650660
              6465.068499,                10.621694,               345.034561,                99.044495,               108.811951,              3305.045986,                76.377792,                51.791229,                23.788223,                 6.203079,               177.643168,               299.310608,               222.114317,                48.556824,               604.724404,               474.904339,            515005.737009
              6349.328499,                15.571694,                80.034561,                39.044495,                 8.811951,              1471.295986,                21.377792,                41.791229,               108.788223,                31.203079,               257.653168,                95.310608,               697.414317,                28.556824,               231.274404,               555.154339,            400760.808351
              6363.795999,                14.952944,               311.909561,                 1.544495,                46.311951,              1242.077236,                28.252792,                50.541229,                76.913223,                 9.328079,               267.654418,               120.810608,               756.826817,                46.056824,                91.230654,               525.060589,            225911.319614
              6479.535999,                19.902944,                46.909561,                61.544495,               146.311951,              3075.827236,                83.252792,                40.541229,               161.913223,                34.328079,               187.644418,               324.810608,               281.526817,                26.056824,               464.680654,               605.310589,            514552.490322
              6537.405999,                12.477944,               179.409561,                31.544495,               196.311951,              2158.952236,                55.752792,                55.541229,                34.413223,                46.828079,               227.649418,               426.810608,               519.176817,                36.056824,               277.955654,               565.185589,            437595.208185
              6421.665999,                17.427944,               444.409561,                91.544495,                96.311951,              3992.702236,                 0.752792,                45.541229,               119.413223,                21.828079,               147.639418,               222.810608,                43.876817,                56.056824,               651.405654,               484.935589,            562167.564385
              6392.730999,                11.240444,               113.159561,                16.544495,               171.311951,              3534.264736,                42.002792,                43.041229,                55.663223,                40.578079,               207.646918,               273.810608,               875.651817,                51.056824,               558.043154,               504.998089,            713613.261475
              6508.470999,                16.190444,               378.159561,                76.544495,                71.311951,              1700.514736,                97.002792,                53.041229,               140.663223,                15.578079,               127.636918,                69.810608,               400.351817,                31.056824,               184.593154,               585.248089,            355423.847317
              6450.600999,                13.715444,               510.659561,                46.544495,                21.311951,              2617.389736,                69.502792,                48.041229,                13.163223,                 3.078079,               247.651918,               171.810608,               638.001817,                21.056824,               744.768154,               545.123089,            740688.143299
              6334.860999,                18.665444,               245.659561,               106.544495,               121.311951,               783.639736,                14.502792,                58.041229,                98.163223,                28.078079,               167.641918,               375.810608,               162.701817,                41.056824,               371.318154,               464.873089,            405920.987946
              6342.094749,                13.406069,                63.472061,               102.794495,               177.561951,              1585.905361,                93.565292,                53.666229,                92.850723,                17.140579,               132.637543,               108.060608,               548.883067,                29.806824,               674.746279,               499.982464,            679332.094976
              6457.834749,                18.356069,               328.472061,                42.794495,                77.561951,              3419.655361,                38.565292,                43.666229,                 7.850723,                42.140579,               212.647543,               312.060608,                73.583067,                49.806824,               301.296279,               580.232464,            286417.752777
              6515.704749,                10.931069,               460.972061,                72.794495,                27.561951,               669.030361,                11.065292,                58.666229,               135.350723,                29.640579,               172.642543,               414.060608,               786.533067,                59.806824,               488.021279,               540.107464,            671001.474530
              6399.964749,                15.881069,               195.972061,                12.794495,               127.561951,              2502.780361,                66.065292,                48.666229,                50.350723,                 4.640579,               252.652543,               210.060608,               311.233067,                39.806824,               114.571279,               459.857464,            257299.084711
              6428.899749,                12.168569,               394.722061,               117.794495,                 2.561951,              2961.217861,               107.315292,                41.166229,               114.100723,                35.890579,               152.640043,               261.060608,               667.708067,                34.806824,               207.933779,               520.044964,            417551.338839
              6544.639749,                17.118569,               129.722061,                57.794495,               102.561951,              1127.467861,                52.315292,                51.166229,                29.100723,                10.890579,               232.650043,                57.060608,               192.408067,                54.806824,               581.383779,               600.294964,            416183.581624
              6486.769749,                14.643569,               262.222061,                87.794495,               152.561951,              3878.092861,                24.815292,                46.166229,               156.600723,                23.390579,               112.635043,               159.060608,               905.358067,                44.806824,                21.208779,               560.169964,            180072.362694
              6371.029749,                19.593569,               527.222061,                27.794495,                52.561951,              2044.342861,                79.815292,                56.166229,                71.600723,                48.390579,               192.645043,               363.060608,               430.058067,                24.806824,               394.658779,               479.919964,            532254.761475
              6356.562249,                10.312319,               162.847061,                50.294495,                90.061951,              2273.561611,                86.690292,                47.416229,               124.725723,                14.015579,               202.646293,               439.560608,               132.995567,                42.306824,               628.065029,               610.326214,            535390.564591
              6472.302249,                15.262319,               427.847061,               110.294495,               190.061951,              4107.311611,                31.690292,                57.416229,                39.725723,                39.015579,               122.636293,               235.560608,               608.295567,                22.306824,               254.615029,               530.076214,            491709.973904
              6530.172249,                12.787319,               295.347061,                20.294495,               140.061951,              1356.686611,                 4.190292,                42.416229,               167.225723,                26.515579,               242.651293,               133.560608,               370.645567,                32.306824,               441.340029,               489.951214,            572297.086517
              6414.432249,                17.737319,                30.347061,                80.294495,                40.061951,              3190.436611,                59.190292,                52.416229,                82.225723,                 1.515579,               162.641293,               337.560608,               845.945567,                52.306824,                67.890029,               570.201214,            212386.217641
              6385.497249,                14.024819,               494.097061,                35.294495,               115.061951,              2731.999111,               100.440292,                59.916229,               103.475723,                32.765579,               262.653793,               184.560608,               251.820567,                57.306824,               347.977529,               590.263714,            466731.905873
              6501.237249,                18.974819,               229.097061,                95.294495,                15.061951,               898.249111,                45.440292,                49.916229,                18.475723,                 7.765579,               182.643793,               388.560608,               727.120567,                37.306824,               721.427529,               510.013714,            536271.962810
              6443.367249,                11.549819,                96.597061,                 5.294495,                65.061951,              3648.874111,                17.940292,                54.916229,               145.975723,                20.265579,               222.648793,               286.560608,               489.470567,                27.306824,               161.252529,               469.888714,            345870.853571
              6327.627249,                16.499819,               361.597061,                65.294495,               165.061951,              1815.124111,                72.940292,                44.916229,                60.975723,                45.265579,               142.638793,                82.560608,               964.770567,                47.306824,               534.702529,               550.138714,            774424.133992
              6324.010374,                14.179507,               187.690811,                18.419495,                24.436951,              3247.741299,                 9.346542,                57.103729,               143.319473,                10.109329,               190.144731,               407.685608,                58.729942,                29.181824,               172.922842,               537.599651,            262628.358681
