gwp_op,probability density
422477.56843850267,1.073481738209069e-08
424340.66487397323,5.367408691045177e-09
426203.76130944374,2.6837043455226725e-08
428066.85774491425,5.904149560149695e-08
429929.9541803848,1.0198076512986156e-07
431793.0506158553,1.5028744334926966e-07
433656.1470513259,1.932267128776264e-07
435519.2434867964,3.3814674753585676e-07
437382.3399222669,4.132904692104915e-07
439245.4363577374,7.353349906731893e-07
441108.53279320797,7.192327646000762e-07
442971.62922867853,9.661335643881318e-07
444834.72566414904,1.2345039989404294e-06
446697.82209961955,1.4760373900374698e-06
448560.91853509005,1.663896694224005e-06
450424.0149705606,1.991308624377823e-06
452287.1114060312,2.2543116502389745e-06
454150.2078415017,2.6514998933764006e-06
456013.3042769722,2.8715636497092596e-06
457876.4007124427,3.263384484155468e-06
459739.49714791327,3.6766749533660614e-06
461602.59358338383,3.816227579333121e-06
463465.69001885434,4.363703265819866e-06
465328.78645432484,4.471051439640773e-06
467191.88288979535,4.755524100266027e-06
469054.9793252659,5.345939056281163e-06
470918.0757607365,5.464022047483991e-06
472781.172196207,5.700188029890156e-06
474644.2686316775,6.440890429254414e-06
476507.365067148,6.494564516164665e-06
478370.46150261856,6.660954185587274e-06
480233.5579380891,7.1332861503990405e-06
482096.65437355964,7.428493628406758e-06
483959.75080903014,8.051113036568017e-06
485822.84724450065,8.11552194086031e-06
487685.9436799712,8.469770914469554e-06
489549.0401154418,8.442933871014065e-06
491412.1365509123,9.172901452996494e-06
493275.2329863828,9.591559330898031e-06
495138.3294218533,9.666703052572667e-06
497001.4258573238,9.967277939270894e-06
498864.5222927944,1.0300057278115695e-05
500727.61872826493,1.0375200999790652e-05
502590.71516373544,1.0536223260522012e-05
504453.81159920595,1.1169577486065363e-05
506316.90803467645,1.1008555225333658e-05
508180.004470147,1.0944146321041459e-05
510043.1009056176,1.149698941621877e-05
511906.1973410881,1.1352069381560905e-05
513769.2937765586,1.1062229312244456e-05
515632.3902120291,1.206593473746956e-05
517495.48664749967,1.1212516755593727e-05
519358.58308297023,1.1835136163754616e-05
521221.67951844074,1.1212516755593727e-05
523084.77595391124,1.1024657451407138e-05
524947.8723893818,1.0938778912350413e-05
526810.9688248523,1.1040759677479586e-05
528674.0652603229,1.0815328512456371e-05
530537.1616957934,1.0246383191205564e-05
532400.2581312639,1.0230280965132428e-05
534263.3545667344,1.0165872060839885e-05
536126.451002205,9.392965209328767e-06
537989.5474376755,9.360760757183081e-06
539852.643873146,9.307086670272629e-06
541715.7403086165,8.684467262111368e-06
543578.836744087,8.69520207949346e-06
545441.9331795576,7.80957964547049e-06
547305.0296150282,7.788110010706796e-06
549168.1260504987,7.1762254199276264e-06
551031.2224859692,7.272838776366443e-06
552894.3189214397,6.956161663594768e-06
554757.4153569103,6.397951159725652e-06
556620.5117923808,6.151050359937965e-06
558483.6082278513,5.9095169688409255e-06
560346.7046633218,5.3888783258095266e-06
562209.8010987923,5.383510917118481e-06
564072.8975342629,4.787728552412448e-06
565935.9939697334,4.406642535347954e-06
567799.090405204,4.084598013885508e-06
569662.1868406745,3.826962396715331e-06
571525.283276145,3.5800615969272455e-06
573388.3797116156,3.3277933884479062e-06
575251.4761470861,2.9037681018555315e-06
577114.5725825566,2.6031932151569924e-06
578977.6690180271,2.286516102385317e-06
580840.7654534976,1.959104172231551e-06
582703.8618889682,1.6585292855330117e-06
584566.9583244387,1.4599351639642428e-06
586430.0547599093,1.2022995467941573e-06
588293.1511953798,9.392965209329355e-07
590156.2476308503,7.46069808055303e-07
592019.3440663209,5.74312729941816e-07
593882.4405017914,4.6159714742989964e-07
595745.5369372619,3.488815649179474e-07
597608.6333727324,1.8785930418658707e-07
599471.729808203,1.3955262596717898e-07
601334.8262436735,7.514372167463483e-08
603197.922679144,5.904149560149511e-08
605061.0191146146,3.7571860837317415e-08
606924.1155500851,2.146963476418138e-08
