gwp_tramway_trolley,gwp_bus_coach_diesel,gwp_bus_coach_hydiesel,gwp_bus_coach_cng_stoich,gwp_bus_coach_fc_hybridh2,gwp_train_pub,gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_boat_freight_diesel,gwp_boat_freight_methanol,gwp_truck_diesel,gwp_truck_methanol,gwp_truck_fuel_cell,gwp_op
              5192.056244,                15.112106,               238.772537,                67.621399,                92.699890,              2131.861221,                56.009933,                42.572479,               100.117020,                27.099991,               202.832387,               270.062027,               436.297089,                45.297729,               335.257126,               543.481827,            474959.114655
              5212.149994,                13.096481,               294.256912,                64.808899,               106.762390,              2063.095596,                51.025558,                49.291229,                77.007645,                22.490616,               174.852699,               304.327652,               459.265839,                33.422729,               334.054001,               588.622452,            476383.567594
              6498.149994,                16.096481,               241.256912,                52.808899,                86.762390,              2552.095596,                62.025558,                59.291229,                94.007645,                27.490616,               212.952699,               253.327652,               557.265839,                41.422729,               411.054001,               481.622452,            553948.740087
              7141.149994,                14.596481,               214.756912,                70.808899,                96.762390,              2307.595596,                56.525558,                44.291229,                68.507645,                29.990616,               155.802699,               227.827652,               410.265839,                45.422729,               372.554001,               428.122452,            463147.358620
              5855.149994,                17.596481,               267.756912,                58.808899,               116.762390,              2796.595596,                45.525558,                54.291229,                85.507645,                24.990616,               193.902699,               278.827652,               508.265839,                37.422729,               449.554001,               535.122452,            560910.783465
              6176.649994,                13.846481,               254.506912,                61.808899,                91.762390,              2918.845596,                53.775558,                56.791229,                81.257645,                28.740616,               165.327699,               240.577652,               483.765839,                39.422729,               391.804001,               615.372452,            512772.145011
              7462.649994,                16.846481,               307.506912,                49.808899,               111.762390,              2429.845596,                64.775558,                46.791229,                98.257645,                23.740616,               203.427699,               291.577652,               581.765839,                47.422729,               314.804001,               508.372452,            524796.744185
              6819.649994,                12.346481,               281.006912,                67.808899,               101.762390,              2674.345596,                59.275558,                51.791229,                72.757645,                21.240616,               184.377699,               266.077652,               434.765839,                43.422729,               430.304001,               454.872452,            515614.035902
              5533.649994,                15.346481,               228.006912,                55.808899,                81.762390,              2185.345596,                48.275558,                41.791229,                89.757645,                26.240616,               222.477699,               215.077652,               532.765839,                35.422729,               353.304001,               561.872452,            507453.867539
              5694.399994,                14.971481,               274.381912,                48.308899,                89.262390,              2124.220596,                49.650558,                50.541229,                83.382645,                21.865616,               227.240199,               221.452652,               545.015839,                42.422729,               324.429001,               521.747452,            498682.843286
