gwp_tramway_trolley,gwp_bus_coach_diesel,gwp_bus_coach_hydiesel,gwp_bus_coach_cng_stoich,gwp_bus_coach_fc_hybridh2,gwp_train_pub,gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_train_freight,gwp_boat_freight_diesel,gwp_boat_freight_methanol,gwp_truck_diesel,gwp_truck_methanol,gwp_truck_fuel_cell,gwp_op
              6318.585062,                15.184975,               133.862686,                98.106995,                63.499451,              1270.729580,                60.049667,                42.572479,               160.585098,                35.499954,               216.398012,                22.240402,               143.210266,               804.751353,                27.079773,               414.603161,               580.538593,              3444.509075
              6320.393499,                11.859194,               411.284561,                84.044495,               133.811951,              1012.858486,                35.127792,                49.291229,                45.038223,                12.453079,               157.640668,                25.062277,               191.022766,                99.227916,                26.767273,               572.152380,               524.112812,              3354.096198
              6436.133499,                16.809194,               146.284561,                24.044495,                33.811951,              2846.608486,                90.127792,                59.291229,               130.038223,                37.453079,               237.650668,                20.862277,               395.022766,               574.527916,                46.767273,               198.702380,               604.362812,              3488.666034
              6494.003499,                14.334194,                13.784561,               114.044495,                83.811951,              1929.733486,                62.627792,                44.291229,                 2.538223,                49.953079,               117.635668,                18.762277,                89.022766,               812.177916,                36.767273,                11.977380,               564.237812,              3404.336364
              6378.263499,                19.284194,               278.784561,                54.044495,               183.811951,              3763.483486,                 7.627792,                54.291229,                87.538223,                24.953079,               197.645668,                22.962277,               293.022766,               336.877916,                56.767273,               385.427380,               483.987812,              3572.994552
              6407.198499,                13.096694,               212.534561,                69.044495,                58.811951,              4221.920986,                48.877792,                56.791229,                66.288223,                43.703079,               137.638168,                19.812277,               242.022766,               455.702916,                41.767273,               665.514880,               584.300312,              3370.692819
              6522.938499,                18.046694,               477.534561,                 9.044495,               158.811951,              2388.170986,               103.877792,                46.791229,               151.288223,                18.703079,               217.648168,                24.012277,               446.022766,               931.002916,                21.767273,               292.064880,               504.050312,              3539.352822
              6465.068499,                10.621694,               345.034561,                99.044495,               108.811951,              3305.045986,                76.377792,                51.791229,                23.788223,                 6.203079,               177.643168,                21.912277,               140.022766,               693.352916,                51.767273,               105.339880,               463.925312,              3303.409583
              6349.328499,                15.571694,                80.034561,                39.044495,                 8.811951,              1471.295986,                21.377792,                41.791229,               108.788223,                31.203079,               257.653168,                17.712277,               344.022766,               218.052916,                31.767273,               478.789880,               544.175312,              3437.976984
              6363.795999,                14.952944,               311.909561,                 1.544495,                46.311951,              1242.077236,                28.252792,                50.541229,                76.913223,                 9.328079,               267.654418,                18.237277,               369.522766,               633.940416,                24.267273,               338.746130,               514.081562,              3094.889015
              6479.535999,                19.902944,                46.909561,                61.544495,               146.311951,              3075.827236,                83.252792,                40.541229,               161.913223,                34.328079,               187.644418,                22.437277,               165.522766,               158.640416,                44.267273,               712.196130,               594.331562,              3589.814696
              6537.405999,                12.477944,               179.409561,                31.544495,               196.311951,              2158.952236,                55.752792,                55.541229,                34.413223,                46.828079,               227.649418,                24.537277,               267.522766,               396.290416,                34.267273,               525.471130,               554.206562,              3370.916472
              6421.665999,                17.427944,               444.409561,                91.544495,                96.311951,              3992.702236,                 0.752792,                45.541229,               119.413223,                21.828079,               147.639418,                20.337277,                63.522766,               871.590416,                54.267273,               152.021130,               473.956562,              3505.486045
              6392.730999,                11.240444,               113.159561,                16.544495,               171.311951,              3534.264736,                42.002792,                43.041229,                55.663223,                40.578079,               207.646918,                21.387277,               420.522766,               752.765416,                49.267273,               245.383630,               614.394062,              3320.229494
              6508.470999,                16.190444,               378.159561,                76.544495,                71.311951,              1700.514736,                97.002792,                53.041229,               140.663223,                15.578079,               127.636918,                17.187277,               216.522766,               277.465416,                29.267273,               618.833630,               534.144062,              3454.798988
              6450.600999,                13.715444,               510.659561,                46.544495,                21.311951,              2617.389736,                69.502792,                48.041229,                13.163223,                 3.078079,               247.651918,                19.287277,               318.522766,                39.815416,                59.267273,               432.108630,               494.019062,              3387.514125
              6334.860999,                18.665444,               245.659561,               106.544495,               121.311951,               783.639736,                14.502792,                58.041229,                98.163223,                28.078079,               167.641918,                23.487277,               114.522766,               515.115416,                39.267273,                58.658630,               574.269062,              3556.172962
              6342.094749,                13.406069,                63.472061,               102.794495,               177.561951,              1585.905361,                93.565292,                53.666229,                92.850723,                17.140579,               132.637543,                17.974777,               280.272766,               247.759166,                55.517273,               222.043005,               529.128437,              3372.711693
              6457.834749,                18.356069,               328.472061,                42.794495,                77.561951,              3419.655361,                38.565292,                43.666229,                 7.850723,                42.140579,               212.647543,                22.174777,                76.272766,               723.059166,                35.517273,               595.493005,               609.378437,              3541.370846
              6515.704749,                10.931069,               460.972061,                72.794495,                27.561951,               669.030361,                11.065292,                58.666229,               135.350723,                29.640579,               172.642543,                24.274777,               382.272766,               960.709166,                45.517273,               408.768005,               569.253437,              3322.473459
              6399.964749,                15.881069,               195.972061,                12.794495,               127.561951,              2502.780361,                66.065292,                48.666229,                50.350723,                 4.640579,               252.652543,                20.074777,               178.272766,               485.409166,                25.517273,                35.318005,               489.003437,              3457.042080
              6428.899749,                12.168569,               394.722061,               117.794495,                 2.561951,              2961.217861,               107.315292,                41.166229,               114.100723,                35.890579,               152.640043,                21.124777,               331.272766,               366.584166,                30.517273,               315.405505,               589.315937,              3347.592162
