gwp_op,probability density
59647.86629310483,1.4806616573247764e-05
59924.76952617752,3.546365237787635e-05
60201.672759250214,3.651094964769143e-05
60478.575992322905,3.705265513207855e-05
60755.4792253956,3.640260855081401e-05
61032.38245846829,3.690820033624199e-05
61309.28569154098,3.622204005601831e-05
61586.18892461367,3.625815375497745e-05
61863.09215768636,3.6655404443528e-05
62139.99539075905,3.694431403520113e-05
62416.898623831745,3.672763184144628e-05
62693.801856904436,3.600535786226346e-05
62970.70508997713,3.672763184144628e-05
63247.60832304982,3.6655404443527036e-05
63524.51155612252,3.6655404443528e-05
63801.41478919521,3.651094964769143e-05
64078.3180222679,3.625815375497745e-05
64355.22125534059,3.614981265810003e-05
64632.12448841328,3.7666588014383944e-05
64909.027721485974,3.60414715612226e-05
65185.930954558666,3.68359729383237e-05
65462.83418763135,3.6294267453937546e-05
65739.73742070404,3.690820033624199e-05
66016.64065377673,3.625815375497554e-05
66293.54388684944,3.672763184144628e-05
66570.44711992213,3.68359729383237e-05
66847.35035299482,3.600535786226346e-05
67124.25358606751,3.694431403520113e-05
67401.1568191402,3.625815375497745e-05
67678.0600522129,3.654706334665057e-05
67954.96328528559,3.658317704560972e-05
68231.86651835828,3.651094964769143e-05
68508.76975143097,3.629426745393659e-05
68785.67298450366,3.698042773416027e-05
69062.57621757635,3.64748359487323e-05
69339.47945064904,3.698042773416027e-05
69616.38268372173,3.596924416330432e-05
69893.28591679443,3.658317704560972e-05
70170.18914986712,3.633038115289573e-05
70447.09238293981,3.701654143311941e-05
70723.9956160125,3.582478936746776e-05
71000.89884908519,3.7341564723751676e-05
71277.80208215788,3.658317704560972e-05
71554.70531523057,3.596924416330432e-05
71831.60854830327,3.633038115289573e-05
72108.51178137596,3.7197109927915115e-05
72385.41501444865,3.651094964769143e-05
72662.31824752134,3.643872224977316e-05
72939.22148059403,3.629426745393659e-05
73216.12471366672,3.705265513207855e-05
73493.02794673941,3.651094964769143e-05
73769.9311798121,3.64748359487323e-05
74046.8344128848,3.622204005601831e-05
74323.73764595749,3.694431403520113e-05
74600.64087903018,3.622204005601831e-05
74877.54411210287,3.643872224977316e-05
75154.44734517556,3.716099622895597e-05
75431.35057824825,3.636649485185487e-05
75708.25381132094,3.651094964769143e-05
75985.15704439364,3.643872224977316e-05
76262.06027746633,3.651094964769143e-05
76538.96351053902,3.698042773416027e-05
76815.86674361171,3.60414715612226e-05
77092.7699766844,3.654706334665057e-05
77369.6732097571,3.676374554040542e-05
77646.57644282978,3.636649485185487e-05
77923.47967590248,3.6655404443528e-05
78200.38290897517,3.669151814248714e-05
78477.28614204786,3.694431403520113e-05
78754.18937512055,3.600535786226346e-05
79031.09260819324,3.6655404443528e-05
79307.99584126593,3.694431403520113e-05
79584.89907433862,3.651094964769143e-05
79861.80230741132,3.643872224977316e-05
80138.705540484,3.658317704560972e-05
80415.6087735567,3.629426745393659e-05
80692.51200662939,3.669151814248714e-05
80969.41523970208,3.669151814248714e-05
81246.31847277477,3.640260855081401e-05
81523.22170584746,3.701654143311941e-05
81800.12493892015,3.589701676538604e-05
82077.02817199285,3.658317704560972e-05
82353.93140506554,3.633038115289573e-05
82630.83463813824,3.672763184144435e-05
82907.73787121093,3.676374554040542e-05
83184.64110428363,3.658317704560972e-05
83461.54433735632,3.640260855081401e-05
83738.44757042901,3.6872086637282847e-05
84015.3508035017,3.658317704560972e-05
84292.25403657439,3.60414715612226e-05
84569.15726964708,3.6655404443528e-05
84846.06050271977,3.625815375497745e-05
85122.96373579247,3.701654143311941e-05
85399.86696886516,3.669151814248714e-05
85676.77020193785,3.661929074456886e-05
85953.67343501054,3.625815375497745e-05
86230.57666808323,3.68359729383237e-05
86507.47990115592,3.669151814248714e-05
86784.38313422861,3.5391424979958065e-05
87061.2863673013,1.5637231649308005e-05
