gwp_tramway_trolley,gwp_bus_coach_diesel,gwp_bus_coach_hydiesel,gwp_bus_coach_cng_stoich,gwp_bus_coach_fc_hybridh2,gwp_train_pub,gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_train_freight,gwp_boat_freight_diesel,gwp_boat_freight_methanol,gwp_truck_diesel,gwp_truck_methanol,gwp_truck_fuel_cell,gwp_op
              6318.585062,                15.184975,               133.862686,                98.106995,                63.499451,              1270.729580,                60.049667,                42.572479,               160.585098,                35.499954,               216.398012,               953.160095,               143.210266,               804.751353,                27.079773,               414.603161,               580.538593,             77403.351531
              6320.393499,                11.859194,               411.284561,                84.044495,               133.811951,              1012.858486,                35.127792,                49.291229,                45.038223,                12.453079,               157.640668,              1074.097595,               191.022766,                99.227916,                26.767273,               572.152380,               524.112812,             86472.826651
              6436.133499,                16.809194,               146.284561,                24.044495,                33.811951,              2846.608486,                90.127792,                59.291229,               130.038223,                37.453079,               237.650668,               894.097595,               395.022766,               574.527916,                46.767273,               198.702380,               604.362812,             72974.069559
              6494.003499,                14.334194,                13.784561,               114.044495,                83.811951,              1929.733486,                62.627792,                44.291229,                 2.538223,                49.953079,               117.635668,               804.097595,                89.022766,               812.177916,                36.767273,                11.977380,               564.237812,             66073.057799
              6378.263499,                19.284194,               278.784561,                54.044495,               183.811951,              3763.483486,                 7.627792,                54.291229,                87.538223,                24.953079,               197.645668,               984.097595,               293.022766,               336.877916,                56.767273,               385.427380,               483.987812,             79875.054132
              6407.198499,                13.096694,               212.534561,                69.044495,                58.811951,              4221.920986,                48.877792,                56.791229,                66.288223,                43.703079,               137.638168,               849.097595,               242.022766,               455.702916,                41.767273,               665.514880,               584.300312,             69447.788220
              6522.938499,                18.046694,               477.534561,                 9.044495,               158.811951,              2388.170986,               103.877792,                46.791229,               151.288223,                18.703079,               217.648168,              1029.097595,               446.022766,               931.002916,                21.767273,               292.064880,               504.050312,             83249.758690
              6465.068499,                10.621694,               345.034561,                99.044495,               108.811951,              3305.045986,                76.377792,                51.791229,                23.788223,                 6.203079,               177.643168,               939.097595,               140.022766,               693.352916,                51.767273,               105.339880,               463.925312,             76197.150865
              6349.328499,                15.571694,                80.034561,                39.044495,                 8.811951,              1471.295986,                21.377792,                41.791229,               108.788223,                31.203079,               257.653168,               759.097595,               344.022766,               218.052916,                31.767273,               478.789880,               544.175312,             62698.386319
              6363.795999,                14.952944,               311.909561,                 1.544495,                46.311951,              1242.077236,                28.252792,                50.541229,                76.913223,                 9.328079,               267.654418,               781.597595,               369.522766,               633.940416,                24.267273,               338.746130,               514.081562,             64016.597850
              6479.535999,                19.902944,                46.909561,                61.544495,               146.311951,              3075.827236,                83.252792,                40.541229,               161.913223,                34.328079,               187.644418,               961.597595,               165.522766,               158.640416,                44.267273,               712.196130,               594.331562,             78187.704349
              6537.405999,                12.477944,               179.409561,                31.544495,               196.311951,              2158.952236,                55.752792,                55.541229,                34.413223,                46.828079,               227.649418,              1051.597595,               267.522766,               396.290416,                34.267273,               525.471130,               554.206562,             84785.544816
              6421.665999,                17.427944,               444.409561,                91.544495,                96.311951,              3992.702236,                 0.752792,                45.541229,               119.413223,                21.828079,               147.639418,               871.597595,                63.522766,               871.590416,                54.267273,               152.021130,               473.956562,             71286.724214
              6392.730999,                11.240444,               113.159561,                16.544495,               171.311951,              3534.264736,                42.002792,                43.041229,                55.663223,                40.578079,               207.646918,               916.597595,               420.522766,               752.765416,                49.267273,               245.383630,               614.394062,             74509.783127
              6508.470999,                16.190444,               378.159561,                76.544495,                71.311951,              1700.514736,                97.002792,                53.041229,               140.663223,                15.578079,               127.636918,               736.597595,               216.522766,               277.465416,                29.267273,               618.833630,               534.144062,             61011.070471
              6450.600999,                13.715444,               510.659561,                46.544495,                21.311951,              2617.389736,                69.502792,                48.041229,                13.163223,                 3.078079,               247.651918,               826.597595,               318.522766,                39.815416,                59.267273,               432.108630,               494.019062,             67760.451004
              6334.860999,                18.665444,               245.659561,               106.544495,               121.311951,               783.639736,                14.502792,                58.041229,                98.163223,                28.078079,               167.641918,              1006.597595,               114.522766,               515.115416,                39.267273,                58.658630,               574.269062,             81562.446574
              6342.094749,                13.406069,                63.472061,               102.794495,               177.561951,              1585.905361,                93.565292,                53.666229,                92.850723,                17.140579,               132.637543,               770.347595,               280.272766,               247.759166,                55.517273,               222.043005,               529.128437,             63485.224442
              6457.834749,                18.356069,               328.472061,                42.794495,                77.561951,              3419.655361,                38.565292,                43.666229,                 7.850723,                42.140579,               212.647543,               950.347595,                76.272766,               723.059166,                35.517273,               595.493005,               609.378437,             77287.203776
              6515.704749,                10.931069,               460.972061,                72.794495,                27.561951,               669.030361,                11.065292,                58.666229,               135.350723,                29.640579,               172.642543,              1040.347595,               382.272766,               960.709166,                45.517273,               408.768005,               569.253437,             83884.963934
              6399.964749,                15.881069,               195.972061,                12.794495,               127.561951,              2502.780361,                66.065292,                48.666229,                50.350723,                 4.640579,               252.652543,               860.347595,               178.272766,               485.409166,                25.517273,                35.318005,               489.003437,             70386.207437
              6428.899749,                12.168569,               394.722061,               117.794495,                 2.561951,              2961.217861,               107.315292,                41.166229,               114.100723,                35.890579,               152.640043,               905.347595,               331.272766,               366.584166,                30.517273,               315.405505,               589.315937,             73685.081017
              6544.639749,                17.118569,               129.722061,                57.794495,               102.561951,              1127.467861,                52.315292,                51.166229,                29.100723,                10.890579,               232.650043,               725.347595,               127.272766,               841.884166,                50.517273,               688.855505,               509.065937,             60186.349254
              6486.769749,                14.643569,               262.222061,                87.794495,               152.561951,              3878.092861,                24.815292,                46.166229,               156.600723,                23.390579,               112.635043,               815.347595,               433.272766,               604.234166,                20.517273,               502.130505,               468.940937,             66935.694548
              6371.029749,                19.593569,               527.222061,                27.794495,                52.561951,              2044.342861,                79.815292,                56.166229,                71.600723,                48.390579,               192.645043,               995.347595,               229.272766,               128.934166,                40.517273,               128.680505,               549.190937,             80737.675709
              6356.562249,                10.312319,               162.847061,                50.294495,                90.061951,              2273.561611,                86.690292,                47.416229,               124.725723,                14.015579,               202.646293,              1062.847595,               101.772766,               544.821666,                53.017273,               735.536755,               499.034687,             85572.287522
              6472.302249,                15.262319,               427.847061,               110.294495,               190.061951,              4107.311611,                31.690292,                57.416229,                39.725723,                39.015579,               122.636293,               882.847595,               305.772766,                69.521666,                33.017273,               362.086755,               579.284687,             72073.530842
              6530.172249,                12.787319,               295.347061,                20.294495,               140.061951,              1356.686611,                 4.190292,                42.416229,               167.225723,                26.515579,               242.651293,               792.847595,               203.772766,               307.171666,                43.017273,               175.361755,               539.159687,             65172.536533
              6414.432249,                17.737319,                30.347061,                80.294495,                40.061951,              3190.436611,                59.190292,                52.416229,                82.225723,                 1.515579,               162.641293,               972.847595,               407.772766,               782.471666,                23.017273,               548.811755,               458.909687,             78974.521830
              6385.497249,                14.024819,               494.097061,                35.294495,               115.061951,              2731.999111,               100.440292,                59.916229,               103.475723,                32.765579,               262.653793,               837.847595,               152.772766,               901.296666,                38.017273,               642.174255,               599.347187,             68623.047682
              6501.237249,                18.974819,               229.097061,                95.294495,                15.061951,               898.249111,                45.440292,                49.916229,                18.475723,                 7.765579,               182.643793,              1017.847595,               356.772766,               425.996666,                58.017273,               268.724255,               519.097187,             82425.033457
              6443.367249,                11.549819,                96.597061,                 5.294495,                65.061951,              3648.874111,                17.940292,                54.916229,               145.975723,                20.265579,               222.648793,               927.847595,               254.772766,               188.346666,                28.017273,                81.999255,               478.972187,             75372.419406
              6327.627249,                16.499819,               361.597061,                65.294495,               165.061951,              1815.124111,                72.940292,                44.916229,                60.975723,                45.265579,               142.638793,               747.847595,               458.772766,               663.646666,                48.017273,               455.449255,               559.222187,             61873.651269
              6324.010374,                14.179507,               187.690811,                18.419495,                24.436951,              3247.741299,                 9.346542,                57.103729,               143.319473,                10.109329,               190.144731,              1034.722595,                69.897766,               232.906041,                28.642273,               397.097692,               566.745625,             83557.889279
              6439.750374,                19.129507,               452.690811,                78.419495,               124.436951,              1413.991299,                64.346542,                47.103729,                58.319473,                35.109329,               270.154731,               854.722595,               273.897766,               708.206041,                48.642273,                23.647692,               486.495625,             70059.152845
              6497.620374,                11.704507,               320.190811,                48.419495,               174.436951,              4164.616299,                91.846542,                52.103729,               100.819473,                47.609329,               150.139731,               764.722595,               171.897766,               945.856041,                38.642273,               210.372692,               526.620625,             63006.546405
