gwp_CCGT,gwp_CCGT_ammonia,gwp_ind_cogen_gas,gwp_ind_boiler_gas,gwp_DHN_cogen_gas,gwp_DHN_boiler_gas,gwp_DEC_THHP_gas,gwp_DEC_cogen_gas,gwp_DEC_ADVCOGEN_gas,gwp_DEC_ADVCOGEN_H2,gwp_DEC_BOILER_GAS,gwp_op
               148.405601,               185.163601,               922.941454,                13.884927,               455.045221,                10.742139,               388.943162,               872.156839,              2583.549138,              2377.698997,                22.455302,              4210.171374
               148.979945,               160.466820,              1137.408454,                13.307427,               524.075221,                10.395639,               354.330755,              1009.799839,              1987.204920,              1973.281653,                19.357708,              4207.980016
               185.737945,               197.224820,               932.544454,                10.843427,               425.899221,                12.859639,               430.716755,              1214.663839,              2425.894920,              2411.971653,                23.575708,              4198.625086
               204.116945,               178.845820,               830.112454,                14.539427,               474.987221,                11.627639,               392.523755,               907.367839,              1767.859920,              2631.316653,                17.248708,              4212.655426
               167.358945,               215.603820,              1034.976454,                12.075427,               573.163221,                14.091639,               316.137755,              1112.231839,              2206.549920,              2192.626653,                21.466708,              4203.302645
               176.548445,               169.656320,               983.760454,                12.691427,               450.443221,                14.707639,               373.427255,              1163.447839,              2096.877420,              2521.644153,                18.303208,              4205.641254
               213.306445,               206.414320,              1188.624454,                10.227427,               548.619221,                12.243639,               449.813255,               958.583839,              2535.567420,              2082.954153,                22.521208,              4196.288112
               194.927445,               151.277320,              1086.192454,                13.923427,               499.531221,                13.475639,               411.620255,              1061.015839,              1877.532420,              1863.609153,                20.412208,              4210.318433
               158.169445,               188.035320,               881.328454,                11.459427,               401.355221,                11.011639,               335.234255,               856.151839,              2316.222420,              2302.299153,                24.630208,              4200.964253
               162.764195,               183.440570,              1060.584454,                 9.919427,               438.171221,                10.703639,               344.782505,              1035.407839,              2151.713670,              1918.445403,                25.157458,              4195.117167
               199.522195,               220.198570,               855.720454,                12.383427,               536.347221,                13.167639,               421.168505,               830.543839,              2590.403670,              2357.135403,                20.939458,              4204.471985
               217.901195,               165.061570,               958.152454,                11.151427,               585.435221,                11.935639,               382.975505,              1137.839839,              1932.368670,              2576.480403,                23.048458,              4199.794671
               181.143195,               201.819570,              1163.016454,                13.615427,               487.259221,                14.399639,               306.589505,               932.975839,              2371.058670,              2137.790403,                18.830458,              4209.149087
               171.953695,               155.872070,               906.936454,                10.535427,               560.891221,                13.783639,               363.879005,               881.759839,              2042.041170,              2466.807903,                21.993958,              4197.455954
               208.711695,               192.630070,              1111.800454,                12.999427,               462.715221,                11.319639,               440.265005,              1086.623839,              2480.731170,              2028.117903,                17.775958,              4206.810318
               190.332695,               174.251070,              1214.232454,                11.767427,               413.627221,                12.551639,               402.072005,               984.191839,              1822.696170,              1808.772903,                24.102958,              4202.133142
               153.574695,               211.009070,              1009.368454,                14.231427,               511.803221,                10.087639,               325.686005,              1189.055839,              2261.386170,              2247.462903,                19.884958,              4211.489555
               155.872070,               171.953695,               868.524454,                14.077427,               567.027221,                11.165639,               435.490880,              1099.427839,              2233.968045,              2055.536028,                18.039583,              4210.902280
               192.630070,               208.711695,              1073.388454,                11.613427,               468.851221,                13.629639,               359.104880,               894.563839,              1795.278045,              2494.226028,                22.257583,              4201.550282
               211.009070,               153.574695,              1175.820454,                12.845427,               419.763221,                 9.933639,               320.911880,              1201.859839,              2453.313045,              2274.881028,                20.148583,              4206.226045
               174.251070,               190.332695,               970.956454,                10.381427,               517.939221,                12.397639,               397.297880,               996.995839,              2014.623045,              1836.191028,                24.366583,              4196.871071
               183.440570,               162.764195,              1124.604454,                14.693427,               395.219221,                13.013639,               454.587380,               843.347839,              2343.640545,              2384.553528,                19.094083,              4213.239987
               220.198570,               199.522195,               919.740454,                12.229427,               493.395221,                10.549639,               378.201380,              1048.211839,              1904.950545,              1945.863528,                23.312083,              4203.887177
               201.819570,               181.143195,              1022.172454,                13.461427,               542.483221,                14.245639,               340.008380,               945.779839,              2562.985545,              2165.208528,                16.985083,              4208.563768
