gwp_bioethanol,gwp_biodiesel,gwp_gas,gwp_gas_RE,gwp_H2_RE,gwp_H2,gwp_ammonia,gwp_ammonia_RE,gwp_methanol,gwp_methanol_RE,gwp_op
                 0.008341,                 0.030841,                 0.167653,                 0.044290,                 0.021787,                 0.174628,                 0.304625,                 0.013288,                 0.583425,                 0.039450,              4046.254177
                 0.008692,                 0.015724,                 0.376976,                 0.039017,                 0.037608,                 0.139190,                 0.207769,                 0.028405,                 0.226589,                 0.018708,              4046.253843
                 0.031192,                 0.038224,                 0.177026,                 0.016517,                 0.015108,                 0.391190,                 0.421519,                 0.050905,                 0.489089,                 0.041208,              4046.253326
                 0.042442,                 0.026974,                 0.077051,                 0.050267,                 0.026358,                 0.265190,                 0.314644,                 0.017155,                 0.095339,                 0.052458,              4046.255130
                 0.019942,                 0.049474,                 0.277001,                 0.027767,                 0.048858,                 0.517190,                 0.100894,                 0.039655,                 0.357839,                 0.029958,              4046.254486
                 0.025567,                 0.021349,                 0.227013,                 0.033392,                 0.020733,                 0.580190,                 0.261207,                 0.045280,                 0.292214,                 0.046833,              4046.253971
                 0.048067,                 0.043849,                 0.426963,                 0.010892,                 0.043233,                 0.328190,                 0.474957,                 0.022780,                 0.554714,                 0.024333,              4046.253332
                 0.036817,                 0.010099,                 0.326988,                 0.044642,                 0.031983,                 0.454190,                 0.368082,                 0.034030,                 0.160964,                 0.013083,              4046.253045
                 0.014317,                 0.032599,                 0.127038,                 0.022142,                 0.009483,                 0.202190,                 0.154332,                 0.011530,                 0.423464,                 0.035583,              4046.253359
                 0.017130,                 0.029786,                 0.301995,                 0.008079,                 0.017920,                 0.170690,                 0.181051,                 0.031218,                 0.325026,                 0.015895,              4046.253685
                 0.039630,                 0.052286,                 0.102045,                 0.030579,                 0.040420,                 0.422690,                 0.394801,                 0.008718,                 0.587526,                 0.038395,              4046.253234
                 0.050880,                 0.018536,                 0.202020,                 0.019329,                 0.051670,                 0.296690,                 0.287926,                 0.042468,                 0.193776,                 0.049645,              4046.252670
                 0.028380,                 0.041036,                 0.401970,                 0.041829,                 0.029170,                 0.548690,                 0.074176,                 0.019968,                 0.456276,                 0.027145,              4046.254319
                 0.022755,                 0.012911,                 0.152032,                 0.013704,                 0.046045,                 0.485690,                 0.234488,                 0.014343,                 0.259401,                 0.044020,              4046.255176
                 0.045255,                 0.035411,                 0.351982,                 0.036204,                 0.023545,                 0.233690,                 0.448238,                 0.036843,                 0.521901,                 0.021520,              4046.251195
                 0.034005,                 0.024161,                 0.451957,                 0.024954,                 0.012295,                 0.359690,                 0.341363,                 0.025593,                 0.128151,                 0.010270,              4046.253192
                 0.011505,                 0.046661,                 0.252007,                 0.047454,                 0.034795,                 0.107690,                 0.127613,                 0.048093,                 0.390651,                 0.032770,              4046.253443
                 0.012911,                 0.022755,                 0.114541,                 0.046048,                 0.047451,                 0.217940,                 0.434879,                 0.038249,                 0.374245,                 0.022927,              4046.252863
                 0.035411,                 0.045255,                 0.314491,                 0.023548,                 0.024951,                 0.469940,                 0.221129,                 0.015749,                 0.111745,                 0.045427,              4046.253361
                 0.046661,                 0.011505,                 0.414466,                 0.034798,                 0.013701,                 0.091940,                 0.114254,                 0.049499,                 0.505495,                 0.034177,              4046.254815
                 0.024161,                 0.034005,                 0.214516,                 0.012298,                 0.036201,                 0.343940,                 0.328004,                 0.026999,                 0.242995,                 0.011677,              4046.254075
                 0.029786,                 0.017130,                 0.364479,                 0.051673,                 0.008076,                 0.406940,                 0.488316,                 0.010124,                 0.439870,                 0.039802,              4046.252886
