c_op_electricity,c_op_syn_H2,c_inv_car,c_inv_e_prop,f_max_nuc,c_op_syn_CH4,c_op_syn_methanol,c_op_syn_ammoniac,cost
                -0.447365,                 0.238635,                -0.098302,                 0.251506,                 1.784335,                -0.226291,                 0.275983,                -0.296528,             46556.932640
                -0.436646,                -0.222271,                 0.145620,                 0.158694,                 3.760116,                -0.322760,                -0.034861,                 0.164378,             45745.209593
                 0.249354,                 0.463729,                -0.087380,                -0.237306,                 0.950116,                 0.363240,                 0.651139,                 0.850378,             52604.559492
                 0.592354,                 0.120729,                -0.203880,                 0.356694,                 2.355116,                 0.020240,                 0.308139,                -0.178622,             49401.453205
                -0.093646,                 0.806729,                 0.029120,                -0.039306,                 5.165116,                 0.706240,                -0.377861,                 0.507378,             42995.794931
                 0.077854,                -0.050771,                -0.029130,                 0.059694,                 1.652616,                 0.877740,                 0.136639,                 0.678878,             49596.980286
                 0.763854,                 0.635229,                 0.203870,                -0.336306,                 4.462616,                 0.191740,                 0.822639,                -0.007122,             50025.213918
                 0.420854,                -0.393771,                 0.087370,                 0.257694,                 3.057616,                 0.534740,                 0.479639,                 0.335878,             49295.068930
                -0.265146,                 0.292229,                -0.145630,                -0.138306,                 0.247616,                -0.151260,                -0.206361,                -0.350122,             41978.452217
                -0.179396,                 0.206479,                 0.058245,                -0.385806,                 1.301366,                -0.237010,                -0.120611,                 0.250128,             43087.982727
                 0.506604,                 0.892479,                -0.174755,                 0.010194,                 4.111366,                 0.448990,                 0.565389,                -0.435872,             43307.564614
                 0.849604,                -0.136521,                -0.058255,                -0.187806,                 5.516366,                 0.105990,                 0.222389,                 0.593128,             46870.688915
                 0.163604,                 0.549479,                 0.174745,                 0.208194,                 2.706366,                 0.791990,                -0.463611,                -0.092872,             47445.800325
                -0.007896,                -0.308021,                -0.116505,                -0.286806,                 4.813866,                 0.620490,                 0.050889,                -0.264372,             41569.030485
                 0.678104,                 0.377979,                 0.116495,                 0.109194,                 2.003866,                -0.065510,                 0.736889,                 0.421628,             54143.212215
                 0.335104,                 0.034979,                 0.232995,                -0.088806,                 0.598866,                 0.277490,                 0.393889,                 0.078628,             52927.310894
                -0.350896,                 0.720979,                -0.000005,                 0.307194,                 3.408866,                -0.408510,                -0.292111,                 0.764628,             45000.297639
                -0.308021,                -0.007896,                -0.160192,                 0.282444,                 4.989491,                -0.108385,                 0.694014,                 0.464503,             47054.942984
                 0.377979,                 0.678104,                 0.072808,                -0.113556,                 2.179491,                 0.577615,                 0.008014,                -0.221497,             46386.770106
                 0.720979,                -0.350896,                 0.189308,                 0.084444,                 0.774491,                -0.451385,                -0.334986,                 0.807503,             45794.546406
                 0.034979,                 0.335104,                -0.043692,                -0.311556,                 3.584491,                 0.234615,                 0.351014,                 0.121503,             46239.112462
                 0.206479,                -0.179396,                 0.131058,                 0.381444,                 0.071991,                 0.406115,                 0.865514,                -0.392997,             51017.683004
                 0.892479,                 0.506604,                -0.101942,                -0.014556,                 2.881991,                -0.279885,                 0.179514,                 0.293003,             46874.020797
                 0.549479,                 0.163604,                 0.014558,                 0.183444,                 4.286991,                 0.749115,                -0.163486,                -0.049997,             47706.186450
                -0.136521,                 0.849604,                 0.247558,                -0.212556,                 1.476991,                 0.063115,                 0.522514,                 0.636003,             51288.135110
                -0.222271,                -0.436646,                -0.072817,                -0.064056,                 2.530741,                 0.148865,                 0.608264,                 0.035753,             42948.114991
                 0.463729,                 0.249354,                 0.160183,                 0.331944,                 5.340741,                 0.834865,                -0.077736,                 0.721753,             51225.231848
                 0.806729,                -0.093646,                 0.043683,                -0.262056,                 3.935741,                -0.194135,                -0.420736,                -0.307247,             40954.132775
                 0.120729,                 0.592354,                -0.189317,                 0.133944,                 1.125741,                 0.491865,                 0.265264,                 0.378753,             51774.328126
                -0.050771,                 0.077854,                 0.218433,                -0.163056,                 3.233241,                 0.320365,                 0.779764,                 0.893253,             50765.841285
                 0.635229,                 0.763854,                -0.014567,                 0.232944,                 0.423241,                -0.365635,                 0.093764,                 0.207253,             48769.713170
                 0.292229,                -0.265146,                -0.131067,                -0.361056,                 1.828241,                 0.663365,                -0.249236,                 0.550253,             43022.376536
                -0.393771,                 0.420854,                 0.101933,                 0.034944,                 4.638241,                -0.022635,                 0.436764,                -0.135747,             47286.206782
                -0.415209,                 0.099291,                -0.050974,                -0.274431,                 0.686678,                 0.513303,                -0.356423,                 0.700316,             44222.057401
                 0.270791,                 0.785291,                 0.182026,                 0.121569,                 3.496678,                -0.172697,                 0.329577,                 0.014316,             51074.397445
                 0.613791,                -0.243709,                 0.065526,                -0.076431,                 4.901678,                 0.856303,                 0.672577,                 0.357316,             47680.958346
                -0.072209,                 0.442291,                -0.167474,                 0.319569,                 2.091678,                 0.170303,                -0.013423,                -0.328684,             45978.536380
                 0.099291,                -0.415209,                 0.240276,                -0.373431,                 5.604178,                -0.001197,                -0.184923,                 0.185816,             41590.139557
                 0.785291,                 0.270791,                 0.007276,                 0.022569,                 2.794178,                 0.684803,                 0.501077,                 0.871816,             54345.952191
                 0.442291,                -0.072209,                -0.109224,                -0.175431,                 1.389178,                -0.344197,                 0.844077,                -0.157184,             44647.152484
                -0.243709,                 0.613791,                 0.123776,                 0.220569,                 4.199178,                 0.341803,                 0.158077,                 0.528816,             50262.874588
                -0.157959,                -0.157959,                -0.196599,                 0.072069,                 3.145428,                 0.256053,                -0.442173,                -0.242934,             41179.870328
                 0.528041,                 0.528041,                 0.036401,                -0.323931,                 0.335428,                -0.429947,                 0.243827,                 0.443066,             43581.256501
