c_inv_e_prop,f_max_nuc,avail_biomass,param_i_rate,c_op_syn_fuel,cost
                -0.233919,                 2.915006,                -0.158849,                 0.293424,                 0.159344,             49032.419803
                -0.230123,                 1.027038,                 0.177198,                 0.185143,                 0.262704,             49288.925383
                 0.012877,                 3.837038,                -0.143802,                -0.276857,                 0.115704,             48302.775960
                 0.134377,                 2.432038,                -0.304302,                 0.416143,                 0.189204,             53356.045656
                -0.108623,                 5.242038,                 0.016698,                -0.045857,                 0.336204,             46425.070606
                -0.047873,                 1.729538,                -0.063552,                 0.069643,                 0.152454,             50525.897331
                 0.195127,                 4.539538,                 0.257448,                -0.392357,                 0.299454,             47458.676032
                 0.073627,                 0.324538,                 0.096948,                 0.300643,                 0.225954,             53019.917494
                -0.169373,                 3.134538,                -0.224052,                -0.161357,                 0.078954,             48084.755963
                -0.138998,                 2.783288,                 0.056823,                -0.450107,                 0.134079,             46836.474727
                 0.104002,                 5.593288,                -0.264177,                 0.011893,                 0.281079,             48923.753343
                 0.225502,                 1.378288,                -0.103677,                -0.219107,                 0.354579,             52145.885616
                -0.017498,                 4.188288,                 0.217323,                 0.242893,                 0.207579,             48396.216811
                -0.078248,                 0.675788,                -0.183927,                -0.334607,                 0.317829,             50286.336897
                 0.164752,                 3.485788,                 0.137073,                 0.127393,                 0.170829,             50288.519195
                 0.043252,                 2.080788,                 0.297573,                -0.103607,                 0.097329,             49254.603263
                -0.199748,                 4.890788,                -0.023427,                 0.358393,                 0.244329,             47477.986976
                -0.184560,                 1.905163,                -0.244115,                 0.329518,                 0.327016,             50678.684657
                 0.058440,                 4.715163,                 0.076885,                -0.132482,                 0.180016,             47698.863274
                 0.179940,                 0.500163,                 0.237385,                 0.098518,                 0.106516,             52595.003760
                -0.063060,                 3.310163,                -0.083615,                -0.363482,                 0.253516,             47686.933280
                -0.002310,                 1.202663,                 0.157135,                 0.445018,                 0.069766,             51957.290348
                 0.240690,                 4.012663,                -0.163865,                -0.016982,                 0.216766,             50886.805145
                 0.119190,                 2.607663,                -0.003365,                 0.214018,                 0.290266,             51416.819475
                -0.123810,                 5.417663,                 0.317635,                -0.247982,                 0.143266,             44794.271562
                -0.154185,                 0.148913,                -0.123740,                -0.074732,                 0.198391,             50772.982314
                 0.088815,                 2.958913,                 0.197260,                 0.387268,                 0.345391,             50871.991067
                 0.210315,                 1.553913,                 0.036760,                -0.305732,                 0.271891,             51152.376900
                -0.032685,                 4.363913,                -0.284240,                 0.156268,                 0.124891,             49412.580107
                -0.093435,                 2.256413,                 0.277510,                -0.190232,                 0.235141,             47796.521855
                 0.149565,                 5.066413,                -0.043490,                 0.271768,                 0.088141,             49951.644635
                 0.028065,                 0.851413,                -0.203990,                -0.421232,                 0.161641,             50752.039247
                -0.214935,                 3.661413,                 0.117010,                 0.040768,                 0.308641,             46847.772355
                -0.222529,                 2.344225,                -0.093646,                -0.320170,                 0.101922,             47431.853576
                 0.020471,                 5.154225,                 0.227354,                 0.141830,                 0.248922,             47555.827892
                 0.141971,                 0.939225,                 0.066854,                -0.089170,                 0.322422,             51792.746093
                -0.101029,                 3.749225,                -0.254146,                 0.372830,                 0.175422,             50020.440338
                -0.040279,                 0.236725,                 0.307604,                -0.435670,                 0.359172,             49161.855882
                 0.202721,                 3.046725,                -0.013396,                 0.026330,                 0.212172,             51077.998978
                 0.081221,                 1.641725,                -0.173896,                -0.204670,                 0.138672,             51055.796825
                -0.161779,                 4.451725,                 0.147104,                 0.257330,                 0.285672,             47262.795231
                -0.131404,                 1.290475,                -0.294271,                 0.084080,                 0.230547,             50986.587341
