f_max_nuc,param_i_rate,avail_biomass,c_op_syn_fuels,c_inv_e_prop,cost
                 0.105006,                 0.017264,                -0.158849,                 0.648690,                -0.144542,             63656.759657
                 0.148913,                -0.293142,                 0.177198,                 0.487909,                 0.133895,             59785.381946
                 2.958913,                 0.168858,                -0.143802,                -0.198091,                -0.262105,             45934.944660
                 4.363913,                -0.062142,                -0.304302,                 0.830909,                -0.064105,             60149.601383
                 1.553913,                 0.399858,                 0.016698,                 0.144909,                 0.331895,             55590.586964
                 2.256413,                -0.177642,                -0.063552,                 0.316409,                -0.163105,             54029.331228
                 5.066413,                 0.284358,                 0.257448,                -0.369591,                 0.232895,             43069.298085
                 3.661413,                -0.408642,                 0.096948,                 0.659409,                 0.034895,             56199.846849
                 0.851413,                 0.053358,                -0.224052,                -0.026591,                -0.361105,             49623.540723
                 1.202663,                -0.004392,                 0.056823,                -0.455341,                -0.212605,             41261.260145
                 4.012663,                 0.457608,                -0.264177,                 0.230659,                 0.183395,             55872.731435
                 5.417663,                -0.235392,                -0.103677,                -0.112341,                 0.381395,             46228.668248
                 2.607663,                 0.226608,                 0.217323,                 0.573659,                -0.014605,             58091.823061
                 1.905163,                -0.350892,                -0.183927,                -0.283841,                 0.282395,             45303.271552
                 4.715163,                 0.111108,                 0.137073,                 0.402159,                -0.113605,             52472.090392
                 3.310163,                -0.119892,                 0.297573,                 0.059159,                -0.311605,             46850.085579
                 0.500163,                 0.342108,                -0.023427,                 0.745159,                 0.084395,             66027.598040
                 0.675788,                -0.148767,                -0.244115,                 0.702284,                 0.307145,             64808.709353
                 3.485788,                 0.313233,                 0.076885,                 0.016284,                -0.088855,             50213.978604
                 4.890788,                -0.379767,                 0.237385,                 0.359284,                -0.286855,             48220.933313
                 2.080788,                 0.082233,                -0.083615,                -0.326716,                 0.109145,             45448.591313
                 2.783288,                -0.264267,                 0.157135,                 0.873784,                -0.385855,             56953.322057
                 5.593288,                 0.197733,                -0.163865,                 0.187784,                 0.010145,             51949.013189
                 4.188288,                -0.033267,                -0.003365,                 0.530784,                 0.208145,             56359.950451
                 1.378288,                 0.428733,                 0.317635,                -0.155216,                -0.187855,             48183.368100
                 1.027038,                -0.437517,                -0.123740,                 0.102034,                -0.039355,             52412.191965
                 3.837038,                 0.024483,                 0.197260,                 0.788034,                 0.356645,             58343.172128
                 5.242038,                -0.206517,                 0.036760,                -0.240966,                 0.158645,             44101.810746
                 2.432038,                 0.255483,                -0.284240,                 0.445034,                -0.237355,             57627.826901
                 1.729538,                -0.091017,                 0.277510,                -0.069466,                 0.059645,             49050.360662
                 4.539538,                 0.370983,                -0.043490,                 0.616534,                -0.336355,             55085.093488
                 3.134538,                -0.322017,                -0.203990,                -0.412466,                -0.138355,             41343.410144
                 0.324538,                 0.139983,                 0.117010,                 0.273534,                 0.257645,             57853.127639
                 0.236725,                -0.076579,                -0.093646,                -0.262404,                -0.299230,             45266.066969
                 3.046725,                 0.385421,                 0.227354,                 0.423596,                 0.096770,             56942.048204
                 4.451725,                -0.307579,                 0.066854,                 0.080596,                 0.294770,             49074.281408
                 1.641725,                 0.154421,                -0.254146,                 0.766596,                -0.101230,             64217.178061
                 2.344225,                -0.423079,                 0.307604,                -0.433904,                 0.393770,             40971.475196
                 5.154225,                 0.038921,                -0.013396,                 0.252096,                -0.002230,             51787.175500
                 3.749225,                -0.192079,                -0.173896,                -0.090904,                -0.200230,             46383.893797
                 0.939225,                 0.269921,                 0.147104,                 0.595096,                 0.195770,             62047.546083
                 1.290475,                -0.249829,                -0.294271,                 0.337846,                 0.047270,             58126.812862
