c_op_hydrocarbons,passenger_extra,c_inv_car,c_inv_e_prop,f_max_nuc,cost
                -0.447365,                -0.019936,                -0.098302,                 0.251506,                 1.784335,             29726.600309
                -0.436646,                -0.075030,                 0.145620,                 0.158694,                 3.760116,             30056.922713
                 0.249354,                 0.006970,                -0.087380,                -0.237306,                 0.950116,             36561.345989
                 0.592354,                -0.034030,                -0.203880,                 0.356694,                 2.355116,             39061.606873
                -0.093646,                 0.047970,                 0.029120,                -0.039306,                 5.165116,             34389.116220
                 0.077854,                -0.054530,                -0.029130,                 0.059694,                 1.652616,             35557.565855
                 0.763854,                 0.027470,                 0.203870,                -0.336306,                 4.462616,             40356.063581
                 0.420854,                -0.095530,                 0.087370,                 0.257694,                 3.057616,             38314.757408
                -0.265146,                -0.013530,                -0.145630,                -0.138306,                 0.247616,             31575.468896
                -0.179396,                -0.023780,                 0.058245,                -0.385806,                 1.301366,             31454.280763
                 0.506604,                 0.058220,                -0.174755,                 0.010194,                 4.111366,             38979.087469
                 0.849604,                -0.064780,                -0.058255,                -0.187806,                 5.516366,             39206.958674
                 0.163604,                 0.017220,                 0.174745,                 0.208194,                 2.706366,             37988.198440
                -0.007896,                -0.085280,                -0.116505,                -0.286806,                 4.813866,             31708.243004
                 0.678104,                -0.003280,                 0.116495,                 0.109194,                 2.003866,             41895.380324
                 0.335104,                -0.044280,                 0.232995,                -0.088806,                 0.598866,             39737.085377
                -0.350896,                 0.037720,                -0.000005,                 0.307194,                 3.408866,             31585.341932
                -0.308021,                -0.049405,                -0.160192,                 0.282444,                 4.989491,             30045.587397
                 0.377979,                 0.032595,                 0.072808,                -0.113556,                 2.179491,             39661.579396
                 0.720979,                -0.090405,                 0.189308,                 0.084444,                 0.774491,             41929.762497
