param_i_rate,avail_biomass,c_op_syn_fuels,f_max_nuc,c_inv_e_prop,cost
                -0.444736,                 0.011995,                 0.140256,                 4.594678,                -0.088696,             48391.503883
                -0.437517,                -0.203676,                 0.294147,                 3.936084,                 0.082163,             53330.400051
                 0.024483,                 0.117324,                 0.147147,                 1.126084,                -0.160837,             52820.858290
                 0.255483,                -0.043176,                 0.073647,                 5.341084,                -0.039337,             50033.479677
                -0.206517,                 0.277824,                 0.220647,                 2.531084,                 0.203663,             52611.117231
                -0.091017,                -0.123426,                 0.183897,                 3.233584,                -0.100087,             52110.103207
                 0.370983,                 0.197574,                 0.330897,                 0.423584,                 0.142913,             59101.086564
                 0.139983,                -0.283926,                 0.257397,                 4.638584,                 0.021413,             54178.676706
                -0.322017,                 0.037074,                 0.110397,                 1.828584,                -0.221587,             50047.320766
                -0.264267,                -0.003051,                 0.239022,                 0.072334,                -0.130462,             55391.647749
                 0.197733,                 0.317949,                 0.092022,                 2.882334,                 0.112538,             51550.868358
                 0.428733,                -0.163551,                 0.165522,                 1.477334,                 0.234038,             56861.885937
                -0.033267,                 0.157449,                 0.312522,                 4.287334,                -0.008962,             52275.830349
                -0.148767,                -0.243801,                 0.128772,                 0.774834,                 0.173288,             55170.603593
                 0.313233,                 0.077199,                 0.275772,                 3.584834,                -0.069712,             53856.113808
                 0.082233,                -0.083301,                 0.349272,                 2.179834,                -0.191212,             55364.760899
                -0.379767,                 0.237699,                 0.202272,                 4.989834,                 0.051788,             49241.202346
                -0.350892,                -0.103364,                 0.101209,                 4.814209,                 0.188476,             49535.347917
                 0.111108,                 0.217636,                 0.248209,                 2.004209,                -0.054524,             54124.276701
                 0.342108,                -0.263864,                 0.321709,                 3.409209,                -0.176024,             55408.091934
                -0.119892,                 0.057136,                 0.174709,                 0.599209,                 0.066976,             55157.883603
                -0.004392,                -0.183614,                 0.284959,                 5.516709,                -0.236774,             50428.535749
                 0.457608,                 0.137386,                 0.137959,                 2.706709,                 0.006226,             53917.470948
                 0.226608,                -0.023114,                 0.211459,                 4.111709,                 0.127726,             53599.779826
                -0.235392,                 0.297886,                 0.358459,                 1.301709,                -0.115274,             54384.167723
                -0.293142,                -0.303989,                 0.156334,                 2.355459,                -0.024149,             53223.449787
                 0.168858,                 0.017011,                 0.303334,                 5.165459,                 0.218851,             53269.668439
                 0.399858,                -0.143489,                 0.229834,                 0.950459,                 0.097351,             58421.129531
                -0.062142,                 0.177511,                 0.082834,                 3.760459,                -0.145649,             48710.237242
                -0.177642,                -0.063239,                 0.340084,                 1.652959,                 0.036601,             56763.354975
                 0.284358,                 0.257761,                 0.193084,                 4.462959,                -0.206399,             49998.336761
                 0.053358,                -0.223739,                 0.119584,                 0.247959,                -0.084899,             55303.414921
                -0.408642,                 0.097261,                 0.266584,                 3.057959,                 0.158101,             52722.166243
                -0.423079,                -0.053208,                 0.170115,                 0.862646,                -0.183618,             52450.342941
                 0.038921,                 0.267792,                 0.317115,                 3.672646,                 0.059382,             53369.158910
                 0.269921,                -0.213708,                 0.243615,                 2.267646,                 0.180882,             57012.184133
                -0.192079,                 0.107292,                 0.096615,                 5.077646,                -0.062118,             48133.475048
                -0.076579,                -0.293958,                 0.353865,                 0.160146,                 0.241632,             60567.552401
                 0.385421,                 0.027042,                 0.206865,                 2.970146,                -0.001368,             54739.953049
                 0.154421,                -0.133458,                 0.133365,                 1.565146,                -0.122868,             53835.543759
                -0.307579,                 0.187542,                 0.280365,                 4.375146,                 0.120132,             51376.848147
                -0.249829,                -0.173583,                 0.078240,                 3.321396,                 0.029007,             51036.414878
