name,First-order Sobol indices,Total-order Sobol indices  
c_op_syn_fuels,0.599494,0.599494  
c_inv_e_prop,0.088766,0.088766  
c_op_electricity,0.063581,0.063581  
f_max_nuc,0.044851,0.044851  
c_inv_car,0.027470,0.027470  
param_i_rate,0.025784,0.025784  
cpt_pv,0.019969,0.019969  
avail_biomass,0.016457,0.016457  
f_max_pv,0.016160,0.016160  
elec_extra,0.014099,0.014099  
ned_extra,0.011791,0.011791  
passenger_extra,0.010782,0.010782  
cpt_winds,0.008570,0.008570  
f_max_windon,0.008054,0.008054  
avail_elec,0.006285,0.006285  
c_op_biomass,0.006274,0.006274  
ht_extra,0.005338,0.005338  
c_inv_fc_prop,0.005269,0.005269  
c_op_biofuels,0.004290,0.004290  
c_inv_bus,0.002776,0.002776  
f_max_windoff,0.002172,0.002172  
c_inv_truck,0.001941,0.001941  
sh_extra,0.001635,0.001635  
freight_extra,0.001618,0.001618  
c_inv_pv,0.001308,0.001308  
c_inv_h2_electrolysis,0.001074,0.001074  
c_inv_dhn_hp_elec,0.001014,0.001014  
c_inv_wind_onshore,0.000895,0.000895  
c_inv_wind_offshore,0.000793,0.000793  
c_inv_dec_hp_elec,0.000719,0.000719  
c_inv_ic_prop,0.000258,0.000258  
c_op_coal,0.000225,0.000225  
avail_waste,0.000180,0.000180  
c_op_hydrocarbons,0.000080,0.000080  
avail_coal,0.000028,0.000028  
