param_i_rate,c_op_electricity,c_op_syn_fuels,c_inv_car,c_inv_e_prop,f_max_nuc,cost
                -0.444736,                 0.238635,                -0.126472,                 0.164982,                -0.144542,                 1.010573,             45544.712579
                -0.437517,                -0.222271,                 0.591684,                 0.110373,                 0.133895,                 0.615416,             54806.112706
                 0.024483,                 0.463729,                -0.094316,                -0.122627,                -0.262105,                 3.425416,             43656.014639
                 0.255483,                 0.120729,                -0.437316,                 0.226873,                -0.064105,                 2.020416,             43414.245172
                -0.206517,                 0.806729,                 0.248684,                -0.006127,                 0.331895,                 4.830416,             51729.415532
                -0.091017,                -0.050771,                 0.077184,                 0.052123,                -0.163105,                 5.532916,             43935.840688
                 0.370983,                 0.635229,                 0.763184,                -0.180877,                 0.232895,                 2.722916,             57619.692595
                 0.139983,                -0.393771,                 0.420184,                 0.168623,                 0.034895,                 4.127916,             50138.647392
                -0.322017,                 0.292229,                -0.265816,                -0.064377,                -0.361105,                 1.317916,             40613.224015
                -0.264267,                 0.206479,                 0.334434,                -0.210002,                -0.212605,                 0.966666,             48612.374936
                 0.197733,                 0.892479,                -0.351566,                 0.022998,                 0.183395,                 3.776666,             44708.972886
                 0.428733,                -0.136521,                -0.008566,                -0.093502,                 0.381395,                 2.371666,             49730.654853
                -0.033267,                 0.549479,                 0.677434,                 0.139498,                -0.014605,                 5.181666,             52966.505509
                -0.148767,                -0.308021,                -0.180066,                -0.151752,                 0.282395,                 4.479166,             42847.687823
                 0.313233,                 0.377979,                 0.505934,                 0.081248,                -0.113605,                 1.669166,             54798.418980
                 0.082233,                 0.034979,                 0.848934,                -0.035252,                -0.311605,                 3.074166,             52087.760931
                -0.379767,                 0.720979,                 0.162934,                 0.197748,                 0.084395,                 0.264166,             53663.317543
                -0.350892,                -0.007896,                -0.308691,                 0.183185,                 0.307145,                 1.493541,             46680.749648
                 0.111108,                 0.678104,                 0.377309,                -0.049815,                -0.088855,                 4.303541,             50430.819975
                 0.342108,                -0.350896,                 0.720309,                 0.066685,                -0.286855,                 0.088541,             55149.837565
                -0.119892,                 0.335104,                 0.034309,                -0.166315,                 0.109145,                 2.898541,             46960.536852
                -0.004392,                -0.179396,                 0.548809,                 0.241435,                -0.385855,                 3.601041,             48469.400058
                 0.457608,                 0.506604,                -0.137191,                 0.008435,                 0.010145,                 0.791041,             48867.822512
                 0.226608,                 0.163604,                 0.205809,                 0.124935,                 0.208145,                 5.006041,             50994.276854
                -0.235392,                 0.849604,                 0.891809,                -0.108065,                -0.187855,                 2.196041,             55966.987009
                -0.293142,                -0.436646,                -0.051441,                -0.020690,                -0.039355,                 2.547291,             43221.163385
                 0.168858,                 0.249354,                 0.634559,                 0.212310,                 0.356645,                 5.357291,             56325.237875
                 0.399858,                -0.093646,                 0.291559,                -0.137190,                 0.158645,                 1.142291,             52086.142644
                -0.062142,                 0.592354,                -0.394441,                 0.095810,                -0.237355,                 3.952291,             40186.150230
                -0.177642,                 0.077854,                 0.806059,                -0.078940,                 0.059645,                 3.249791,             53266.794901
                 0.284358,                 0.763854,                 0.120059,                 0.154060,                -0.336355,                 0.439791,             50866.951055
                 0.053358,                -0.265146,                -0.222941,                -0.195440,                -0.138355,                 4.654791,             40124.235192
                -0.408642,                 0.420854,                 0.463059,                 0.037560,                 0.257645,                 1.844791,             54584.284396
                -0.423079,                 0.099291,                 0.012871,                -0.144471,                -0.299230,                 4.040104,             41732.768448
                 0.038921,                 0.785291,                 0.698871,                 0.088529,                 0.096770,                 1.230104,             59742.313221
                 0.269921,                -0.243709,                 0.355871,                -0.027971,                 0.294770,                 5.445104,             49783.115871
                -0.192079,                 0.442291,                -0.330129,                 0.205029,                -0.101230,                 2.635104,             43146.689905
                -0.076579,                -0.415209,                 0.870371,                -0.202721,                 0.393770,                 1.932604,             55406.249274
                 0.385421,                 0.270791,                 0.184371,                 0.030279,                -0.002230,                 4.742604,             49343.570100
                 0.154421,                -0.072209,                -0.158629,                -0.086221,                -0.200230,                 0.527604,             44167.920112
                -0.307579,                 0.613791,                 0.527371,                 0.146779,                 0.195770,                 3.337604,             55029.579524
                -0.249829,                -0.157959,                -0.415879,                 0.059404,                 0.047270,                 2.986354,             41325.801874
                 0.212171,                 0.528041,                 0.270121,                -0.173596,                -0.348730,                 0.176354,             50475.733093
                 0.443171,                 0.185041,                 0.613121,                 0.175904,                -0.150730,                 4.391354,             52819.863981
                -0.018829,                 0.871041,                -0.072879,                -0.057096,                 0.245270,                 1.581354,             49102.814235
                -0.134329,                 0.013541,                 0.441621,                 0.117654,                -0.051730,                 2.283854,             51508.120535
                 0.327671,                 0.699541,                -0.244379,                -0.115346,                 0.344270,                 5.093854,             46086.549907
                 0.096671,                -0.329459,                 0.098621,                 0.234154,                 0.146270,                 0.878854,             51472.869494
                -0.365329,                 0.356541,                 0.784621,                 0.001154,                -0.249730,                 3.688854,             51064.890534
                -0.394204,                -0.372334,                 0.227246,                -0.071658,                -0.125980,                 4.918229,             43011.704456
                 0.067796,                 0.313666,                -0.458754,                 0.161342,                 0.270020,                 2.108229,             44980.376219
                 0.298796,                -0.029334,                -0.115754,                -0.188158,                 0.072020,                 3.513229,             44756.875043
                -0.163204,                 0.656666,                 0.570246,                 0.044842,                -0.323980,                 0.703229,             54025.170767
                -0.047704,                 0.142166,                -0.287254,                -0.013408,                 0.171020,                 0.000729,             45869.301547
                 0.414296,                 0.828166,                 0.398746,                 0.219592,                -0.224980,                 2.810729,             54256.579042
                 0.183296,                -0.200834,                 0.741746,                -0.129908,                -0.026980,                 1.405729,             54358.246435
