;folder;gwp_op_GAS_RE;gwp_op_H2_RE;gwp_op_METHANOL_RE;gwp_op_AMMONIA_RE;GWP ND;f_BATT_LI;f_PHS;f_TS_DEC_HP_ELEC;f_TS_DHN_DAILY;f_TS_DHN_SEASONAL;f_TS_HIGH_TEMP;f_H2_STORAGE;f_DIESEL_STORAGE;f_GASOLINE_STORAGE;f_LFO_STORAGE;f_AMMONIA_STORAGE;f_METHANOL_STORAGE
1;GAS_RE_0.01;0.0;0.0;0.0;0.0;0;0.0;5.0;1,00E-06;0.0;9,00E-05;3,00E-06;4,00E-06;0.007802;0.007865;0.007871;0.007753;44.298402
2;AMMONIA_RE_0.01;0.01;0.0;0.0;0.0;0;0.0;5.0;1,00E-06;0.0;240.032496;1.4e-05;1.1e-05;0.009348;0.009401;0.009393;0.009347;0.009369
3;H2_RE_0.01;0.01;0.0;0.0;0.01;0;1,00E-06;5.0;23.09332;238.902859;1776.758369;2.99773;0.000149;0.092394;0.093332;0.094267;6322.420511;0.093321
4;GAS_RE_0.02;0.01;0.01;0.0;0.01;0;1,00E-06;6.499962;23.093319;5,00E-06;195.623698;2.215481;0.000104;0.162424;0.163845;0.165015;1127.25873;0.163458
5;H2_RE_0.02;0.02;0.01;0.0;0.01;0;1,00E-06;5.000002;23.09332;8,00E-06;583.175063;3,00E-05;0.000144;0.194861;0.195761;0.200359;876.059326;0.196726
6;AMMONIA_RE_0.02;0.02;0.02;0.0;0.01;0;1,00E-06;5.0;23.09332;5,00E-06;169.449006;1.094349;0.000107;0.178353;0.179853;0.183698;0.180233;0.180255
7;GAS_RE_0.03;0.02;0.02;0.0;0.02;0;0.0;6.49999;23.09332;2,00E-06;153.241997;4.916762;4,00E-05;0.066086;0.066109;0.066381;739.071505;0.066212
8;H2_RE_0.03;0.03;0.02;0.0;0.02;0;3,00E-06;5.0;23.093318;2.1e-05;1300.620942;0.45254;0.000431;0.395964;0.398687;0.40622;835.988598;0.399179
9;GAS_RE_0.04;0.03;0.03;0.0;0.02;0;2,00E-06;5.000001;23.09332;1.1e-05;197.703878;7.9e-05;0.000247;0.375267;0.37827;0.376985;12.028648;0.376132
10;AMMONIA_RE_0.03;0.04;0.03;0.0;0.02;0;4,00E-06;5.0;23.093319;2.2e-05;171.487842;8.6e-05;0.000387;0.580508;0.585418;0.588184;0.583052;0.582752
11;H2_RE_0.04;0.04;0.03;0.0;0.03;0;3,00E-06;6.496448;26.529955;1.8e-05;1519.483538;0.801082;0.00042;0.368398;0.370261;0.377791;789.920357;0.371142
12;GAS_RE_0.05;0.04;0.04;0.0;0.03;0;4,00E-06;6.499184;29.19588;1.6e-05;428.565611;4.345835;0.000335;0.501622;0.508151;0.500738;289.676981;0.501789
13;H2_RE_0.05;0.05;0.04;0.0;0.03;0;1,00E-06;5.000004;31.414071;7,00E-06;425.727015;5,00E-05;0.00015;0.225999;0.228146;0.22882;73.598866;0.227244
14;AMMONIA_RE_0.04;0.05;0.05;0.0;0.03;0;3,00E-06;5.000006;31.41407;1.9e-05;310.821792;6.9e-05;0.000359;0.520883;0.524188;0.530131;0.524832;0.523593
15;GAS_RE_0.06;0.05;0.05;0.0;0.04;0;4,00E-06;6.499721;64.116591;2.3e-05;1758.358349;3.238162;0.000335;0.358091;0.362843;0.364408;9.392806;0.360091
16;H2_RE_0.06;0.06;0.05;0.0;0.04;0;6,00E-06;5.000009;90.540699;3.6e-05;594.994635;1.418687;0.000752;0.729837;0.732557;0.742998;0.73582;0.733547
17;GAS_RE_0.07;0.06;0.06;0.0;0.04;0;7,00E-06;5.0;64.116595;4.5e-05;1763.071265;1.765311;0.000746;0.996468;1.014108;1.019177;1.002091;1.004131
18;AMMONIA_RE_0.05;0.07;0.06;0.0;0.04;0;4,00E-06;5.000004;64.1166;2.8e-05;1758.780731;9,00E-05;0.000504;0.718118;0.720402;0.728297;0.722357;0.721111
19;GAS_RE_0.08;0.07;0.06;0.0;0.05;0;9,00E-06;6.49997;64.075576;2.4e-05;1213.84446;16.764019;6.540286;0.626006;0.629243;0.636338;0.62951;0.629004
20;H2_RE_0.07;0.08;0.06;0.0;0.05;0;3.1e-05;6.499889;85.26262;8,00E-05;644.644638;35.121987;1.695413;1.742537;1.754592;1.79739;1.761811;1.759108
21;METHANOL_RE_0.01;0.08;0.07;0.0;0.05;0;1,00E-06;6.449288;62.170263;5,00E-06;625.744437;74.754141;0.000124;0.241304;0.248393;0.237143;0.238881;0.240161
22;METHANOL_RE_0.02;0.08;0.07;0.01;0.05;0;8,00E-06;6.409121;62.140155;2.8e-05;625.976638;74.763176;0.00062;1.232801;1.253763;1.214308;1.220422;1.230448
23;METHANOL_RE_0.03;0.08;0.07;0.02;0.05;0;5,00E-06;6.449829;62.170372;1.8e-05;625.722615;74.753381;0.000416;0.705261;0.711072;0.705328;0.70295;0.704901
