folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_BATT_LI,f_BEV_BATT,f_PHEV_BATT,f_PHS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DEC_THHP_GAS,f_TS_DEC_COGEN_GAS,f_TS_DEC_COGEN_OIL,f_TS_DEC_ADVCOGEN_GAS,f_TS_DEC_ADVCOGEN_H2,f_TS_DEC_BOILER_GAS,f_TS_DEC_BOILER_WOOD,f_TS_DEC_BOILER_OIL,f_TS_DHN_DAILY,f_TS_HIGH_TEMP,f_GAS_STORAGE,f_H2_STORAGE,f_DIESEL_STORAGE,f_GASOLINE_STORAGE,f_LFO_STORAGE,f_AMMONIA_STORAGE,f_METHANOL_STORAGE
0_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.884,1003.798875,46.351392,1e-05,6e-06,6.499886,0.000137,60.365521,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137,0.000137,0.000449,70.195414,0.005185,0.00116,1.675948,1.685903,1.666019,1.670303,1.673714
100_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8840000000000008,663.791619,49.171139,5e-06,3e-06,6.499853,7.9e-05,60.434145,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,7.9e-05,0.0005,69.902534,0.002954,0.000561,1.003789,1.01095,0.982025,0.991279,0.995536
101_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.8940000000000008,662.125486,49.202921,2.2e-05,1.6e-05,6.499565,0.000376,60.434163,0.000377,0.000376,0.000376,0.000373,0.000373,0.000377,0.000377,0.000377,0.002181,69.897348,0.009651,0.002003,2.851026,2.879119,2.851293,2.846997,2.850511
102_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9040000000000008,657.09121,49.257845,9e-06,6e-06,6.499771,0.000116,60.434152,0.000117,0.000116,0.000116,0.000116,0.000116,0.000116,0.000117,0.000116,0.000907,69.88519,0.004346,0.000813,1.450148,1.466336,1.415315,1.432369,1.438072
103_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9140000000000008,656.892902,49.26047,1e-05,6e-06,6.499854,0.000145,60.434161,0.000145,0.000145,0.000145,0.000145,0.000145,0.000145,0.000145,0.000145,0.000836,69.884662,0.005604,0.00106,1.825616,1.824036,1.806483,1.811089,1.811994
104_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9240000000000008,652.814429,49.312919,5e-06,4e-06,6.499957,8.7e-05,60.434147,8.7e-05,8.7e-05,8.7e-05,8.6e-05,8.6e-05,8.7e-05,8.7e-05,8.7e-05,0.000459,69.883473,0.002326,0.000485,0.661492,0.662304,0.666736,0.661423,0.661572
105_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9340000000000008,645.339923,49.409125,8e-06,5e-06,6.499906,0.000111,60.434147,0.000111,0.00011,0.00011,0.00011,0.00011,0.000111,0.000111,0.000111,0.000626,69.8889,0.003538,0.000687,1.099893,1.109261,1.105303,1.101764,1.100353
106_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9440000000000008,645.452193,49.407918,1.8e-05,1.2e-05,6.499558,0.000265,60.434165,0.000266,0.000265,0.000265,0.000263,0.000263,0.000266,0.000266,0.000265,0.002014,69.888623,0.007578,0.001534,2.257761,2.247315,2.169572,2.194505,2.207168
107_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9540000000000008,643.768936,49.429432,9e-06,6e-06,6.49984,0.000138,60.434153,0.000138,0.000138,0.000138,0.000137,0.000138,0.000138,0.000138,0.000138,0.000757,69.890633,0.004583,0.000897,1.582873,1.586439,1.566626,1.569237,1.574969
108_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9640000000000009,643.647701,49.432138,1.5e-05,9e-06,6.499832,0.0002,60.43418,0.000201,0.0002,0.0002,0.000199,0.000199,0.000201,0.000201,0.0002,0.001313,69.890463,0.006696,0.001295,1.995059,2.006905,1.993306,1.990226,1.991773
109_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9740000000000009,641.598949,49.457621,3e-06,2e-06,6.499961,3.9e-05,60.434157,3.9e-05,3.9e-05,3.9e-05,3.9e-05,3.9e-05,3.9e-05,3.9e-05,3.9e-05,0.000285,69.893562,0.001337,0.000257,0.400352,0.401913,0.398373,0.399117,0.399109
10_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.984,962.104433,46.457622,2.7e-05,1.5e-05,6.499788,0.000323,60.365519,0.000324,0.000323,0.000323,0.000321,0.000322,0.000323,0.000323,0.000323,0.001331,70.296753,0.011697,0.002177,3.098968,3.111675,3.098527,3.093454,3.094181
110_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9840000000000009,639.742306,49.481118,2e-06,1e-06,6.499985,2.9e-05,60.434145,2.9e-05,2.9e-05,2.9e-05,2.8e-05,2.9e-05,2.9e-05,2.9e-05,2.9e-05,0.000161,69.895554,0.001215,0.00023,0.416401,0.416371,0.413289,0.413873,0.414471
111_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,1.9940000000000009,638.845707,49.492637,2.4e-05,1.7e-05,6.499221,0.000355,60.434197,0.000356,0.000355,0.000355,0.000353,0.000353,0.000356,0.000356,0.000355,0.002905,69.894936,0.011006,0.002138,3.776551,3.848746,3.719994,3.74314,3.764333
112_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.004000000000001,624.020741,49.684041,8e-06,5e-06,6.49993,0.000117,60.434164,0.000117,0.000117,0.000117,0.000116,0.000116,0.000117,0.000117,0.000117,0.000673,69.876563,0.004134,0.000866,1.298749,1.303916,1.300456,1.298328,1.298929
113_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0140000000000007,621.668854,49.714316,6e-06,4e-06,6.499898,8.5e-05,60.434188,8.5e-05,8.5e-05,8.5e-05,8.4e-05,8.4e-05,8.5e-05,8.5e-05,8.5e-05,0.000582,69.878657,0.002589,0.000547,0.864221,0.872938,0.863606,0.861887,0.86372
114_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0240000000000005,594.380841,50.245649,1.5e-05,9e-06,6.499936,0.000205,60.93217,0.000205,0.000205,0.000204,0.000204,0.000204,0.000205,0.000205,0.000205,0.001192,69.846206,0.007038,0.001603,2.023771,2.027861,2.036222,2.027375,2.025566
115_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0340000000000003,590.740221,50.31325,3e-06,2e-06,6.499969,3.9e-05,61.063412,3.9e-05,3.9e-05,3.9e-05,3.8e-05,3.9e-05,3.9e-05,3.9e-05,3.9e-05,0.000253,69.841042,0.001122,0.000303,0.296924,0.299658,0.29959,0.297635,0.297775
116_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.044,587.66516,50.373583,1e-06,1e-06,6.499987,1.4e-05,61.125224,1.5e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.5e-05,1.5e-05,1.4e-05,0.000115,69.834201,0.000546,0.000121,0.160479,0.16153,0.159035,0.159677,0.15996
117_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.054,587.605088,50.373471,4e-06,3e-06,6.499931,5.8e-05,61.123002,5.8e-05,5.8e-05,5.8e-05,5.8e-05,5.8e-05,5.8e-05,5.8e-05,5.8e-05,0.00049,69.8337,0.001871,0.000519,0.527916,0.533869,0.525845,0.525574,0.527264
118_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.064,586.047356,50.374472,1.9e-05,1.3e-05,6.499717,0.00029,61.070956,0.000291,0.00029,0.00029,0.000288,0.000288,0.000291,0.000291,0.00029,0.002036,69.828374,0.008196,0.002225,2.343169,2.376375,2.344401,2.339912,2.344527
119_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.0739999999999994,576.127257,50.458748,2.7e-05,1.8e-05,6.499421,0.000393,60.960524,0.000394,0.000392,0.000392,0.00039,0.00039,0.000393,0.000393,0.000393,0.002956,69.80435,0.011118,0.002767,3.586829,3.645837,3.555112,3.565723,3.579906
11_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.994,947.210714,46.447412,5e-06,2e-06,6.499955,5.6e-05,60.365525,5.6e-05,5.6e-05,5.6e-05,5.5e-05,5.5e-05,5.6e-05,5.6e-05,5.6e-05,0.000208,70.290924,0.001849,0.00034,0.453465,0.457197,0.457973,0.454694,0.455027
120_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.083999999999999,570.59089,50.526391,4e-06,3e-06,6.499982,5.9e-05,60.961795,5.9e-05,5.9e-05,5.8e-05,5.8e-05,5.8e-05,5.9e-05,5.9e-05,5.9e-05,0.000367,69.802152,0.002357,0.000685,0.75832,0.759094,0.757618,0.757071,0.757314
121_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.093999999999999,562.472607,50.625061,3e-06,2e-06,6.499908,4.6e-05,60.958028,4.7e-05,4.6e-05,4.6e-05,4.6e-05,4.6e-05,4.7e-05,4.7e-05,4.6e-05,0.000325,69.79642,0.001492,0.000386,0.550694,0.557886,0.540786,0.544653,0.547572
122_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1039999999999988,552.647201,50.763517,5e-06,4e-06,6.499934,7.7e-05,61.004969,7.7e-05,7.7e-05,7.7e-05,7.6e-05,7.7e-05,7.7e-05,7.7e-05,7.7e-05,0.000597,69.7911,0.002299,0.000737,0.698896,0.705351,0.697526,0.69724,0.698376
123_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1139999999999985,542.394361,50.938869,1.3e-05,8e-06,6.499726,0.000175,61.134789,0.000175,0.000175,0.000175,0.000174,0.000174,0.000175,0.000175,0.000175,0.001254,69.786385,0.005164,0.001662,1.765573,1.792952,1.739595,1.746609,1.757785
124_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1239999999999983,540.850444,50.955086,9e-06,7e-06,6.499785,0.000159,61.12329,0.000159,0.000159,0.000159,0.000158,0.000158,0.000159,0.000159,0.000159,0.001049,69.785436,0.004445,0.001273,1.585743,1.609071,1.586922,1.582532,1.589272
125_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.133999999999998,531.58753,51.104815,1.4e-05,9e-06,6.499892,0.000187,61.152539,0.000188,0.000187,0.000187,0.000186,0.000187,0.000188,0.000188,0.000187,0.001562,69.77956,0.006275,0.001595,1.906636,1.916193,1.90729,1.905236,1.906461
126_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.143999999999998,531.441855,51.101528,4e-06,3e-06,6.499933,6.2e-05,61.141481,6.2e-05,6.2e-05,6.2e-05,6.2e-05,6.2e-05,6.2e-05,6.2e-05,6.2e-05,0.000468,69.780093,0.00176,0.000719,0.529334,0.535844,0.528452,0.528223,0.529306
127_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1539999999999977,529.617511,51.092871,0.000198,0.000132,6.495324,0.00342,60.986105,0.003431,0.00341,0.003409,0.003368,0.003372,0.003431,0.003433,0.003427,0.027602,69.753081,0.073977,0.02567,20.477805,20.800689,20.453658,20.395704,20.418292
128_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.163999999999997,528.45411,51.177923,2.9e-05,1.9e-05,6.499626,0.000404,61.145279,0.000405,0.000404,0.000404,0.000401,0.000402,0.000405,0.000405,0.000405,0.003598,69.773303,0.011377,0.004827,2.864352,2.887422,2.882644,2.869548,2.866693
129_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.1739999999999973,528.287552,51.06807,0.000275,0.000176,6.496196,0.004256,60.854325,0.004265,0.004247,0.004247,0.004215,0.004222,0.004263,0.004265,0.004259,0.034979,69.738897,0.117818,0.039371,29.679292,29.95041,30.028337,29.744149,29.744346
12_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.004,947.109488,46.448314,1.9e-05,1.4e-05,6.499787,0.000308,60.365571,0.000308,0.000307,0.000307,0.000305,0.000306,0.000308,0.000308,0.000308,0.000941,70.290798,0.008177,0.001659,2.427687,2.452346,2.45776,2.43879,2.43571
130_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.183999999999997,527.391183,51.231283,3.4e-05,2e-05,6.499724,0.000482,61.231404,0.000483,0.000481,0.000481,0.000477,0.000478,0.000483,0.000483,0.000482,0.004239,69.767249,0.013661,0.012475,3.23162,3.260083,3.242583,3.23228,3.23052
131_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.193999999999997,527.787104,51.081167,0.000333,0.000192,6.497538,0.004491,60.847175,0.004503,0.004479,0.004478,0.004433,0.00444,0.004502,0.004505,0.004498,0.038468,69.737522,0.120456,0.039808,26.032456,26.261659,26.131373,26.0631,26.005534
132_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2039999999999966,528.216611,51.062682,0.000258,0.000188,6.49131,0.004295,60.833609,0.004303,0.004287,0.004286,0.004254,0.004259,0.004303,0.004304,0.004299,0.03515,69.736592,0.103612,0.038973,33.405243,33.976018,32.682125,32.988395,33.190177
