folder,resource_modified,gwp_op_modified,gwp_op_GAS_RE,gwp_op_H2_RE,gwp_op_METHANOL_RE,gwp_op_AMMONIA_RE,f_CAR_GASOLINE,f_CAR_DIESEL,f_CAR_NG,f_CAR_METHANOL,f_CAR_HEV,f_CAR_PHEV,f_CAR_BEV,f_CAR_FUEL_CELL
AMMONIA_RE_0.01,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,9e-06,2e-06,1e-06,3e-06,2e-06,0.0,0.0,176.964603
AMMONIA_RE_0.02,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,90.918081,13.755096,1.075453,67.006305,7.693029,4e-06,1e-06,0.20051
AMMONIA_RE_0.03,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,105.434958,16.398254,4.019754,40.079645,21.477315,1.2e-05,3e-06,4.155381
AMMONIA_RE_0.04,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,112.48028,9.741069,1.875294,46.240741,10.299896,1.1e-05,3e-06,1.140411
AMMONIA_RE_0.05,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,138.145595,7.466236,1.250611,17.972557,15.43527,1.6e-05,5e-06,0.716813
AMMONIA_RE_0.06,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,158.507541,16.409969,0.060864,0.12331,2.540832,9e-06,3e-06,0.408861
AMMONIA_RE_0.07,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,143.811145,19.632455,1.256405,1.658322,14.6167,5.4e-05,1.5e-05,6.364952
GAS_RE_0.01,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,4.3e-05,1.1e-05,3.9e-05,3.7e-05,1.5e-05,0.0,0.0,176.964484
GAS_RE_0.02,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,102.764454,6.261172,8.191455,74.820828,7.593641,3e-06,1e-06,17.905982
GAS_RE_0.03,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,145.985604,8.432774,6.277713,31.938529,4.996074,1e-06,0.0,16.893667
GAS_RE_0.04,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,142.868095,3.615329,3.941909,41.819513,6.551832,7e-06,2e-06,16.833909
GAS_RE_0.05,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,107.442544,10.992051,1.916556,49.349167,10.976841,1e-05,3e-06,1.556445
GAS_RE_0.06,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,139.149242,10.663555,4.072388,18.609123,11.082404,1e-05,4e-06,0.989373
GAS_RE_0.07,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,149.507079,6.801223,0.821087,18.456328,8.338238,2.2e-05,6e-06,1.100028
GAS_RE_0.08,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,111.70624,39.193988,4.693859,9.462547,17.595968,1.8e-05,5e-06,12.653512
GAS_RE_0.09,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,154.348795,19.566586,2.28501,2.226126,4.288473,8e-06,3e-06,2.244176
GAS_RE_0.10,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,154.739051,7.180969,5.020816,1.169357,16.545488,2.9e-05,8e-06,6.328215
H2_RE_0.01,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,2e-05,4e-06,1e-06,1.8e-05,4e-06,2e-06,1e-06,176.964573
H2_RE_0.02,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,109.08933,11.313522,1.009643,47.406465,9.54813,4e-06,1e-06,2.331452
H2_RE_0.03,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,153.411825,1.902749,1.295388,24.165535,3.011906,1e-05,4e-06,3.721905
H2_RE_0.04,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,136.372539,12.782004,2.26189,21.120406,9.98201,1e-05,3e-06,39.235585
H2_RE_0.05,GAS_RE,0.10430636,0.10430636,0.10063038,0.10014511,0.07089528,104.863351,14.729424,2.39718,38.734261,19.683768,4e-06,1e-06,1.945952
