folder,gwp_imports,f_CAR_GASOLINE,f_CAR_DIESEL,f_CAR_NG,f_CAR_METHANOL,f_CAR_HEV,f_CAR_PHEV,f_CAR_BEV,f_CAR_FUEL_CELL
IMPORTS_ND_0_00,0.0,146.862494,15.348015,3.613873,1.024699,15.452832,1e-05,3e-06,2.86877
IMPORTS_ND_0_01,0.01,0.678585,0.791604,0.938567,0.763303,283.527761,9.3e-05,3.3e-05,0.778982
IMPORTS_ND_0_02,0.02,1.878802,1.771045,1.21563,1.247278,177.043474,2e-05,6e-06,3.125786
IMPORTS_ND_0_03,0.03,1.032516,1.016261,1.034194,1.033932,177.003536,8.8e-05,3e-05,1.007094
IMPORTS_ND_0_04,0.04,2.329203,5.147793,0.774626,0.943258,177.094948,3.8e-05,1.2e-05,4.556527
IMPORTS_ND_0_05,0.05,8.313983,8.181369,3.819126,1.441962,177.209237,8e-05,2.7e-05,8.289577
IMPORTS_ND_0_06,0.06,5.816639,2.10041,13.50716,7.695489,8.8443,8e-05,2.2e-05,177.089792
IMPORTS_ND_0_07,0.07,1.402702,0.975105,4.599175,0.618586,1.898977,3.6e-05,1.2e-05,177.211704
IMPORTS_ND_0_08,0.08,3.513002,5.565714,3.565856,2.256394,10.466623,1.4e-05,4e-06,185.069055
IMPORTS_ND_0_09,0.09,0.940261,2.111512,3.134797,1.115487,2.363243,3e-05,1e-05,189.847131
