folder,gwp_imports,f_BATT_LI,f_BEV_BATT,f_PHEV_BATT,f_PHS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DEC_THHP_GAS,f_TS_DEC_COGEN_GAS,f_TS_DEC_COGEN_OIL,f_TS_DEC_ADVCOGEN_GAS,f_TS_DEC_ADVCOGEN_H2,f_TS_DEC_BOILER_GAS,f_TS_DEC_BOILER_WOOD,f_TS_DEC_BOILER_OIL,f_TS_DHN_DAILY,f_TS_DHN_SEASONAL,f_TS_HIGH_TEMP,f_GAS_STORAGE,f_H2_STORAGE,f_DIESEL_STORAGE,f_GASOLINE_STORAGE,f_LFO_STORAGE,f_AMMONIA_STORAGE,f_METHANOL_STORAGE,f_CO2_STORAGE
IMPORTS_ND_0_00,0.0,29.505381,3e-06,2e-06,6.499981,4.8e-05,60.862822,4.8e-05,4.8e-05,4.8e-05,4.8e-05,4.8e-05,4.8e-05,4.8e-05,4.8e-05,1.5e-05,1102.347876,75.821095,0.001476,0.00031,0.463911,0.470685,0.472295,0.466656,269.367216,131.604474
IMPORTS_ND_0_01,0.01,30.302438,3.2e-05,1.8e-05,6.499913,0.00042,60.271929,0.000421,0.00042,0.000419,0.000417,0.000417,0.000421,0.000421,0.000421,0.000168,1102.189433,74.207886,0.014523,0.002796,3.719671,3.743936,3.768023,3.733973,289.294569,118.244982
IMPORTS_ND_0_02,0.02,30.304103,6e-06,4e-06,6.499962,8.3e-05,60.261639,8.3e-05,8.3e-05,8.3e-05,8.3e-05,8.3e-05,8.3e-05,8.3e-05,8.3e-05,2.6e-05,1102.285817,74.205782,0.002931,0.000591,0.999144,1.002906,1.002927,0.998062,289.160425,117.108279
IMPORTS_ND_0_03,0.03,30.301645,3e-05,1.7e-05,6.499884,0.000368,60.26185,0.000368,0.000368,0.000367,0.000366,0.000366,0.000368,0.000368,0.000368,0.000146,1102.263512,74.208084,0.013026,0.002424,3.529891,3.565541,3.563697,3.536236,289.050805,120.639811
IMPORTS_ND_0_04,0.04,30.159392,1.2e-05,8e-06,6.499956,0.000182,61.880588,0.000183,0.000182,0.000182,0.000181,0.000182,0.000183,0.000183,0.000182,6.5e-05,1110.058527,72.193676,0.006589,0.00127,1.786357,1.799206,1.810018,1.793871,303.231464,132.018113
IMPORTS_ND_0_05,0.05,32.814065,2.7e-05,1.6e-05,6.499842,0.000328,60.598738,0.000329,0.000328,0.000327,0.000326,0.000327,0.000328,0.000328,0.000328,0.000132,1077.182302,71.273211,0.012226,0.002245,3.590446,3.623867,3.560293,3.565113,288.775378,224.517773
IMPORTS_ND_0_06,0.06,39.724783,2.2e-05,1.6e-05,6.49974,0.000365,60.365525,0.000365,0.000365,0.000365,0.000364,0.000365,0.000365,0.000365,0.000365,9.8e-05,1054.136808,75.113078,0.012026,0.09889,5.621103,5.785041,5.350325,5.472802,5.559357,988.119165
IMPORTS_ND_0_07,0.07,46.35131,1.2e-05,7e-06,6.499957,0.000171,60.365522,0.000171,0.000171,0.000171,0.00017,0.00017,0.000171,0.000171,0.000171,6.6e-05,1003.826356,70.19502,0.006814,0.001599,2.082122,2.098321,2.078945,2.079553,2.083165,1001.43928
IMPORTS_ND_0_08,0.08,46.351267,4e-06,3e-06,6.499917,6.1e-05,60.365522,6.1e-05,6.1e-05,6.1e-05,6e-05,6e-05,6.1e-05,6.1e-05,6.1e-05,1.6e-05,1003.789813,70.195838,0.001894,0.00046,0.709562,0.714532,0.688947,0.698544,0.702398,1001.002507
IMPORTS_ND_0_09,0.09,46.351423,1e-05,6e-06,6.499896,0.000127,60.36553,0.000127,0.000126,0.000126,0.000126,0.000126,0.000127,0.000127,0.000127,5.2e-05,1003.806772,70.195539,0.004031,0.00092,1.05023,1.05894,1.055668,1.052015,1.051402,1000.933899
