folder,techno_modifiee,technology,f,gwp_constr
0_IS_Techno_BATT_LI_gwp61,BATT_LI,BOAT_FREIGHT_DIESEL,28.090075,61.3
1_IS_Techno_BATT_LI_gwp62,BATT_LI,BOAT_FREIGHT_DIESEL,27.986835,61.8
0_IS_Techno_BATT_LI_gwp62,BATT_LI,BOAT_FREIGHT_DIESEL,28.14215,62.3
2_IS_Techno_BATT_LI_gwp62,BATT_LI,BOAT_FREIGHT_DIESEL,28.14215,62.3
1_IS_Techno_BATT_LI_gwp68,BATT_LI,BOAT_FREIGHT_DIESEL,28.03951,68.3
2_IS_Techno_BATT_LI_gwp74,BATT_LI,BOAT_FREIGHT_DIESEL,28.272734,74.3
3_IS_Techno_BATT_LI_gwp80,BATT_LI,BOAT_FREIGHT_DIESEL,28.087663,80.3
4_IS_Techno_BATT_LI_gwp86,BATT_LI,BOAT_FREIGHT_DIESEL,28.341911,86.3
5_IS_Techno_BATT_LI_gwp92,BATT_LI,BOAT_FREIGHT_DIESEL,28.074229,92.3
6_IS_Techno_BATT_LI_gwp98,BATT_LI,BOAT_FREIGHT_DIESEL,27.993803,98.3
7_IS_Techno_BATT_LI_gwp104,BATT_LI,BOAT_FREIGHT_DIESEL,28.025649,104.3
8_IS_Techno_BATT_LI_gwp110,BATT_LI,BOAT_FREIGHT_DIESEL,28.047898,110.3
9_IS_Techno_BATT_LI_gwp116,BATT_LI,BOAT_FREIGHT_DIESEL,28.142852,116.3
10_IS_Techno_BATT_LI_gwp122,BATT_LI,BOAT_FREIGHT_DIESEL,28.275368,122.3
0_IS_Techno_BATT_LI_gwp61,BATT_LI,BOAT_FREIGHT_METHANOL,2.641781,61.3
1_IS_Techno_BATT_LI_gwp62,BATT_LI,BOAT_FREIGHT_METHANOL,3.330414,61.8
0_IS_Techno_BATT_LI_gwp62,BATT_LI,BOAT_FREIGHT_METHANOL,1.130148,62.3
2_IS_Techno_BATT_LI_gwp62,BATT_LI,BOAT_FREIGHT_METHANOL,1.130148,62.3
1_IS_Techno_BATT_LI_gwp68,BATT_LI,BOAT_FREIGHT_METHANOL,4.374797,68.3
2_IS_Techno_BATT_LI_gwp74,BATT_LI,BOAT_FREIGHT_METHANOL,3.457733,74.3
3_IS_Techno_BATT_LI_gwp80,BATT_LI,BOAT_FREIGHT_METHANOL,4.464573,80.3
4_IS_Techno_BATT_LI_gwp86,BATT_LI,BOAT_FREIGHT_METHANOL,2.101978,86.3
5_IS_Techno_BATT_LI_gwp92,BATT_LI,BOAT_FREIGHT_METHANOL,2.112749,92.3
6_IS_Techno_BATT_LI_gwp98,BATT_LI,BOAT_FREIGHT_METHANOL,1.569254,98.3
7_IS_Techno_BATT_LI_gwp104,BATT_LI,BOAT_FREIGHT_METHANOL,2.335665,104.3
8_IS_Techno_BATT_LI_gwp110,BATT_LI,BOAT_FREIGHT_METHANOL,1.511257,110.3
9_IS_Techno_BATT_LI_gwp116,BATT_LI,BOAT_FREIGHT_METHANOL,2.358761,116.3
10_IS_Techno_BATT_LI_gwp122,BATT_LI,BOAT_FREIGHT_METHANOL,1.771316,122.3
0_IS_Techno_BATT_LI_gwp61,BATT_LI,BOAT_FREIGHT_NG,7.524514,61.3
1_IS_Techno_BATT_LI_gwp62,BATT_LI,BOAT_FREIGHT_NG,7.674791,61.8
0_IS_Techno_BATT_LI_gwp62,BATT_LI,BOAT_FREIGHT_NG,12.173827,62.3
2_IS_Techno_BATT_LI_gwp62,BATT_LI,BOAT_FREIGHT_NG,12.173827,62.3
1_IS_Techno_BATT_LI_gwp68,BATT_LI,BOAT_FREIGHT_NG,7.903436,68.3
2_IS_Techno_BATT_LI_gwp74,BATT_LI,BOAT_FREIGHT_NG,8.06094,74.3
3_IS_Techno_BATT_LI_gwp80,BATT_LI,BOAT_FREIGHT_NG,6.821206,80.3
4_IS_Techno_BATT_LI_gwp86,BATT_LI,BOAT_FREIGHT_NG,2.455849,86.3
5_IS_Techno_BATT_LI_gwp92,BATT_LI,BOAT_FREIGHT_NG,5.486744,92.3
6_IS_Techno_BATT_LI_gwp98,BATT_LI,BOAT_FREIGHT_NG,6.169605,98.3
7_IS_Techno_BATT_LI_gwp104,BATT_LI,BOAT_FREIGHT_NG,5.701001,104.3
8_IS_Techno_BATT_LI_gwp110,BATT_LI,BOAT_FREIGHT_NG,6.228197,110.3
9_IS_Techno_BATT_LI_gwp116,BATT_LI,BOAT_FREIGHT_NG,4.714864,116.3
10_IS_Techno_BATT_LI_gwp122,BATT_LI,BOAT_FREIGHT_NG,2.634657,122.3
0_IS_Techno_BATT_LI_gwp61,BATT_LI,TRAIN_FREIGHT,7.730421,61.3
1_IS_Techno_BATT_LI_gwp62,BATT_LI,TRAIN_FREIGHT,7.73042,61.8
0_IS_Techno_BATT_LI_gwp62,BATT_LI,TRAIN_FREIGHT,7.73042,62.3
2_IS_Techno_BATT_LI_gwp62,BATT_LI,TRAIN_FREIGHT,7.73042,62.3
1_IS_Techno_BATT_LI_gwp68,BATT_LI,TRAIN_FREIGHT,7.730421,68.3
2_IS_Techno_BATT_LI_gwp74,BATT_LI,TRAIN_FREIGHT,7.730421,74.3
3_IS_Techno_BATT_LI_gwp80,BATT_LI,TRAIN_FREIGHT,7.730421,80.3
4_IS_Techno_BATT_LI_gwp86,BATT_LI,TRAIN_FREIGHT,7.730421,86.3
5_IS_Techno_BATT_LI_gwp92,BATT_LI,TRAIN_FREIGHT,7.73042,92.3
6_IS_Techno_BATT_LI_gwp98,BATT_LI,TRAIN_FREIGHT,7.73042,98.3
7_IS_Techno_BATT_LI_gwp104,BATT_LI,TRAIN_FREIGHT,7.73042,104.3
8_IS_Techno_BATT_LI_gwp110,BATT_LI,TRAIN_FREIGHT,7.73042,110.3
9_IS_Techno_BATT_LI_gwp116,BATT_LI,TRAIN_FREIGHT,7.730419,116.3
10_IS_Techno_BATT_LI_gwp122,BATT_LI,TRAIN_FREIGHT,7.73042,122.3
0_IS_Techno_BATT_LI_gwp61,BATT_LI,TRUCK_DIESEL,12.272722,61.3
1_IS_Techno_BATT_LI_gwp62,BATT_LI,TRUCK_DIESEL,8.409141,61.8
0_IS_Techno_BATT_LI_gwp62,BATT_LI,TRUCK_DIESEL,3.324757,62.3
2_IS_Techno_BATT_LI_gwp62,BATT_LI,TRUCK_DIESEL,3.324757,62.3
1_IS_Techno_BATT_LI_gwp68,BATT_LI,TRUCK_DIESEL,3.643639,68.3
2_IS_Techno_BATT_LI_gwp74,BATT_LI,TRUCK_DIESEL,3.758505,74.3
3_IS_Techno_BATT_LI_gwp80,BATT_LI,TRUCK_DIESEL,0.475607,80.3
4_IS_Techno_BATT_LI_gwp86,BATT_LI,TRUCK_DIESEL,0.321138,86.3
5_IS_Techno_BATT_LI_gwp92,BATT_LI,TRUCK_DIESEL,3.135822,92.3
6_IS_Techno_BATT_LI_gwp98,BATT_LI,TRUCK_DIESEL,3.704676,98.3
7_IS_Techno_BATT_LI_gwp104,BATT_LI,TRUCK_DIESEL,5.582282,104.3
8_IS_Techno_BATT_LI_gwp110,BATT_LI,TRUCK_DIESEL,12.146652,110.3
9_IS_Techno_BATT_LI_gwp116,BATT_LI,TRUCK_DIESEL,0.520327,116.3
10_IS_Techno_BATT_LI_gwp122,BATT_LI,TRUCK_DIESEL,0.514921,122.3
0_IS_Techno_BATT_LI_gwp61,BATT_LI,TRUCK_ELEC,56.161505,61.3
1_IS_Techno_BATT_LI_gwp62,BATT_LI,TRUCK_ELEC,51.500656,61.8
0_IS_Techno_BATT_LI_gwp62,BATT_LI,TRUCK_ELEC,51.476409,62.3
2_IS_Techno_BATT_LI_gwp62,BATT_LI,TRUCK_ELEC,51.476409,62.3
1_IS_Techno_BATT_LI_gwp68,BATT_LI,TRUCK_ELEC,51.479039,68.3
2_IS_Techno_BATT_LI_gwp74,BATT_LI,TRUCK_ELEC,51.585468,74.3
