folder,techno_modifiee,technology,f,gwp_constr
Techno_BATT_LI_gwp0,BATT_LI,AMMONIA_TO_H2,8.2581,0.0
Techno_BATT_LI_gwp1,BATT_LI,AMMONIA_TO_H2,10.095825,1.2999999999999972
Techno_BATT_LI_gwp6,BATT_LI,AMMONIA_TO_H2,8.592061,6.299999999999997
Techno_BATT_LI_gwp11,BATT_LI,AMMONIA_TO_H2,9.587738,11.299999999999995
Techno_BATT_LI_gwp16,BATT_LI,AMMONIA_TO_H2,9.066562,16.299999999999997
Techno_BATT_LI_gwp21,BATT_LI,AMMONIA_TO_H2,10.259938,21.3
Techno_BATT_LI_gwp26,BATT_LI,AMMONIA_TO_H2,9.361537,26.3
Techno_BATT_LI_gwp31,BATT_LI,AMMONIA_TO_H2,9.596497,31.3
Techno_BATT_LI_gwp36,BATT_LI,AMMONIA_TO_H2,9.490638,36.3
Techno_BATT_LI_gwp41,BATT_LI,AMMONIA_TO_H2,9.734119,41.3
Techno_BATT_LI_gwp46,BATT_LI,AMMONIA_TO_H2,8.474783,46.3
Techno_BATT_LI_gwp51,BATT_LI,AMMONIA_TO_H2,9.540567,51.3
Techno_BATT_LI_gwp56,BATT_LI,AMMONIA_TO_H2,8.844786,56.3
Techno_BATT_LI_gwp61,BATT_LI,AMMONIA_TO_H2,8.279501,61.3
Techno_BATT_LI_gwp0,BATT_LI,BIOMASS_TO_HVC,7.296887,0.0
Techno_BATT_LI_gwp1,BATT_LI,BIOMASS_TO_HVC,8.911191,1.2999999999999972
Techno_BATT_LI_gwp6,BATT_LI,BIOMASS_TO_HVC,7.743015,6.299999999999997
Techno_BATT_LI_gwp11,BATT_LI,BIOMASS_TO_HVC,9.067663,11.299999999999995
Techno_BATT_LI_gwp16,BATT_LI,BIOMASS_TO_HVC,7.846674,16.299999999999997
Techno_BATT_LI_gwp21,BATT_LI,BIOMASS_TO_HVC,9.413996,21.3
Techno_BATT_LI_gwp26,BATT_LI,BIOMASS_TO_HVC,9.119174,26.3
Techno_BATT_LI_gwp31,BATT_LI,BIOMASS_TO_HVC,8.358739,31.3
